prototype,horizon,period,event_count,mean_fwd_ret,plus_1atr_first_rate,minus_1atr_first_rate
P2_STRONG_BREAKOUT,4,2025-03,9,0.015882805969367086,0.8888888888888888,0.0
P2_STRONG_BREAKOUT,4,2025-04,19,0.00817037168494561,1.0,0.0
P2_STRONG_BREAKOUT,4,2025-05,36,0.01140412583029907,0.9444444444444444,0.027777777777777776
P2_STRONG_BREAKOUT,4,2025-06,33,0.008267459120536051,0.9090909090909091,0.09090909090909091
P2_STRONG_BREAKOUT,4,2025-07,41,0.008373095073761576,0.9024390243902439,0.024390243902439025
P2_STRONG_BREAKOUT,4,2025-08,34,0.008128229861733834,0.8529411764705882,0.029411764705882353
P2_STRONG_BREAKOUT,4,2025-09,20,0.003562258638575083,0.75,0.0
P2_STRONG_BREAKOUT,4,2025-10,27,0.00334783987032581,0.9259259259259259,0.0
P2_STRONG_BREAKOUT,4,2025-11,16,0.009414249094310191,0.8125,0.0
P2_STRONG_BREAKOUT,4,2025-12,17,0.013436359838235068,0.8823529411764706,0.058823529411764705
P2_STRONG_BREAKOUT,4,2026-01,26,0.002512888605363037,0.8846153846153846,0.038461538461538464
P2_STRONG_BREAKOUT,4,2026-02,9,0.012191043689337568,1.0,0.0
P2_STRONG_BREAKOUT,4,2026-03,22,0.008493859948731116,0.9545454545454546,0.0
P2_STRONG_BREAKOUT,4,2026-04,22,0.011765618745243527,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,4,2026-05,14,0.003890080887410552,0.9285714285714286,0.0
P2_STRONG_BREAKOUT,4,2026-06,15,0.00996892504269351,0.9333333333333333,0.06666666666666667
P2_STRONG_BREAKOUT,8,2024-01,38,0.007027959303151906,0.9210526315789473,0.02631578947368421
P2_STRONG_BREAKOUT,8,2024-02,53,0.003928361562116304,0.9433962264150944,0.0
P2_STRONG_BREAKOUT,8,2024-03,39,0.0025652302932240314,0.8974358974358975,0.05128205128205128
P2_STRONG_BREAKOUT,8,2024-04,22,0.008856163242696325,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,8,2024-05,36,0.007975393471308462,0.9722222222222222,0.0
P2_STRONG_BREAKOUT,8,2024-06,16,0.0019222267995004025,0.9375,0.0625
P2_STRONG_BREAKOUT,8,2024-07,28,0.004747403356979164,0.9642857142857143,0.0
P2_STRONG_BREAKOUT,8,2024-08,14,0.007060186048285558,1.0,0.0
P2_STRONG_BREAKOUT,8,2024-09,14,0.008712654705572627,0.9285714285714286,0.0
P2_STRONG_BREAKOUT,8,2024-10,32,0.004779578102873001,0.9375,0.0625
P2_STRONG_BREAKOUT,8,2024-11,48,0.010719922757513866,0.9583333333333334,0.041666666666666664
P2_STRONG_BREAKOUT,8,2024-12,30,0.006342159676480131,1.0,0.0
P2_STRONG_BREAKOUT,8,2025-01,37,0.008739672606890245,0.972972972972973,0.0
P2_STRONG_BREAKOUT,8,2025-02,10,-0.0006643245056292324,1.0,0.0
P2_STRONG_BREAKOUT,8,2025-03,9,0.01665976363870008,0.8888888888888888,0.0
P2_STRONG_BREAKOUT,8,2025-04,19,0.006782010141770589,1.0,0.0
P2_STRONG_BREAKOUT,8,2025-05,36,0.01338026164141508,0.9444444444444444,0.027777777777777776
P2_STRONG_BREAKOUT,8,2025-06,33,0.007292388823634067,0.9090909090909091,0.09090909090909091
P2_STRONG_BREAKOUT,8,2025-07,41,0.0075719431145682735,0.926829268292683,0.07317073170731707
P2_STRONG_BREAKOUT,8,2025-08,34,0.009466960817015162,0.8823529411764706,0.029411764705882353
P2_STRONG_BREAKOUT,8,2025-09,20,0.0018379889428408736,0.8,0.1
P2_STRONG_BREAKOUT,8,2025-10,27,0.003161609755143375,0.9259259259259259,0.0
P2_STRONG_BREAKOUT,8,2025-11,16,0.008105717521684097,0.875,0.0
P2_STRONG_BREAKOUT,8,2025-12,17,0.014094659481490716,0.8823529411764706,0.058823529411764705
P2_STRONG_BREAKOUT,8,2026-01,26,0.0016286892963273169,0.8846153846153846,0.07692307692307693
P2_STRONG_BREAKOUT,8,2026-02,9,0.0169670637408809,1.0,0.0
P2_STRONG_BREAKOUT,8,2026-03,22,0.005023952487900158,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,8,2026-04,22,0.011804514948654548,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,8,2026-05,14,0.0038547839808178125,0.9285714285714286,0.0
P2_STRONG_BREAKOUT,8,2026-06,15,0.010927693228915987,0.9333333333333333,0.06666666666666667
P2_STRONG_BREAKOUT,16,2024-01,38,0.0070614633618650575,0.9473684210526315,0.02631578947368421
P2_STRONG_BREAKOUT,16,2024-02,53,0.005175855021872304,0.9622641509433962,0.018867924528301886
P2_STRONG_BREAKOUT,16,2024-03,39,0.00025569428804647274,0.8974358974358975,0.05128205128205128
P2_STRONG_BREAKOUT,16,2024-04,22,0.009413457205257103,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,16,2024-05,36,0.012957334406460023,1.0,0.0
P2_STRONG_BREAKOUT,16,2024-06,16,0.002705964953632345,0.9375,0.0625
P2_STRONG_BREAKOUT,16,2024-07,28,0.005036043683752204,0.9642857142857143,0.0
P2_STRONG_BREAKOUT,16,2024-08,14,0.006131547014732167,1.0,0.0
P2_STRONG_BREAKOUT,16,2024-09,14,0.008422310938898106,0.9285714285714286,0.07142857142857142
P2_STRONG_BREAKOUT,16,2024-10,32,0.004588229454995693,0.9375,0.0625
P2_STRONG_BREAKOUT,16,2024-11,48,0.011851073479980814,0.9583333333333334,0.041666666666666664
P2_STRONG_BREAKOUT,16,2024-12,30,0.005447730924345259,1.0,0.0
P2_STRONG_BREAKOUT,16,2025-01,37,0.010347561627567234,0.972972972972973,0.0
P2_STRONG_BREAKOUT,16,2025-02,10,-0.00764610386228608,1.0,0.0
P2_STRONG_BREAKOUT,16,2025-03,9,0.027298564376091017,1.0,0.0
P2_STRONG_BREAKOUT,16,2025-04,19,0.005014971882198209,1.0,0.0
P2_STRONG_BREAKOUT,16,2025-05,36,0.01325225441768707,0.9444444444444444,0.027777777777777776
P2_STRONG_BREAKOUT,16,2025-06,33,0.005086631759031258,0.9090909090909091,0.09090909090909091
P2_STRONG_BREAKOUT,16,2025-07,41,0.01117479589498661,0.926829268292683,0.07317073170731707
P2_STRONG_BREAKOUT,16,2025-08,34,0.011997517963567007,0.8823529411764706,0.08823529411764706
P2_STRONG_BREAKOUT,16,2025-09,20,0.0012123724970556915,0.8,0.1
P2_STRONG_BREAKOUT,16,2025-10,27,0.0023047338136289084,0.9259259259259259,0.037037037037037035
P2_STRONG_BREAKOUT,16,2025-11,16,0.006853184703009288,0.875,0.0
P2_STRONG_BREAKOUT,16,2025-12,17,0.011351308282556143,0.8823529411764706,0.11764705882352941
P2_STRONG_BREAKOUT,16,2026-01,26,0.002686919740082928,0.8846153846153846,0.07692307692307693
P2_STRONG_BREAKOUT,16,2026-02,9,0.017793436589612015,1.0,0.0
P2_STRONG_BREAKOUT,16,2026-03,22,0.006215998528525007,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,16,2026-04,22,0.01552350968977819,0.9545454545454546,0.045454545454545456
P2_STRONG_BREAKOUT,16,2026-05,14,0.0008311766298298916,0.9285714285714286,0.0
P2_STRONG_BREAKOUT,16,2026-06,15,0.011161424930468351,0.9333333333333333,0.06666666666666667
P2_STRONG_BREAKOUT,32,2024-01,38,0.005257619673386496,0.9473684210526315,0.02631578947368421
P2_STRONG_BREAKOUT,32,2024-02,53,0.010372613737813889,0.9622641509433962,0.018867924528301886
