prototype,horizon,event_count,mean_fwd_ret,median_fwd_ret,mean_mfe,mean_mae,plus_1atr_first_rate,minus_1atr_first_rate,ambiguous_rate,top1_event_contribution,top5_event_contribution,top10_event_contribution,sample_status
P5_MOMENTUM_AND_BREAKOUT_TOP40,8,188,0.012436225881101753,0.008293566029283106,0.02606271621795295,0.0012818906972988091,0.9946808510638298,0.005319148936170213,0.0,0.04586765889874529,0.1694645078514037,0.2641738208671502,valid
P5_MOMENTUM_AND_BREAKOUT_TOP40,16,188,0.013358057109946659,0.009170208997372087,0.029111702526668982,-0.0018553618100381204,0.9946808510638298,0.005319148936170213,0.0,0.0561269123971839,0.16063308059756937,0.24805078061321925,valid
P5_MOMENTUM_AND_BREAKOUT_TOP40,32,188,0.014982060121521727,0.011456489838373218,0.034530042459416536,-0.005439838710695667,0.9946808510638298,0.005319148936170213,0.0,0.048961887756122716,0.15370637458059963,0.2514282202728668,valid
P6_MOMENTUM_OR_BREAKOUT_TOP20,1,454,0.009420093478953128,0.007537355900845699,0.014568751010275717,0.0052713506581712226,0.8678414096916299,0.011013215859030838,0.006607929515418502,0.018730863019655215,0.06790548583625593,0.10504756308278713,valid
P6_MOMENTUM_OR_BREAKOUT_TOP20,4,454,0.00982613000185115,0.007579372715170729,0.0183546568459997,0.0019263286911117596,0.9162995594713657,0.03303964757709251,0.006607929515418502,0.022065266305049635,0.08081163188782338,0.13202127442664083,valid
P6_MOMENTUM_OR_BREAKOUT_TOP20,8,454,0.009889330931752434,0.0074802819990354985,0.020841350149660834,-0.0002006095141198159,0.9317180616740088,0.046255506607929514,0.006607929515418502,0.023659960980122664,0.08741504885023864,0.1400982413897573,valid
P6_MOMENTUM_OR_BREAKOUT_TOP20,16,454,0.011073039647297072,0.008808076036609824,0.024554500502351386,-0.00319871629720272,0.9361233480176211,0.05066079295154185,0.006607929515418502,0.027825860619410413,0.08361998808694827,0.13180822815002885,valid
P6_MOMENTUM_OR_BREAKOUT_TOP20,32,454,0.011711620007663985,0.008596823324992897,0.02999923837546927,-0.007663813289595109,0.9361233480176211,0.05066079295154185,0.006607929515418502,0.024232808381650605,0.07939026074721994,0.13375100811155227,valid
P7_C1_PLUS_MOMENTUM_TOP40,1,52,0.014249525141867316,0.008665394675818394,0.020791436967792058,0.009377053966739353,0.8269230769230769,0.0,0.0,0.1044965796730213,0.33345287788517347,0.5210646217985925,valid
P7_C1_PLUS_MOMENTUM_TOP40,4,52,0.015609607391810195,0.009191772604875692,0.02538839101848943,0.005877052996464057,0.8461538461538461,0.057692307692307696,0.0,0.12579698913014772,0.40047570079601885,0.5874557314005773,valid
P7_C1_PLUS_MOMENTUM_TOP40,8,52,0.014552066314943173,0.010392772059039879,0.027642640252420084,0.0033140398001648076,0.9038461538461539,0.057692307692307696,0.0,0.10088564399453463,0.41304511497277724,0.6111415293526223,valid
P7_C1_PLUS_MOMENTUM_TOP40,16,52,0.012285903128334828,0.007756237683085643,0.029715810186064708,-0.0012719940260801472,0.9038461538461539,0.09615384615384616,0.0,0.11833631269021175,0.41781155813681564,0.6360852737094199,valid
P7_C1_PLUS_MOMENTUM_TOP40,32,52,0.015149733833999122,0.012585199413190917,0.03401897285721029,-0.006613373157379158,0.9038461538461539,0.09615384615384616,0.0,0.09469787878390551,0.3721501029162946,0.6198657382546994,valid
P8_C1_PLUS_BREAKOUT_TOP40,1,197,0.009807293646519506,0.007219395874486612,0.01454493167508071,0.0063276204454170756,0.9796954314720813,0.0,0.005076142131979695,0.04050816326305137,0.12926321282642222,0.20301646794583988,valid
P8_C1_PLUS_BREAKOUT_TOP40,4,197,0.010107142786518176,0.007718038956061157,0.017150312940728107,0.0037154366238872326,0.9847715736040609,0.005076142131979695,0.005076142131979695,0.051664639341467235,0.16447478425132764,0.24769444826353218,valid
P8_C1_PLUS_BREAKOUT_TOP40,8,197,0.010189888736097098,0.0076646150272907665,0.01951123297282509,0.0017102308577707623,0.9898477157360406,0.005076142131979695,0.005076142131979695,0.03890186365547268,0.15927166750405533,0.24469310084335524,valid
P8_C1_PLUS_BREAKOUT_TOP40,16,197,0.010822563715666369,0.009132651981633266,0.02224110866522628,-0.0010525947814944883,0.9898477157360406,0.005076142131979695,0.005076142131979695,0.04047613080249817,0.14290960140200612,0.22764421215848862,valid
P8_C1_PLUS_BREAKOUT_TOP40,32,197,0.012410974210622292,0.009665141821792345,0.027678400759701346,-0.0046999003282297645,0.9898477157360406,0.005076142131979695,0.005076142131979695,0.0320910171126732,0.1318015505939629,0.23272230977415065,valid
