period,symbol,sizing_mode,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
2020Q3,BTCUSDT,fixed_risk_0_5pct,20,-0.04838529562327596,0.2202629019107281,-0.04825004551173939,0.15,valid
2020Q3,ETHUSDT,fixed_1x,30,-0.06984159122450848,0.5486301198865999,-0.09199700741561667,0.26666666666666666,valid
2020Q3,ETHUSDT,fixed_risk_0_5pct,30,-0.05360021336518384,0.4920838864655661,-0.05900073120028315,0.26666666666666666,valid
2020Q3,SOLUSDT,fixed_1x,5,0.050277716361771384,3.3814482693761394,-0.019960702051061263,0.6,insufficient_sample
2020Q3,SOLUSDT,fixed_risk_0_5pct,5,0.012132488028442353,2.053587951571443,-0.01132148818056744,0.6,insufficient_sample
2020Q4,BNBUSDT,fixed_1x,40,0.038698749626369724,1.233316146431119,-0.042395834918477426,0.5,valid
2020Q4,BNBUSDT,fixed_risk_0_5pct,40,0.024047025286380048,1.2373220375255054,-0.021475481117274486,0.5,valid
2020Q4,BTCUSDT,fixed_1x,17,-0.0033528646055608975,0.9382187464274626,-0.020751723730423444,0.4117647058823529,valid
2020Q4,BTCUSDT,fixed_risk_0_5pct,17,-0.011038795983602953,0.7656764058736767,-0.020802857929591356,0.4117647058823529,valid
2020Q4,ETHUSDT,fixed_1x,26,-0.015990530674863963,0.8456151953725858,-0.044645440343833886,0.34615384615384615,valid
2020Q4,ETHUSDT,fixed_risk_0_5pct,26,-0.021912963400600293,0.7133231268611077,-0.0370287343846647,0.34615384615384615,valid
2020Q4,SOLUSDT,fixed_1x,34,-0.15700884665396045,0.5229827713296896,-0.22020778523421647,0.2647058823529412,valid
2020Q4,SOLUSDT,fixed_risk_0_5pct,34,-0.05348856522643436,0.5885244232653771,-0.08216698340168693,0.2647058823529412,valid
2021Q1,BNBUSDT,fixed_1x,26,-0.09474087466458504,0.5570857869884586,-0.1170524468211871,0.19230769230769232,valid
2021Q1,BNBUSDT,fixed_risk_0_5pct,26,-0.0797521090092036,0.3034376258851802,-0.0841221361476523,0.19230769230769232,valid
2021Q1,BTCUSDT,fixed_1x,18,0.004721127976943717,1.054898837668379,-0.042073487373333496,0.3888888888888889,valid
2021Q1,BTCUSDT,fixed_risk_0_5pct,18,0.0039655256919575235,1.0765276000735797,-0.020856395031872088,0.3888888888888889,valid
2021Q1,ETHUSDT,fixed_1x,29,0.008420603640403812,1.064563561038597,-0.05616863717989917,0.3793103448275862,valid
2021Q1,ETHUSDT,fixed_risk_0_5pct,29,-0.015772232269305218,0.820723446581318,-0.046925878824742195,0.3793103448275862,valid
2021Q1,SOLUSDT,fixed_1x,38,0.18946896544681566,1.559468536460345,-0.08230920608754133,0.5263157894736842,valid
2021Q1,SOLUSDT,fixed_risk_0_5pct,38,0.04013188557614838,1.4048965110750349,-0.03730643061540728,0.5263157894736842,valid
2021Q2,BNBUSDT,fixed_1x,30,-0.1208944719753678,0.5462491843856662,-0.15608305632569164,0.3,valid
2021Q2,BNBUSDT,fixed_risk_0_5pct,30,-0.03891761054472478,0.5992690667124891,-0.05605430796426847,0.3,valid
2021Q2,BTCUSDT,fixed_1x,24,0.03141977218655543,1.3387075722547443,-0.02905170823780545,0.4166666666666667,valid
2021Q2,BTCUSDT,fixed_risk_0_5pct,24,0.005617451704434287,1.0773197427993093,-0.02091375213416391,0.4166666666666667,valid
2021Q2,ETHUSDT,fixed_1x,31,-0.02361773194608193,0.8679827839852857,-0.07749771286120821,0.3225806451612903,valid
