period,symbol,sizing_mode,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
2022,BTCUSDT,fixed_1x,90,-0.23287878938992101,0.3002531191559732,-0.2276387364238328,0.2,valid
2022,BTCUSDT,fixed_risk_0_5pct,90,-0.18293686080721486,0.27857779390523113,-0.17921131402878288,0.2,valid
2022,ETHUSDT,fixed_1x,92,-0.17772351142545015,0.44155960479707146,-0.18178233894489626,0.31521739130434784,valid
2022,ETHUSDT,fixed_risk_0_5pct,92,-0.11530164757559137,0.4877653663625406,-0.1199672516333592,0.31521739130434784,valid
2022,SOLUSDT,fixed_1x,102,-0.2618389010078024,0.6144264078822367,-0.27501872853494547,0.30392156862745096,valid
2022,SOLUSDT,fixed_risk_0_5pct,102,-0.14318480444645557,0.5961581670200238,-0.1504910956634209,0.30392156862745096,valid
2023,BNBUSDT,fixed_1x,94,-0.023916989874535218,0.794888228103861,-0.04696318231907226,0.4574468085106383,valid
2023,BNBUSDT,fixed_risk_0_5pct,94,-0.03547585616415465,0.7504818334000226,-0.061662268043177426,0.4574468085106383,valid
2023,BTCUSDT,fixed_1x,61,0.011031705998708495,1.1312734524826595,-0.024044220953363227,0.4262295081967213,valid
2023,BTCUSDT,fixed_risk_0_5pct,61,-0.007964324444584992,0.9073586880136119,-0.03239711983822113,0.4262295081967213,valid
2023,ETHUSDT,fixed_1x,81,-0.024371264524501106,0.7852062704160993,-0.03977359247650536,0.41975308641975306,valid
2023,ETHUSDT,fixed_risk_0_5pct,81,-0.03740277820479168,0.6978409594333439,-0.04585682598138652,0.41975308641975306,valid
2023,SOLUSDT,fixed_1x,82,-0.1341079435816206,0.658218372060977,-0.167634230397388,0.35365853658536583,valid
2023,SOLUSDT,fixed_risk_0_5pct,82,-0.07341460217786591,0.6677315578609295,-0.10358876767478054,0.35365853658536583,valid
2024,BNBUSDT,fixed_1x,127,-0.11648613618671759,0.4942143283285531,-0.12222082386200772,0.30708661417322836,valid
2024,BNBUSDT,fixed_risk_0_5pct,127,-0.1213188443727164,0.49161043021307244,-0.12566084105825326,0.30708661417322836,valid
2024,BTCUSDT,fixed_1x,127,-0.16586725305850827,0.3173567133719274,-0.16295446311493078,0.2283464566929134,valid
2024,BTCUSDT,fixed_risk_0_5pct,127,-0.1658125455826204,0.3054244161089524,-0.16275623324519428,0.2283464566929134,valid
2024,ETHUSDT,fixed_1x,101,-0.10402918210307943,0.47530860624080856,-0.10200995160694915,0.24752475247524752,valid
2024,ETHUSDT,fixed_risk_0_5pct,101,-0.11924866146977663,0.3852880779182183,-0.11825073947281817,0.24752475247524752,valid
2024,SOLUSDT,fixed_1x,138,-0.13399871128599244,0.7512031735710547,-0.19255236140784948,0.32608695652173914,valid
2024,SOLUSDT,fixed_risk_0_5pct,138,-0.1297907601113663,0.6381247642275057,-0.15386960241513803,0.32608695652173914,valid
2025,BNBUSDT,fixed_1x,117,-0.034714544877953654,0.7009807791709138,-0.04555686415542182,0.38461538461538464,valid
2025,BNBUSDT,fixed_risk_0_5pct,117,-0.03398951571615757,0.754611996532067,-0.05030988076328202,0.38461538461538464,valid
2025,BTCUSDT,fixed_1x,123,-0.08500115465096697,0.41723682849057653,-0.08526951902266733,0.2845528455284553,valid
2025,BTCUSDT,fixed_risk_0_5pct,123,-0.08577908713885682,0.3909583877956434,-0.08539296821247744,0.2845528455284553,valid
2025,ETHUSDT,fixed_1x,105,-0.010967030030547243,0.9350480906912649,-0.02729760701796058,0.4380952380952381,valid
2025,ETHUSDT,fixed_risk_0_5pct,105,-0.008991998835142897,0.9351534431421625,-0.02346512580371718,0.4380952380952381,valid
2025,SOLUSDT,fixed_1x,110,-0.11644642469915979,0.6340233854658837,-0.12237013188282908,0.32727272727272727,valid
2025,SOLUSDT,fixed_risk_0_5pct,110,-0.0957901936318419,0.5944186766631854,-0.098895491667777,0.32727272727272727,valid
2026,BNBUSDT,fixed_1x,60,-0.008862980881574575,0.8130521463434721,-0.02383651187054059,0.4,partial_year
2026,BNBUSDT,fixed_risk_0_5pct,60,-0.015459577223610268,0.7630324194592294,-0.032243398518312705,0.4,partial_year
2026,BTCUSDT,fixed_1x,48,-0.023041357988425753,0.50310187410834,-0.02367194037385456,0.2916666666666667,partial_year
2026,BTCUSDT,fixed_risk_0_5pct,48,-0.024859659236507042,0.49578970466078487,-0.025171948909601727,0.2916666666666667,partial_year
2026,ETHUSDT,fixed_1x,44,-0.028317610788222234,0.4986020422343718,-0.027837234667448807,0.3181818181818182,partial_year
2026,ETHUSDT,fixed_risk_0_5pct,44,-0.02815665474747173,0.5083911246143996,-0.02722547780627349,0.3181818181818182,partial_year
2026,SOLUSDT,fixed_1x,41,-0.013472473556003901,0.8189796325087415,-0.040830369521574594,0.34146341463414637,partial_year
2026,SOLUSDT,fixed_risk_0_5pct,41,-0.01664365181758861,0.7627181611888224,-0.0366459790749174,0.34146341463414637,partial_year
