symbol,prototype,gate,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,coverage_status
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,119,70531139793.4714,,-0.7058745013372438,2.6881113750343735,0.5966386554621849,1581862445715.2993,-870439455256.5591,1.8173147324176047,0,0.0,1000.0,70531139794471.4,0.4247698486326718,0.7878370025370343,1.0621359212087786,55 days 00:15:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,119,1888.6160271094968,,-0.14866584355262213,2.8753036321741594,0.5966386554621849,40784.71579600575,-20981.224883477316,1.9438672442867555,0,0.0,1000.0,1889616.0271094968,0.19261997783741572,0.4506037010394774,0.6233735360244774,95 days 07:15:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,119,4653.748521021774,,-0.1858323044407777,2.614650332020568,0.5966386554621849,106140.1490973207,-60045.876351833285,1.7676509286899613,0,0.0,1000.0,4654748.521021774,0.18131269138570272,0.3990888979830664,0.6031002187100817,105 days 14:54:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,119,4438.284286484644,,-0.22299876532893326,2.2303587739174957,0.5966386554621849,113318.21539536066,-75152.27097054089,1.507848185183659,0,0.0,1000.0,4439284.286484645,0.1686171739828994,0.44830253142544807,0.6710363874376464,105 days 14:54:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,99,1115302.116836833,,-0.41184200142877847,2.9362064129674117,0.5959595959595959,28666550.95364738,-14400609.73570906,1.9906484155711266,0,0.0,1000.0,1115303116.836833,0.27704632635318266,0.6852315309814135,0.979126289023439,78 days 16:11:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,99,2592033049.2350416,,-0.6935098115555387,2.197553452592167,0.5959595959595959,80618193705.03712,-54111009484.05373,1.4898667475201133,0,0.0,1000.0,2592033050235.0415,0.3421904810214825,0.9273070453994116,1.4252795343063196,78 days 16:11:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,99,512.0459302752106,,-0.16123924227637698,2.7512721521222194,0.5959595959595959,13634.424696341444,-7309.628170223363,1.8652692556760808,0,0.0,1000.0,513045.9302752106,0.22216366130965476,0.5157031574632776,0.665197405238417,85 days 01:24:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,99,851.1081484527608,,-0.2181699731145471,2.457685350128026,0.5959595959595959,24321.77286679388,-14596.91126720196,1.6662273560190004,0,0.0,1000.0,852108.1484527608,0.14854300491062192,0.41225563587950104,0.6567440377000181,212 days 22:20:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,99,1112.7104416057664,,-0.22299876532893326,2.2047488169545577,0.5959595959595959,34513.7986824109,-23090.09201641193,1.4947449606471577,0,0.0,1000.0,1113710.4416057663,0.18780046445745904,0.5146263319223053,0.7631927408016294,95 days 07:15:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x,124,6311757.676921083,,-0.4182813084560193,3.53140489279873,0.5887096774193549,120618342.44446543,-48889829.83382147,2.4671458840100713,0,0.0,1000.0,6311758676.9210825,0.2696557804930945,0.6000535740930714,0.8321490399363322,78 days 16:11:00,usable
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_20x,124,32405110187.011658,,-0.7022789926930563,3.061054112754981,0.5887096774193549,659283573539.547,-308286091791.6721,2.1385446541164934,0,0.0,1000.0,32405110188011.656,0.4247698486397575,0.7878370025501763,1.0621359212264962,78 days 16:11:00,usable
