symbol,prototype,gate,leverage_mode,trade_count,total_return,max_drawdown,profit_factor,liquidation_count,stress_liquidation_cases,final_equity,decision_status,allowed_next_step
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,198,4584.3198840738005,-0.24059742593447564,2.350798670324518,0,0,4585319.8840738,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,198,8443.599585481425,-0.23480683780760703,2.317963748925115,0,0,8444599.585481424,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,119,9356350.685696952,-0.42280024224517676,3.1804450098027033,0,0,9356351685.696953,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,119,70531139793.4714,-0.7058745013372438,2.6881113750343735,0,0,70531139794471.4,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,119,1888.6160271094968,-0.14866584355262213,2.8753036321741594,0,0,1889616.0271094968,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,119,4653.748521021774,-0.1858323044407777,2.614650332020568,0,0,4654748.521021774,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,119,4438.284286484644,-0.22299876532893326,2.2303587739174957,0,0,4439284.286484645,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,99,1115302.116836833,-0.41184200142877847,2.9362064129674117,0,0,1115303116.836833,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,99,2592033049.2350416,-0.6935098115555387,2.197553452592167,0,0,2592033050235.0415,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,99,512.0459302752106,-0.16123924227637698,2.7512721521222194,0,0,513045.9302752106,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,99,851.1081484527608,-0.2181699731145471,2.457685350128026,0,0,852108.1484527608,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,99,1112.7104416057664,-0.22299876532893326,2.2047488169545577,0,0,1113710.4416057663,candidate_for_H4_oos_or_finer_data_validation,H4_new_data_or_1s_validation
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x,124,6311757.676921083,-0.4182813084560193,3.53140489279873,0,0,6311758676.9210825,risk_monitor_only,keep_as_risk_monitor
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_20x,124,32405110187.011658,-0.7022789926930563,3.061054112754981,0,0,32405110188011.656,risk_monitor_only,keep_as_risk_monitor
