candidate_id,period,year,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
D1,2024Q3,2024,18,0.10171785118128428,1.5199683363554535,-0.13042198899069235,0.5555555555555556,valid
D1,2024Q4,2024,22,0.29322343763553177,1.9084403218988795,-0.05136561872295753,0.36363636363636365,valid
D1,2025Q1,2025,13,0.18343555259366065,1.9309548846533933,-0.10817972729086756,0.46153846153846156,valid
D1,2025Q2,2025,24,0.06848726893541442,1.1895674171566164,-0.15763796197350743,0.2916666666666667,valid
D1,2025Q3,2025,23,0.05626210499479071,1.2146240061871425,-0.13365447498031535,0.30434782608695654,valid
D1,2025Q4,2025,22,-0.20174845817311515,0.5361514056680665,-0.2878868667868967,0.18181818181818182,valid
D1,2026Q1,2026,16,-0.16756351311069603,0.4203778292610114,-0.15207032094869288,0.3125,partial_year
D1,2026Q2,2026,20,-0.08912654558221993,0.7279439577618864,-0.19557111783783065,0.3,partial_year
C2,2020Q1,2020,10,0.1993319690503577,3.278782828282701,-0.025239824233869057,0.5,valid
C2,2020Q2,2020,16,0.42338637972290466,4.2326817220415816,-0.04129596979478911,0.5,valid
C2,2020Q3,2020,14,0.3080562670275359,4.085509728195085,-0.03972417091250102,0.5714285714285714,valid
C2,2020Q4,2020,15,0.4263747012034082,2.391982220235079,-0.08550223721123262,0.4,valid
C2,2021Q1,2021,16,-0.22620269060430911,0.6896872109302058,-0.5111924960861856,0.25,valid
C2,2021Q2,2021,9,0.5507500786090977,6.7952962561376165,-0.06286855636803779,0.4444444444444444,valid
C2,2021Q3,2021,20,0.164501110275947,1.4372746108291525,-0.11724580537687412,0.4,valid
C2,2021Q4,2021,12,-0.006575722361390167,0.9812929765644961,-0.2216894980123515,0.4166666666666667,valid
