factor,common,family,role,horizon,direction,original_q5_minus_q1,ordinary_bootstrap_mean,ordinary_bootstrap_p05,ordinary_bootstrap_p50,ordinary_bootstrap_p95,ordinary_positive_rate,ordinary_same_direction_rate,monthly_bootstrap_mean,monthly_bootstrap_p05,monthly_bootstrap_p50,monthly_bootstrap_p95,monthly_positive_rate,monthly_same_direction_rate,quarterly_bootstrap_mean,quarterly_bootstrap_p05,quarterly_bootstrap_p50,quarterly_bootstrap_p95,quarterly_positive_rate,quarterly_same_direction_rate,bootstrap_status
ret_12h,Intraday momentum: 12-hour price return before the signal.,momentum_continuation,alpha,8,1,0.0051898677168743,0.005195077980287217,0.0030126508441344142,0.005201988187470549,0.007457152255825135,1.0,1.0,0.005128637644873372,0.0027522439895894956,0.005109570400358915,0.007540459374492675,0.9996,0.9996,0.005121388193728611,0.0034329621374945066,0.0051279753746293006,0.006771797614719843,1.0,1.0,robust_candidate
ret_24h,Daily momentum: 24-hour price return before the signal.,momentum_continuation,alpha,1,1,0.0046039895407037,0.004604893622904937,0.00348887910256142,0.004595885526523196,0.005775854588482191,1.0,1.0,0.004587008233331636,0.0033541991579832484,0.004544576785203055,0.005958425579738825,1.0,1.0,0.004635911687273061,0.003580736316794532,0.004608896109274491,0.005796482181896068,1.0,1.0,robust_candidate
ret_24h,Daily momentum: 24-hour price return before the signal.,momentum_continuation,alpha,4,1,0.0048486100426679,0.004843549413258339,0.0030884290624494165,0.004815429590869503,0.006642762068461399,1.0,1.0,0.004866377472208178,0.0028477243785926844,0.004824758163291776,0.006955858331034542,1.0,1.0,0.004890278614867588,0.0029450731897062163,0.0048179494304359605,0.007058237839893975,1.0,1.0,robust_candidate
ret_24h,Daily momentum: 24-hour price return before the signal.,momentum_continuation,alpha,8,1,0.003692694660223,0.0036994943131158863,0.0014995661869366891,0.003679690625488522,0.005914808105592885,0.998,0.998,0.003641067404650849,0.0011646382760182308,0.0035687029127483157,0.006376283144658753,0.9944,0.9944,0.0037566221313514816,0.0021570474967702487,0.0036539535708778326,0.005721946042250243,1.0,1.0,robust_candidate
ret_24h,Daily momentum: 24-hour price return before the signal.,momentum_continuation,alpha,16,1,0.0050709457889767,0.005087942265977417,0.0024411386181375084,0.005057084195437133,0.007855422087434599,0.9996,0.9996,0.004969600650723261,0.0016049257216861218,0.004879026413711907,0.008532935377643885,0.9904,0.9904,0.005137858959745479,0.002440199600969618,0.0051292186166527615,0.00787127446780874,0.9994,0.9994,robust_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,breakout_conviction,alpha,1,1,0.0084432220133308,0.008446510751670154,0.007318323613480505,0.008425768851474799,0.009617282765676359,1.0,1.0,0.008433181201788487,0.0073161517705069,0.00843601330964942,0.009571282153088952,1.0,1.0,0.008467788258810713,0.007353114522414597,0.00845448788832644,0.009631026943091234,1.0,1.0,robust_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,breakout_conviction,alpha,4,1,0.0088065503006615,0.008829472508270677,0.007073722644093806,0.008804850902798499,0.010629120665140608,1.0,1.0,0.008817308250625846,0.006915334758536763,0.00881794080769394,0.01073240566020205,1.0,1.0,0.008905772411606136,0.006530651361193612,0.008955352207690342,0.011130640448277222,1.0,1.0,robust_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,breakout_conviction,alpha,8,1,0.0094340424006061,0.009454478367543729,0.007423176226958821,0.009430474096057965,0.011606858275361351,1.0,1.0,0.009446833089348735,0.0075412535740186845,0.009454791923747638,0.011258065070091439,1.0,1.0,0.009458082710748841,0.007224765401562273,0.009475122666679962,0.011662300571855654,1.0,1.0,robust_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,breakout_conviction,alpha,16,1,0.0094566334113572,0.009484797656125253,0.0069166445100382265,0.009464267699711943,0.01213995580501374,1.0,1.0,0.009452238787677784,0.007116522260039926,0.009425484097657902,0.011862834197178438,1.0,1.0,0.009544325692970384,0.006746797022336,0.009551257582809088,0.012350388384555003,1.0,1.0,robust_candidate
breakout_distance_atr,Breakout extension: close distance beyond Donchian55 upper normalized by ATR.,breakout_conviction,alpha,32,1,0.0103339114321455,0.01028732417057842,0.007059039590315418,0.010294159787966712,0.013572786102262018,1.0,1.0,0.010299510827392602,0.007537825152278195,0.010286118449055146,0.013183056794101353,1.0,1.0,0.010384068489052928,0.008046805832314916,0.010363119899566148,0.012823214148552253,1.0,1.0,robust_candidate
atr_pct,Absolute volatility: ATR as a percentage of close.,volatility_expansion,risk,1,1,0.0058977109799578,0.005909550506181013,0.0047635975012413475,0.005895366820322346,0.007096453633004743,1.0,1.0,0.005892815420532548,0.00482872233801506,0.005895699829490258,0.006943543961900348,1.0,1.0,0.00594749365956489,0.005001619599479708,0.0059629676743471645,0.006803563119317398,1.0,1.0,robust_candidate
atr_pct,Absolute volatility: ATR as a percentage of close.,volatility_expansion,risk,4,1,0.0069369258008985,0.006920484441892961,0.005147924582746483,0.006896390706942099,0.00878302250820321,1.0,1.0,0.006920598426625105,0.004873913736115301,0.006952423589604386,0.008878339827926539,1.0,1.0,0.0070340767862875665,0.004675952408388658,0.007069004235356795,0.00919044513490194,1.0,1.0,robust_candidate
atr_pct,Absolute volatility: ATR as a percentage of close.,volatility_expansion,risk,8,1,0.0058174667590795,0.0057903405731407455,0.0036528079339745866,0.005786408401780812,0.007975170022950975,1.0,1.0,0.005783550474420367,0.0031261880156153825,0.005825550781694291,0.008392186408203385,0.9998,0.9998,0.0059347792666882395,0.003126840854900357,0.005953632594987095,0.008688801406207687,0.9996,0.9996,robust_candidate
atr_percentile_200,Local volatility regime: ATR percentile within the previous 200 15m bars.,volatility_expansion,risk,1,1,0.0039445343463673,0.003942236343042089,0.0028329234161827365,0.003943161474324934,0.005055710008709922,1.0,1.0,0.003954803086825907,0.0029871484320777904,0.0039475996389484146,0.0049215955404342815,1.0,1.0,0.0039830364046804945,0.0032719792295152175,0.0039609888879717555,0.004767296683934341,1.0,1.0,robust_candidate
atr_percentile_200,Local volatility regime: ATR percentile within the previous 200 15m bars.,volatility_expansion,risk,4,1,0.0052934377709047,0.005298964099375729,0.0037460412372757185,0.0052794761425127784,0.006895242534659259,1.0,1.0,0.005321771385414359,0.003721087680371196,0.0052641868753543365,0.007073442881082438,1.0,1.0,0.0053863537605762955,0.003884306641936764,0.005267950846367575,0.007290650859451177,1.0,1.0,robust_candidate
