factor,family,horizon,original_edge,remove_best_1_month_edge,remove_best_2_month_edge,remove_best_quarter_edge,repeat_worst_1_month_edge,repeat_worst_2_month_edge,stress_status
range_atr,breakout_conviction,8,0.008978444811471895,0.008314828072698578,0.007956961546080088,0.008116159296154663,0.008555456190404733,0.008242711987996896,stress_survives
range_atr,breakout_conviction,16,0.008737592413569166,0.007878367146693568,0.007306353858564146,0.007539940293175397,0.008294698255143874,0.007870360075599415,stress_survives
range_atr,breakout_conviction,32,0.010884308332661144,0.010090645177312486,0.009382002699755107,0.009929814234932234,0.010288072634965097,0.009950143221304369,stress_survives
volatility_ratio_short_long,volatility_expansion,1,0.005182980254533728,0.0049288272057662,0.004651374623660878,0.004963329762559312,0.004981702223418069,0.004810890399971081,stress_survives
volatility_ratio_short_long,volatility_expansion,4,0.006443181419288582,0.005993923650241925,0.005643332444811842,0.005866784487117404,0.006093119455009639,0.005793581457934669,stress_survives
volatility_ratio_short_long,volatility_expansion,8,0.0074574242234016945,0.006927902668785483,0.00651345662951488,0.006669403317660196,0.00707682128354128,0.006802178590277336,stress_survives
volatility_ratio_short_long,volatility_expansion,16,0.009935366596536816,0.009021990621637213,0.00849553344020967,0.008583336914134956,0.009463192371782678,0.009112573546457989,stress_survives
volatility_ratio_short_long,volatility_expansion,32,0.013509634914434809,0.012329145018556444,0.011541545642165267,0.011612643989699944,0.012933948648782391,0.012401620080111307,stress_survives
body_ratio,breakout_conviction,1,0.007421442501837608,0.007151526245558301,0.006856405072920598,0.007092868891627762,0.00714937782638516,0.006988575015390731,stress_survives
body_ratio,breakout_conviction,4,0.007372421108640422,0.006801284632132454,0.006456589152839089,0.006854543151864654,0.007035396044597785,0.0068114241637092475,stress_survives
body_ratio,breakout_conviction,8,0.007499455996830622,0.006939926119231728,0.006342993835938327,0.006957550835799279,0.007090788286522679,0.006799951122868223,stress_survives
body_ratio,breakout_conviction,16,0.007388069231071385,0.006844661289666843,0.006432900730850571,0.006919485417696004,0.006800855748689228,0.00641633497199549,stress_survives
body_ratio,breakout_conviction,32,0.00977001091559073,0.009058777181325698,0.00848853219936528,0.009023361397701345,0.008927504589932344,0.008452805612694694,stress_survives
upper_shadow_ratio,shadow_rejection,1,0.00495496214125362,0.0047075139063120375,0.004465368487301933,0.004699672400478504,0.004711921163770992,0.004535104848374633,stress_survives
upper_shadow_ratio,shadow_rejection,4,0.004024980920441507,0.0034695008923178094,0.0031318448966119634,0.003388820992977766,0.003423068022283901,0.0031322553599943655,stress_survives
upper_shadow_ratio,shadow_rejection,8,0.0037954047977149,0.0032436730333069395,0.002687832276121292,0.0033489763908796733,0.0032010747446423286,0.002905495320304239,stress_survives
upper_shadow_ratio,shadow_rejection,16,0.004622932888350048,0.004026232593295338,0.003429217575727118,0.003797698763913093,0.00408848340554875,0.0037048150006227945,stress_survives
upper_shadow_ratio,shadow_rejection,32,0.00786963871623575,0.006728488863845204,0.005632852740326056,0.006736705688606716,0.006871158139583146,0.006371095804368858,stress_survives
lower_shadow_ratio,shadow_rejection,1,0.003924682499606792,0.0036329902142671847,0.0033852701456946483,0.0034412575057850736,0.003628988501546444,0.003493686762069875,stress_survives
lower_shadow_ratio,shadow_rejection,4,0.005018540352338547,0.004642174108296646,0.004374752178991945,0.004702916851635574,0.004780374540942292,0.004597155682201641,stress_survives
lower_shadow_ratio,shadow_rejection,8,0.006327203483504521,0.006133889669390713,0.005954224481286796,0.006036429633913316,0.0060695674850363614,0.005870923649906609,stress_survives
lower_shadow_ratio,shadow_rejection,16,0.0050207455936521605,0.004741668652179571,0.004459990448080881,0.0044980268103155755,0.004684534506701098,0.004377070793683616,stress_survives
lower_shadow_ratio,shadow_rejection,32,0.005153046715192745,0.004512627995022523,0.003907184657592895,0.004247701252616314,0.004246153726296038,0.003820624126081455,stress_survives
close_location,breakout_conviction,1,0.00495496214125362,0.0047075139063120375,0.004465368487301933,0.004699672400478504,0.004711921163770992,0.004535104848374633,stress_survives
close_location,breakout_conviction,4,0.004024980920441507,0.0034695008923178094,0.0031318448966119634,0.003388820992977766,0.003423068022283901,0.0031322553599943655,stress_survives
close_location,breakout_conviction,8,0.0037954047977149,0.0032436730333069395,0.002687832276121292,0.0033489763908796733,0.0032010747446423286,0.002905495320304239,stress_survives
close_location,breakout_conviction,16,0.004622932888350048,0.004026232593295338,0.003429217575727118,0.003797698763913093,0.00408848340554875,0.0037048150006227945,stress_survives
close_location,breakout_conviction,32,0.00786963871623575,0.006728488863845204,0.005632852740326056,0.006736705688606716,0.006871158139583146,0.006371095804368858,stress_survives
pullback_depth_atr,unmapped,1,0.0023030730923401877,0.002107471959049442,0.0019174308522325462,0.001989626366524184,0.002045875117579807,0.0019036417673373848,stress_survives
pullback_depth_atr,unmapped,32,0.003781038388881444,0.003026621557134725,0.0023044384699887578,0.003006895924274851,0.0032627867402985804,0.002933066855786831,stress_survives
inside_bar_compression,compression_expansion,1,0.007041872061801811,0.006752334332084059,0.0064810681305945295,0.006590892887757702,0.006812279506870216,0.006623727467274429,stress_survives
inside_bar_compression,compression_expansion,4,0.007501741227049744,0.006938407378459926,0.00647263268332041,0.006874830555717987,0.0070743565475291995,0.006774177062025207,stress_survives
inside_bar_compression,compression_expansion,8,0.007636394663729187,0.0071728334142378385,0.006769758524134625,0.0068808340427433425,0.0072291279289357965,0.006885272850643845,stress_survives
inside_bar_compression,compression_expansion,16,0.007250691528019054,0.006811422985041374,0.0063403755594712684,0.006613248626007137,0.006835479317351098,0.006534388392396493,stress_survives
inside_bar_compression,compression_expansion,32,0.007495440269927593,0.006827255790684063,0.006265069847320127,0.007036339932280474,0.007004509583158423,0.006602521629818187,stress_survives
