prototype,symbol,month,regime,bars,coverage
Regime-0,BNBUSDT,2024-11,ALL,2880,1.0
Regime-0,BNBUSDT,2024-12,ALL,2976,1.0
Regime-0,BNBUSDT,2025-01,ALL,2976,1.0
Regime-0,BNBUSDT,2025-02,ALL,2688,1.0
Regime-0,BNBUSDT,2025-03,ALL,2976,1.0
Regime-0,BNBUSDT,2025-04,ALL,2880,1.0
Regime-0,BNBUSDT,2025-05,ALL,2976,1.0
Regime-0,BNBUSDT,2025-06,ALL,2880,1.0
Regime-0,BNBUSDT,2025-07,ALL,2976,1.0
Regime-0,BNBUSDT,2025-08,ALL,2976,1.0
Regime-0,BNBUSDT,2025-09,ALL,2880,1.0
Regime-0,BNBUSDT,2025-10,ALL,2976,1.0
Regime-0,BNBUSDT,2025-11,ALL,2880,1.0
Regime-0,BNBUSDT,2025-12,ALL,2976,1.0
Regime-0,BNBUSDT,2026-01,ALL,2976,1.0
Regime-0,BNBUSDT,2026-02,ALL,2688,1.0
Regime-0,BNBUSDT,2026-03,ALL,2976,1.0
Regime-0,BNBUSDT,2026-04,ALL,2880,1.0
Regime-0,BNBUSDT,2026-05,ALL,2976,1.0
Regime-0,BNBUSDT,2026-06,ALL,2596,1.0
Regime-0,BTCUSDT,2020-01,ALL,2976,1.0
Regime-0,BTCUSDT,2020-02,ALL,2784,1.0
Regime-0,BTCUSDT,2020-03,ALL,2976,1.0
Regime-0,BTCUSDT,2020-04,ALL,2880,1.0
Regime-0,BTCUSDT,2020-05,ALL,2976,1.0
Regime-0,BTCUSDT,2020-06,ALL,2880,1.0
Regime-0,BTCUSDT,2020-07,ALL,2976,1.0
Regime-0,BTCUSDT,2020-08,ALL,2976,1.0
Regime-0,BTCUSDT,2020-09,ALL,2880,1.0
Regime-0,BTCUSDT,2020-10,ALL,2976,1.0
Regime-0,BTCUSDT,2020-11,ALL,2880,1.0
Regime-0,BTCUSDT,2020-12,ALL,2976,1.0
Regime-0,BTCUSDT,2021-01,ALL,2976,1.0
Regime-0,BTCUSDT,2021-02,ALL,2688,1.0
Regime-0,BTCUSDT,2021-03,ALL,2976,1.0
Regime-0,BTCUSDT,2021-04,ALL,2880,1.0
Regime-0,BTCUSDT,2021-05,ALL,2976,1.0
Regime-0,BTCUSDT,2021-06,ALL,2880,1.0
Regime-0,BTCUSDT,2021-07,ALL,2976,1.0
Regime-0,BTCUSDT,2021-08,ALL,2976,1.0
Regime-0,BTCUSDT,2021-09,ALL,2880,1.0
Regime-0,BTCUSDT,2021-10,ALL,2976,1.0
Regime-0,BTCUSDT,2021-11,ALL,2880,1.0
Regime-0,BTCUSDT,2021-12,ALL,2976,1.0
Regime-0,BTCUSDT,2022-01,ALL,2976,1.0
Regime-0,BTCUSDT,2022-02,ALL,2688,1.0
Regime-0,BTCUSDT,2022-03,ALL,2976,1.0
Regime-0,BTCUSDT,2022-04,ALL,2880,1.0
Regime-0,BTCUSDT,2022-05,ALL,2976,1.0
Regime-0,BTCUSDT,2022-06,ALL,2880,1.0
Regime-0,BTCUSDT,2022-07,ALL,2976,1.0
Regime-0,BTCUSDT,2022-08,ALL,2976,1.0
Regime-0,BTCUSDT,2022-09,ALL,2880,1.0
Regime-0,BTCUSDT,2022-10,ALL,2976,1.0
Regime-0,BTCUSDT,2022-11,ALL,2880,1.0
Regime-0,BTCUSDT,2022-12,ALL,2976,1.0
Regime-0,BTCUSDT,2023-01,ALL,2976,1.0
Regime-0,BTCUSDT,2023-02,ALL,2688,1.0
Regime-0,BTCUSDT,2023-03,ALL,2976,1.0
Regime-0,BTCUSDT,2023-04,ALL,2880,1.0
Regime-0,BTCUSDT,2023-05,ALL,2976,1.0
Regime-0,BTCUSDT,2023-06,ALL,2880,1.0
Regime-0,BTCUSDT,2023-07,ALL,2976,1.0
Regime-0,BTCUSDT,2023-08,ALL,2976,1.0
Regime-0,BTCUSDT,2023-09,ALL,2880,1.0
Regime-0,BTCUSDT,2023-10,ALL,2976,1.0
Regime-0,BTCUSDT,2023-11,ALL,2880,1.0
Regime-0,BTCUSDT,2023-12,ALL,2976,1.0
Regime-0,BTCUSDT,2024-01,ALL,2976,1.0
Regime-0,BTCUSDT,2024-02,ALL,2784,1.0
Regime-0,BTCUSDT,2024-03,ALL,2976,1.0
Regime-0,BTCUSDT,2024-04,ALL,2880,1.0
Regime-0,BTCUSDT,2024-05,ALL,2976,1.0
Regime-0,BTCUSDT,2024-06,ALL,2880,1.0
Regime-0,BTCUSDT,2024-07,ALL,2976,1.0
Regime-0,BTCUSDT,2024-08,ALL,2976,1.0
Regime-0,BTCUSDT,2024-09,ALL,2880,1.0
Regime-0,BTCUSDT,2024-10,ALL,2976,1.0
Regime-0,BTCUSDT,2024-11,ALL,2880,1.0
Regime-0,BTCUSDT,2024-12,ALL,2976,1.0
Regime-0,BTCUSDT,2025-01,ALL,2976,1.0
Regime-0,BTCUSDT,2025-02,ALL,2688,1.0
Regime-0,BTCUSDT,2025-03,ALL,2976,1.0
Regime-0,BTCUSDT,2025-04,ALL,2880,1.0
Regime-0,BTCUSDT,2025-05,ALL,2976,1.0
Regime-0,BTCUSDT,2025-06,ALL,2880,1.0
Regime-0,BTCUSDT,2025-07,ALL,2976,1.0
Regime-0,BTCUSDT,2025-08,ALL,2976,1.0
Regime-0,BTCUSDT,2025-09,ALL,2880,1.0
Regime-0,BTCUSDT,2025-10,ALL,2976,1.0
Regime-0,BTCUSDT,2025-11,ALL,2880,1.0
Regime-0,BTCUSDT,2025-12,ALL,2976,1.0
Regime-0,BTCUSDT,2026-01,ALL,2976,1.0
Regime-0,BTCUSDT,2026-02,ALL,2688,1.0
Regime-0,BTCUSDT,2026-03,ALL,2976,1.0
Regime-0,BTCUSDT,2026-04,ALL,2880,1.0
Regime-0,BTCUSDT,2026-05,ALL,2976,1.0
Regime-0,BTCUSDT,2026-06,ALL,2596,1.0
Regime-0,ETHUSDT,2020-01,ALL,2976,1.0
Regime-0,ETHUSDT,2020-02,ALL,2784,1.0
Regime-0,ETHUSDT,2020-03,ALL,2976,1.0
Regime-0,ETHUSDT,2020-04,ALL,2880,1.0
Regime-0,ETHUSDT,2020-05,ALL,2976,1.0
Regime-0,ETHUSDT,2020-06,ALL,2880,1.0
Regime-0,ETHUSDT,2020-07,ALL,2976,1.0
Regime-0,ETHUSDT,2020-08,ALL,2976,1.0
Regime-0,ETHUSDT,2020-09,ALL,2880,1.0
Regime-0,ETHUSDT,2020-10,ALL,2976,1.0
Regime-0,ETHUSDT,2020-11,ALL,2880,1.0
Regime-0,ETHUSDT,2020-12,ALL,2976,1.0
Regime-0,ETHUSDT,2021-01,ALL,2976,1.0
Regime-0,ETHUSDT,2021-02,ALL,2688,1.0
Regime-0,ETHUSDT,2021-03,ALL,2976,1.0
Regime-0,ETHUSDT,2021-04,ALL,2880,1.0
Regime-0,ETHUSDT,2021-05,ALL,2976,1.0
Regime-0,ETHUSDT,2021-06,ALL,2880,1.0
Regime-0,ETHUSDT,2021-07,ALL,2976,1.0
Regime-0,ETHUSDT,2021-08,ALL,2976,1.0
Regime-0,ETHUSDT,2021-09,ALL,2880,1.0
Regime-0,ETHUSDT,2021-10,ALL,2976,1.0
Regime-0,ETHUSDT,2021-11,ALL,2880,1.0
Regime-0,ETHUSDT,2021-12,ALL,2976,1.0
Regime-0,ETHUSDT,2022-01,ALL,2976,1.0
Regime-0,ETHUSDT,2022-02,ALL,2688,1.0
Regime-0,ETHUSDT,2022-03,ALL,2976,1.0
Regime-0,ETHUSDT,2022-04,ALL,2880,1.0
Regime-0,ETHUSDT,2022-05,ALL,2976,1.0
Regime-0,ETHUSDT,2022-06,ALL,2880,1.0
Regime-0,ETHUSDT,2022-07,ALL,2976,1.0
Regime-0,ETHUSDT,2022-08,ALL,2976,1.0
Regime-0,ETHUSDT,2022-09,ALL,2880,1.0
Regime-0,ETHUSDT,2022-10,ALL,2976,1.0
Regime-0,ETHUSDT,2022-11,ALL,2880,1.0
Regime-0,ETHUSDT,2022-12,ALL,2976,1.0
Regime-0,ETHUSDT,2023-01,ALL,2976,1.0
Regime-0,ETHUSDT,2023-02,ALL,2688,1.0
Regime-0,ETHUSDT,2023-03,ALL,2976,1.0
Regime-0,ETHUSDT,2023-04,ALL,2880,1.0
Regime-0,ETHUSDT,2023-05,ALL,2976,1.0
Regime-0,ETHUSDT,2023-06,ALL,2880,1.0
Regime-0,ETHUSDT,2023-07,ALL,2976,1.0
Regime-0,ETHUSDT,2023-08,ALL,2976,1.0
Regime-0,ETHUSDT,2023-09,ALL,2880,1.0
Regime-0,ETHUSDT,2023-10,ALL,2976,1.0
Regime-0,ETHUSDT,2023-11,ALL,2880,1.0
Regime-0,ETHUSDT,2023-12,ALL,2976,1.0
Regime-0,ETHUSDT,2024-01,ALL,2976,1.0
Regime-0,ETHUSDT,2024-02,ALL,2784,1.0
Regime-0,ETHUSDT,2024-03,ALL,2976,1.0
Regime-0,ETHUSDT,2024-04,ALL,2880,1.0
Regime-0,ETHUSDT,2024-05,ALL,2976,1.0
Regime-0,ETHUSDT,2024-06,ALL,2880,1.0
Regime-0,ETHUSDT,2024-07,ALL,2976,1.0
Regime-0,ETHUSDT,2024-08,ALL,2976,1.0
Regime-0,ETHUSDT,2024-09,ALL,2880,1.0
Regime-0,ETHUSDT,2024-10,ALL,2976,1.0
Regime-0,ETHUSDT,2024-11,ALL,2880,1.0
Regime-0,ETHUSDT,2024-12,ALL,2976,1.0
Regime-0,ETHUSDT,2025-01,ALL,2976,1.0
Regime-0,ETHUSDT,2025-02,ALL,2688,1.0
Regime-0,ETHUSDT,2025-03,ALL,2976,1.0
Regime-0,ETHUSDT,2025-04,ALL,2880,1.0
Regime-0,ETHUSDT,2025-05,ALL,2976,1.0
Regime-0,ETHUSDT,2025-06,ALL,2880,1.0
Regime-0,ETHUSDT,2025-07,ALL,2976,1.0
Regime-0,ETHUSDT,2025-08,ALL,2976,1.0
Regime-0,ETHUSDT,2025-09,ALL,2880,1.0
Regime-0,ETHUSDT,2025-10,ALL,2976,1.0
Regime-0,ETHUSDT,2025-11,ALL,2880,1.0
Regime-0,ETHUSDT,2025-12,ALL,2976,1.0
Regime-0,ETHUSDT,2026-01,ALL,2976,1.0
Regime-0,ETHUSDT,2026-02,ALL,2688,1.0
Regime-0,ETHUSDT,2026-03,ALL,2976,1.0
Regime-0,ETHUSDT,2026-04,ALL,2880,1.0
Regime-0,ETHUSDT,2026-05,ALL,2976,1.0
Regime-0,ETHUSDT,2026-06,ALL,2596,1.0
Regime-0,SOLUSDT,2020-09,ALL,1604,1.0
Regime-0,SOLUSDT,2020-10,ALL,2976,1.0
Regime-0,SOLUSDT,2020-11,ALL,2880,1.0
Regime-0,SOLUSDT,2020-12,ALL,2976,1.0
Regime-0,SOLUSDT,2021-01,ALL,2976,1.0
Regime-0,SOLUSDT,2021-02,ALL,2688,1.0
Regime-0,SOLUSDT,2021-03,ALL,2976,1.0
Regime-0,SOLUSDT,2021-04,ALL,2880,1.0
Regime-0,SOLUSDT,2021-05,ALL,2976,1.0
Regime-0,SOLUSDT,2021-06,ALL,2880,1.0
Regime-0,SOLUSDT,2021-07,ALL,2976,1.0
Regime-0,SOLUSDT,2021-08,ALL,2976,1.0
Regime-0,SOLUSDT,2021-09,ALL,2880,1.0
Regime-0,SOLUSDT,2021-10,ALL,2976,1.0
Regime-0,SOLUSDT,2021-11,ALL,2880,1.0
Regime-0,SOLUSDT,2021-12,ALL,2976,1.0
Regime-0,SOLUSDT,2022-01,ALL,2976,1.0
Regime-0,SOLUSDT,2022-02,ALL,2400,1.0
Regime-0,SOLUSDT,2022-03,ALL,2976,1.0
Regime-0,SOLUSDT,2022-04,ALL,2688,1.0
Regime-0,SOLUSDT,2022-05,ALL,2976,1.0
Regime-0,SOLUSDT,2022-06,ALL,2880,1.0
Regime-0,SOLUSDT,2022-07,ALL,2976,1.0
Regime-0,SOLUSDT,2022-08,ALL,2976,1.0
Regime-0,SOLUSDT,2022-09,ALL,2880,1.0
Regime-0,SOLUSDT,2022-10,ALL,2976,1.0
Regime-0,SOLUSDT,2022-11,ALL,2880,1.0
Regime-0,SOLUSDT,2022-12,ALL,2976,1.0
Regime-0,SOLUSDT,2023-01,ALL,2976,1.0
Regime-0,SOLUSDT,2023-02,ALL,2688,1.0
Regime-0,SOLUSDT,2023-03,ALL,2976,1.0
Regime-0,SOLUSDT,2023-04,ALL,2880,1.0
Regime-0,SOLUSDT,2023-05,ALL,2976,1.0
Regime-0,SOLUSDT,2023-06,ALL,2880,1.0
Regime-0,SOLUSDT,2023-07,ALL,2976,1.0
Regime-0,SOLUSDT,2023-08,ALL,2976,1.0
Regime-0,SOLUSDT,2023-09,ALL,2880,1.0
Regime-0,SOLUSDT,2023-10,ALL,2976,1.0
Regime-0,SOLUSDT,2023-11,ALL,2880,1.0
Regime-0,SOLUSDT,2023-12,ALL,2976,1.0
Regime-0,SOLUSDT,2024-01,ALL,2976,1.0
Regime-0,SOLUSDT,2024-02,ALL,2784,1.0
Regime-0,SOLUSDT,2024-03,ALL,2976,1.0
Regime-0,SOLUSDT,2024-04,ALL,2880,1.0
Regime-0,SOLUSDT,2024-05,ALL,2976,1.0
Regime-0,SOLUSDT,2024-06,ALL,2880,1.0
Regime-0,SOLUSDT,2024-07,ALL,2976,1.0
Regime-0,SOLUSDT,2024-08,ALL,2976,1.0
Regime-0,SOLUSDT,2024-09,ALL,2880,1.0
Regime-0,SOLUSDT,2024-10,ALL,2976,1.0
Regime-0,SOLUSDT,2024-11,ALL,2880,1.0
Regime-0,SOLUSDT,2024-12,ALL,2976,1.0
Regime-0,SOLUSDT,2025-01,ALL,2976,1.0
Regime-0,SOLUSDT,2025-02,ALL,2688,1.0
Regime-0,SOLUSDT,2025-03,ALL,2976,1.0
Regime-0,SOLUSDT,2025-04,ALL,2880,1.0
Regime-0,SOLUSDT,2025-05,ALL,2976,1.0
Regime-0,SOLUSDT,2025-06,ALL,2880,1.0
Regime-0,SOLUSDT,2025-07,ALL,2976,1.0
Regime-0,SOLUSDT,2025-08,ALL,2976,1.0
Regime-0,SOLUSDT,2025-09,ALL,2880,1.0
Regime-0,SOLUSDT,2025-10,ALL,2976,1.0
Regime-0,SOLUSDT,2025-11,ALL,2880,1.0
Regime-0,SOLUSDT,2025-12,ALL,2976,1.0
Regime-0,SOLUSDT,2026-01,ALL,2976,1.0
Regime-0,SOLUSDT,2026-02,ALL,2688,1.0
Regime-0,SOLUSDT,2026-03,ALL,2976,1.0
Regime-0,SOLUSDT,2026-04,ALL,2880,1.0
Regime-0,SOLUSDT,2026-05,ALL,2976,1.0
Regime-0,SOLUSDT,2026-06,ALL,2596,1.0
Regime-1,BNBUSDT,2020-02,NON_TREND,1613,0.8547959724430313
Regime-1,BNBUSDT,2020-02,TREND,274,0.14520402755696873
Regime-1,BNBUSDT,2020-03,NON_TREND,2214,0.7439516129032258
Regime-1,BNBUSDT,2020-03,TREND,762,0.2560483870967742
Regime-1,BNBUSDT,2020-04,NON_TREND,1948,0.6763888888888889
Regime-1,BNBUSDT,2020-04,TREND,932,0.3236111111111111
Regime-1,BNBUSDT,2020-05,NON_TREND,2129,0.7153897849462365
Regime-1,BNBUSDT,2020-05,TREND,847,0.28461021505376344
Regime-1,BNBUSDT,2020-06,NON_TREND,2345,0.8142361111111112
Regime-1,BNBUSDT,2020-06,TREND,535,0.1857638888888889
Regime-1,BNBUSDT,2020-07,NON_TREND,2155,0.7241263440860215
Regime-1,BNBUSDT,2020-07,TREND,821,0.2758736559139785
Regime-1,BNBUSDT,2020-08,NON_TREND,2140,0.7190860215053764
Regime-1,BNBUSDT,2020-08,TREND,836,0.28091397849462363
Regime-1,BNBUSDT,2020-09,NON_TREND,2132,0.7402777777777778
Regime-1,BNBUSDT,2020-09,TREND,748,0.25972222222222224
Regime-1,BNBUSDT,2020-10,NON_TREND,2240,0.7526881720430108
Regime-1,BNBUSDT,2020-10,TREND,736,0.24731182795698925
Regime-1,BNBUSDT,2020-11,NON_TREND,2243,0.7788194444444444
Regime-1,BNBUSDT,2020-11,TREND,637,0.22118055555555555
Regime-1,BNBUSDT,2020-12,NON_TREND,2039,0.6851478494623656
Regime-1,BNBUSDT,2020-12,TREND,937,0.31485215053763443
Regime-1,BNBUSDT,2021-01,NON_TREND,2072,0.696236559139785
Regime-1,BNBUSDT,2021-01,TREND,904,0.30376344086021506
Regime-1,BNBUSDT,2021-02,NON_TREND,1739,0.6469494047619048
Regime-1,BNBUSDT,2021-02,TREND,949,0.35305059523809523
Regime-1,BNBUSDT,2021-03,NON_TREND,2067,0.6945564516129032
Regime-1,BNBUSDT,2021-03,TREND,909,0.30544354838709675
Regime-1,BNBUSDT,2021-04,NON_TREND,1750,0.6076388888888888
Regime-1,BNBUSDT,2021-04,TREND,1130,0.3923611111111111
Regime-1,BNBUSDT,2021-05,NON_TREND,2287,0.7684811827956989
Regime-1,BNBUSDT,2021-05,TREND,689,0.23151881720430106
Regime-1,BNBUSDT,2021-06,NON_TREND,1998,0.69375
Regime-1,BNBUSDT,2021-06,TREND,882,0.30625
Regime-1,BNBUSDT,2021-07,NON_TREND,2077,0.6979166666666666
Regime-1,BNBUSDT,2021-07,TREND,899,0.3020833333333333
Regime-1,BNBUSDT,2021-08,NON_TREND,1890,0.6350806451612904
Regime-1,BNBUSDT,2021-08,TREND,1086,0.3649193548387097
Regime-1,BNBUSDT,2021-09,NON_TREND,2163,0.7510416666666667
Regime-1,BNBUSDT,2021-09,TREND,717,0.24895833333333334
Regime-1,BNBUSDT,2021-10,NON_TREND,1837,0.6172715053763441
Regime-1,BNBUSDT,2021-10,TREND,1139,0.38272849462365593
Regime-1,BNBUSDT,2021-11,NON_TREND,1811,0.6288194444444445
Regime-1,BNBUSDT,2021-11,TREND,1069,0.37118055555555557
Regime-1,BNBUSDT,2021-12,NON_TREND,2349,0.7893145161290323
Regime-1,BNBUSDT,2021-12,TREND,627,0.21068548387096775
Regime-1,BNBUSDT,2022-01,NON_TREND,2139,0.71875
Regime-1,BNBUSDT,2022-01,TREND,837,0.28125
Regime-1,BNBUSDT,2022-02,NON_TREND,1895,0.7049851190476191
Regime-1,BNBUSDT,2022-02,TREND,793,0.29501488095238093
Regime-1,BNBUSDT,2022-03,NON_TREND,2040,0.6854838709677419
Regime-1,BNBUSDT,2022-03,TREND,936,0.31451612903225806
Regime-1,BNBUSDT,2022-04,NON_TREND,2168,0.7527777777777778
Regime-1,BNBUSDT,2022-04,TREND,712,0.24722222222222223
Regime-1,BNBUSDT,2022-05,NON_TREND,2133,0.7167338709677419
Regime-1,BNBUSDT,2022-05,TREND,843,0.28326612903225806
Regime-1,BNBUSDT,2022-06,NON_TREND,2197,0.7628472222222222
Regime-1,BNBUSDT,2022-06,TREND,683,0.23715277777777777
Regime-1,BNBUSDT,2022-07,NON_TREND,1879,0.6313844086021505
Regime-1,BNBUSDT,2022-07,TREND,1097,0.36861559139784944
Regime-1,BNBUSDT,2022-08,NON_TREND,2231,0.7496639784946236
Regime-1,BNBUSDT,2022-08,TREND,745,0.25033602150537637
Regime-1,BNBUSDT,2022-09,NON_TREND,2191,0.7607638888888889
Regime-1,BNBUSDT,2022-09,TREND,689,0.23923611111111112
Regime-1,BNBUSDT,2022-10,NON_TREND,2328,0.782258064516129
Regime-1,BNBUSDT,2022-10,TREND,648,0.21774193548387097
Regime-1,BNBUSDT,2022-11,NON_TREND,2218,0.7701388888888889
Regime-1,BNBUSDT,2022-11,TREND,662,0.2298611111111111
Regime-1,BNBUSDT,2022-12,NON_TREND,2615,0.8786962365591398
Regime-1,BNBUSDT,2022-12,TREND,361,0.12130376344086022
Regime-1,BNBUSDT,2023-01,NON_TREND,2272,0.7634408602150538
Regime-1,BNBUSDT,2023-01,TREND,704,0.23655913978494625
Regime-1,BNBUSDT,2023-02,NON_TREND,2144,0.7976190476190477
Regime-1,BNBUSDT,2023-02,TREND,544,0.20238095238095238
Regime-1,BNBUSDT,2023-03,NON_TREND,2340,0.7862903225806451
Regime-1,BNBUSDT,2023-03,TREND,636,0.21370967741935484
Regime-1,BNBUSDT,2023-04,NON_TREND,2058,0.7145833333333333
Regime-1,BNBUSDT,2023-04,TREND,822,0.28541666666666665
Regime-1,BNBUSDT,2023-05,NON_TREND,2170,0.7291666666666666
Regime-1,BNBUSDT,2023-05,TREND,806,0.2708333333333333
Regime-1,BNBUSDT,2023-06,NON_TREND,2251,0.7815972222222223
Regime-1,BNBUSDT,2023-06,TREND,629,0.21840277777777778
Regime-1,BNBUSDT,2023-07,NON_TREND,2392,0.803763440860215
Regime-1,BNBUSDT,2023-07,TREND,584,0.19623655913978494
Regime-1,BNBUSDT,2023-08,NON_TREND,2377,0.7987231182795699
Regime-1,BNBUSDT,2023-08,TREND,599,0.2012768817204301
Regime-1,BNBUSDT,2023-09,NON_TREND,2353,0.8170138888888889
Regime-1,BNBUSDT,2023-09,TREND,527,0.1829861111111111
Regime-1,BNBUSDT,2023-10,NON_TREND,2345,0.7879704301075269
Regime-1,BNBUSDT,2023-10,TREND,631,0.21202956989247312
Regime-1,BNBUSDT,2023-11,NON_TREND,2196,0.7625
Regime-1,BNBUSDT,2023-11,TREND,684,0.2375
Regime-1,BNBUSDT,2023-12,NON_TREND,2136,0.717741935483871
Regime-1,BNBUSDT,2023-12,TREND,840,0.28225806451612906
Regime-1,BNBUSDT,2024-01,NON_TREND,2353,0.7906586021505376
Regime-1,BNBUSDT,2024-01,TREND,623,0.20934139784946237
Regime-1,BNBUSDT,2024-02,NON_TREND,1854,0.665948275862069
Regime-1,BNBUSDT,2024-02,TREND,930,0.33405172413793105
Regime-1,BNBUSDT,2024-03,NON_TREND,1922,0.6458333333333334
Regime-1,BNBUSDT,2024-03,TREND,1054,0.3541666666666667
Regime-1,BNBUSDT,2024-04,NON_TREND,2142,0.74375
Regime-1,BNBUSDT,2024-04,TREND,738,0.25625
Regime-1,BNBUSDT,2024-05,NON_TREND,2379,0.7993951612903226
Regime-1,BNBUSDT,2024-05,TREND,597,0.2006048387096774
Regime-1,BNBUSDT,2024-06,NON_TREND,2316,0.8041666666666667
Regime-1,BNBUSDT,2024-06,TREND,564,0.19583333333333333
Regime-1,BNBUSDT,2024-07,NON_TREND,2081,0.699260752688172
Regime-1,BNBUSDT,2024-07,TREND,895,0.30073924731182794
Regime-1,BNBUSDT,2024-08,NON_TREND,2185,0.7342069892473119
Regime-1,BNBUSDT,2024-08,TREND,791,0.2657930107526882
Regime-1,BNBUSDT,2024-09,NON_TREND,1998,0.69375
Regime-1,BNBUSDT,2024-09,TREND,882,0.30625
Regime-1,BNBUSDT,2024-10,NON_TREND,2191,0.7362231182795699
Regime-1,BNBUSDT,2024-10,TREND,785,0.2637768817204301
Regime-1,BNBUSDT,2024-11,NON_TREND,2120,0.7361111111111112
Regime-1,BNBUSDT,2024-11,TREND,760,0.2638888888888889
Regime-1,BNBUSDT,2024-12,NON_TREND,2091,0.7026209677419355
Regime-1,BNBUSDT,2024-12,TREND,885,0.2973790322580645
Regime-1,BNBUSDT,2025-01,NON_TREND,2097,0.7046370967741935
Regime-1,BNBUSDT,2025-01,TREND,879,0.29536290322580644
Regime-1,BNBUSDT,2025-02,NON_TREND,2108,0.7842261904761905
Regime-1,BNBUSDT,2025-02,TREND,580,0.21577380952380953
Regime-1,BNBUSDT,2025-03,NON_TREND,2079,0.6985887096774194
Regime-1,BNBUSDT,2025-03,TREND,897,0.3014112903225806
Regime-1,BNBUSDT,2025-04,NON_TREND,2198,0.7631944444444444
Regime-1,BNBUSDT,2025-04,TREND,682,0.23680555555555555
Regime-1,BNBUSDT,2025-05,NON_TREND,2145,0.7207661290322581
Regime-1,BNBUSDT,2025-05,TREND,831,0.27923387096774194
Regime-1,BNBUSDT,2025-06,NON_TREND,2053,0.7128472222222222
Regime-1,BNBUSDT,2025-06,TREND,827,0.28715277777777776
Regime-1,BNBUSDT,2025-07,NON_TREND,1830,0.6149193548387096
Regime-1,BNBUSDT,2025-07,TREND,1146,0.3850806451612903
Regime-1,BNBUSDT,2025-08,NON_TREND,1942,0.6525537634408602
Regime-1,BNBUSDT,2025-08,TREND,1034,0.3474462365591398
Regime-1,BNBUSDT,2025-09,NON_TREND,1843,0.6399305555555556
Regime-1,BNBUSDT,2025-09,TREND,1037,0.36006944444444444
