factor_name,bucket,events,mean_fwd_ret_120m,median_fwd_ret_120m,mean_mfe_atr_120m,mean_mae_atr_120m,extreme_loss_rate_120m
range_width_atr_96,top20,43594,-2.0559859857406875e-05,6.857217466305077e-05,1.7819236209948508,1.8770820867683975,0.1819975225948525
mean_cross_count_ema20_96,bottom20,47194,-1.2426671537929313e-05,0.00012848868939951963,1.6490490106357616,1.7450939036128992,0.15569775818960038
mean_cross_count_ema20_96,bottom40,103275,1.6090477249479314e-06,0.00010675952007477285,1.6305580664598616,1.723042443306892,0.15454853546356814
mean_cross_count_ema20_96,middle20,38264,4.418839061891194e-05,9.226373380388786e-05,1.6126328848844402,1.7176469934685024,0.15570771482333265
mean_cross_count_ema20_96,top40,94652,-2.8718657526186834e-05,6.329909534108502e-05,1.6484123414963017,1.7313590894004904,0.15564383214300806
mean_cross_count_ema20_96,top20,45323,-1.3686152898596464e-05,6.554475887710076e-05,1.6669822450155387,1.7292892033131866,0.15486618273282882
breakout_failure_rate_96,bottom20,61970,1.3607932306950967e-05,0.00011580463940707997,1.6447073322314774,1.7296152914680396,0.15759238341132806
breakout_failure_rate_96,bottom40,93872,-4.170358112792347e-05,8.564943701205863e-05,1.6160402825462392,1.735012794932645,0.15744844042952105
breakout_failure_rate_96,middle20,40246,0.00019344301442965955,0.0001558614436967254,1.6524632000722759,1.6937492744440752,0.15248720369726185
breakout_failure_rate_96,top40,112249,1.7052777619077717e-05,9.3197187774674e-05,1.6533256283423223,1.7145450108891793,0.1522240732656861
breakout_failure_rate_96,top20,47549,-7.274424309062965e-05,5.3567602313897567e-05,1.661820137462317,1.7375678733669668,0.15586027045784348
range_persistence_96,bottom20,69454,8.947593097070623e-05,0.0001496059215715384,1.6318815369813227,1.737234553430795,0.16033633771992975
range_persistence_96,bottom40,135630,-2.541084942859229e-05,8.846523922034777e-05,1.621862902241594,1.7288524632650555,0.15728821057288211
range_persistence_96,top40,148515,-4.842729182892766e-05,6.724752938436218e-05,1.6363742278098985,1.7167011762592497,0.15200484799515201
range_persistence_96,top20,82339,2.998282189079555e-05,8.375897388801512e-05,1.6564878524351832,1.7140055656916575,0.15032973439075042
atr_percentile_200,bottom20,44669,-0.0001111759246386526,0.0,1.8468928669568097,1.9162492839333654,0.18818419933287067
atr_percentile_200,bottom40,88849,-9.300517233498955e-05,2.619529113401242e-06,1.7850900594784898,1.8676035731732235,0.17780729102184606
atr_percentile_200,middle20,42698,0.00011310981301715556,0.0001234256887046037,1.6691507018812093,1.7044415434429194,0.15305166518338095
atr_percentile_200,top40,87591,3.18806415231324e-05,0.0001730702665281303,1.465906125506315,1.5846078045417824,0.13193136281124773
atr_percentile_200,top20,43973,0.00010554473171354834,0.000223226742563698,1.3959966471756404,1.5398327436095929,0.12523594023605394
downside_volatility_80,bottom20,43594,1.2445066741595156e-05,6.415632522205339e-05,1.8282659224915307,1.8491517369548067,0.16958755792081479
downside_volatility_80,bottom40,87189,-1.844334671038259e-05,6.203059077369844e-05,1.7562553389449225,1.8200283160494548,0.16786521235476953
downside_volatility_80,middle20,43593,-0.00012762998333768827,1.6848348019404824e-05,1.5822306061943876,1.7200165152105766,0.1551395866308811
downside_volatility_80,top40,87189,7.100745075601653e-05,0.00022079929344220872,1.5399930248833804,1.6280748314664335,0.14121047379830023
downside_volatility_80,top20,43595,4.820670188577744e-05,0.00023172822913286595,1.5074534886657307,1.5999228850764498,0.1377680926711779
jump_score_80,bottom20,43594,-4.022519101613743e-05,4.571535072350752e-05,1.6259653889523502,1.7111444000771632,0.15412671468550718
jump_score_80,bottom40,87188,-9.668467788126467e-05,4.207829699898191e-05,1.618395406352316,1.7160774466954096,0.1537941001055191
jump_score_80,middle20,43593,3.845029418428814e-05,0.0001142237071305452,1.6318794603590576,1.7053682851150787,0.15199688023306493
jump_score_80,top40,87188,6.624606694043069e-05,0.00012212311460091385,1.6530215019063377,1.7393481188996645,0.15685644813506447
jump_score_80,top20,43594,7.437811845264881e-05,0.00012409827201398382,1.6738319079082369,1.7660022676185183,0.16114602927008304
high_low_spread_pct,bottom20,43594,2.472940648994089e-05,6.284285096302966e-05,1.763546244640549,1.7855387239662317,0.15956324264807084
high_low_spread_pct,bottom40,87188,-1.1038685647664587e-05,5.7648076978500384e-05,1.7040302805732108,1.7704860040859436,0.15994173510116072
high_low_spread_pct,middle20,43593,1.084702616241862e-05,0.00011523226503418194,1.6136923866289126,1.7165866016388194,0.1551395866308811
high_low_spread_pct,top40,87188,-5.5986078770415035e-06,0.00016263798984850197,1.5764799559544507,1.679330531915385,0.1491374959856861
high_low_spread_pct,top20,43594,7.069100153719449e-05,0.0001745632193496105,1.5671610945666021,1.6591456336799764,0.14889663715190163
dollar_volume_percentile_200,bottom20,44896,-1.093957918478586e-05,8.846351463276392e-05,1.5843644595627389,1.6356629756667804,0.1384087669280114
dollar_volume_percentile_200,bottom40,88367,1.7917936404198764e-05,0.00010399143599948424,1.5920068736457214,1.6500691697899488,0.1409123315264748
dollar_volume_percentile_200,middle20,43260,-9.089606429133046e-06,9.35152927868943e-05,1.6010372575026075,1.7025324393870565,0.15397595931576513
dollar_volume_percentile_200,top40,87501,-2.3571682384632163e-05,6.128201985533543e-05,1.6948106788535227,1.8070101265601843,0.16866092958937612
dollar_volume_percentile_200,top20,44275,-2.909703497171148e-05,4.3844505461354544e-05,1.7423640279927346,1.8698605414453766,0.17861095426312817
