prototype,symbol,year,regime,bars,coverage
Regime-2,BTCUSDT,2022,UNCERTAIN,13758,0.39263698630136984
Regime-2,BTCUSDT,2023,RANGE,15770,0.4500570776255708
Regime-2,BTCUSDT,2023,TREND,7765,0.2216038812785388
Regime-2,BTCUSDT,2023,UNCERTAIN,11505,0.3283390410958904
Regime-2,BTCUSDT,2024,RANGE,10935,0.31121926229508196
Regime-2,BTCUSDT,2024,TREND,9808,0.279143897996357
Regime-2,BTCUSDT,2024,UNCERTAIN,14393,0.409636839708561
Regime-2,BTCUSDT,2025,RANGE,9145,0.2609874429223744
Regime-2,BTCUSDT,2025,TREND,9972,0.2845890410958904
Regime-2,BTCUSDT,2025,UNCERTAIN,15923,0.45442351598173514
Regime-2,BTCUSDT,2026,RANGE,4732,0.2768546688509244
Regime-2,BTCUSDT,2026,TREND,4602,0.2692487713550199
Regime-2,BTCUSDT,2026,UNCERTAIN,7758,0.4538965597940557
Regime-2,ETHUSDT,2020,RANGE,12271,0.349242941712204
Regime-2,ETHUSDT,2020,TREND,9174,0.2610997267759563
Regime-2,ETHUSDT,2020,UNCERTAIN,13691,0.38965733151183973
Regime-2,ETHUSDT,2021,RANGE,9176,0.26187214611872145
Regime-2,ETHUSDT,2021,TREND,11417,0.32582762557077627
Regime-2,ETHUSDT,2021,UNCERTAIN,14447,0.4123002283105023
Regime-2,ETHUSDT,2022,RANGE,11866,0.33864155251141553
Regime-2,ETHUSDT,2022,TREND,9365,0.2672659817351598
Regime-2,ETHUSDT,2022,UNCERTAIN,13809,0.39409246575342466
Regime-2,ETHUSDT,2023,RANGE,15561,0.44409246575342465
Regime-2,ETHUSDT,2023,TREND,7772,0.22180365296803653
Regime-2,ETHUSDT,2023,UNCERTAIN,11707,0.3341038812785388
Regime-2,ETHUSDT,2024,RANGE,11263,0.3205544171220401
Regime-2,ETHUSDT,2024,TREND,9408,0.2677595628415301
Regime-2,ETHUSDT,2024,UNCERTAIN,14465,0.41168602003642984
Regime-2,ETHUSDT,2025,RANGE,11102,0.316837899543379
Regime-2,ETHUSDT,2025,TREND,9433,0.2692066210045662
Regime-2,ETHUSDT,2025,UNCERTAIN,14505,0.4139554794520548
Regime-2,ETHUSDT,2026,RANGE,5949,0.34805757079335364
Regime-2,ETHUSDT,2026,TREND,4002,0.23414462906622982
Regime-2,ETHUSDT,2026,UNCERTAIN,7141,0.41779780014041656
Regime-2,SOLUSDT,2020,RANGE,2715,0.26015714833269454
Regime-2,SOLUSDT,2020,TREND,2799,0.26820620927558453
Regime-2,SOLUSDT,2020,UNCERTAIN,4922,0.471636642391721
Regime-2,SOLUSDT,2021,RANGE,9218,0.26307077625570774
Regime-2,SOLUSDT,2021,TREND,11969,0.3415810502283105
Regime-2,SOLUSDT,2021,UNCERTAIN,13853,0.3953481735159817
Regime-2,SOLUSDT,2022,RANGE,11965,0.34620949074074076
Regime-2,SOLUSDT,2022,TREND,8433,0.24401041666666667
Regime-2,SOLUSDT,2022,UNCERTAIN,14162,0.40978009259259257
Regime-2,SOLUSDT,2023,RANGE,15123,0.43159246575342464
Regime-2,SOLUSDT,2023,TREND,8688,0.24794520547945206
Regime-2,SOLUSDT,2023,UNCERTAIN,11229,0.3204623287671233
Regime-2,SOLUSDT,2024,RANGE,11559,0.32897882513661203
Regime-2,SOLUSDT,2024,TREND,9703,0.2761555100182149
Regime-2,SOLUSDT,2024,UNCERTAIN,13874,0.39486566484517305
Regime-2,SOLUSDT,2025,RANGE,11242,0.32083333333333336
Regime-2,SOLUSDT,2025,TREND,9731,0.27771118721461185
Regime-2,SOLUSDT,2025,UNCERTAIN,14067,0.4014554794520548
Regime-2,SOLUSDT,2026,RANGE,6488,0.37959279194945006
Regime-2,SOLUSDT,2026,TREND,4270,0.24982447928855606
Regime-2,SOLUSDT,2026,UNCERTAIN,6334,0.37058272876199394
Regime-3,BNBUSDT,2020,EXTREME,4418,0.14131721203979145
Regime-3,BNBUSDT,2020,RANGE,8462,0.27067140069730994
Regime-3,BNBUSDT,2020,TRANSITION,13125,0.41982535265329624
Regime-3,BNBUSDT,2020,TREND,5258,0.1681860346096024
Regime-3,BNBUSDT,2021,EXTREME,4493,0.12822488584474886
Regime-3,BNBUSDT,2021,RANGE,7639,0.2180079908675799
Regime-3,BNBUSDT,2021,TRANSITION,15145,0.4322203196347032
Regime-3,BNBUSDT,2021,TREND,7763,0.22154680365296803
Regime-3,BNBUSDT,2022,EXTREME,4714,0.13453196347031962
Regime-3,BNBUSDT,2022,RANGE,9546,0.27243150684931505
Regime-3,BNBUSDT,2022,TRANSITION,14776,0.42168949771689496
Regime-3,BNBUSDT,2022,TREND,6004,0.17134703196347031
Regime-3,BNBUSDT,2023,EXTREME,4756,0.13573059360730594
Regime-3,BNBUSDT,2023,RANGE,10857,0.3098458904109589
Regime-3,BNBUSDT,2023,TRANSITION,14551,0.41526826484018264
Regime-3,BNBUSDT,2023,TREND,4876,0.1391552511415525
Regime-3,BNBUSDT,2024,EXTREME,5053,0.14381261384335156
Regime-3,BNBUSDT,2024,RANGE,8000,0.22768670309653916
Regime-3,BNBUSDT,2024,TRANSITION,15808,0.44990892531876137
Regime-3,BNBUSDT,2024,TREND,6275,0.17859175774134792
Regime-3,BNBUSDT,2025,EXTREME,5002,0.14275114155251142
Regime-3,BNBUSDT,2025,RANGE,6904,0.19703196347031962
Regime-3,BNBUSDT,2025,TRANSITION,16311,0.46549657534246575
Regime-3,BNBUSDT,2025,TREND,6823,0.1947203196347032
Regime-3,BNBUSDT,2026,EXTREME,2293,0.13415633044699274
Regime-3,BNBUSDT,2026,RANGE,3833,0.22425696232155395
Regime-3,BNBUSDT,2026,TRANSITION,7759,0.45395506669787034
Regime-3,BNBUSDT,2026,TREND,3207,0.18763164053358297
Regime-3,BTCUSDT,2020,EXTREME,4857,0.13823428961748635
Regime-3,BTCUSDT,2020,RANGE,9725,0.2767816484517304
Regime-3,BTCUSDT,2020,TRANSITION,14802,0.4212773224043716
Regime-3,BTCUSDT,2020,TREND,5752,0.16370673952641165
Regime-3,BTCUSDT,2021,EXTREME,4720,0.13470319634703196
Regime-3,BTCUSDT,2021,RANGE,6631,0.18924086757990868
Regime-3,BTCUSDT,2021,TRANSITION,16173,0.4615582191780822
Regime-3,BTCUSDT,2021,TREND,7516,0.21449771689497718
Regime-3,BTCUSDT,2022,EXTREME,5225,0.14911529680365296
Regime-3,BTCUSDT,2022,RANGE,10164,0.29006849315068495
Regime-3,BTCUSDT,2022,TRANSITION,14563,0.4156107305936073
Regime-3,BTCUSDT,2022,TREND,5088,0.14520547945205478
Regime-3,BTCUSDT,2023,EXTREME,5266,0.15028538812785389
Regime-3,BTCUSDT,2023,RANGE,11659,0.33273401826484017
Regime-3,BTCUSDT,2023,TRANSITION,13315,0.3799942922374429
Regime-3,BTCUSDT,2023,TREND,4800,0.136986301369863
Regime-3,BTCUSDT,2024,EXTREME,5466,0.15556693989071038
Regime-3,BTCUSDT,2024,RANGE,7748,0.22051457194899818
Regime-3,BTCUSDT,2024,TRANSITION,15474,0.44040300546448086
