factor,prototype,forward_window,label_edge,ordinary_mean,ordinary_p05,ordinary_p50,ordinary_p95,ordinary_positive_rate,monthly_mean,monthly_p05,monthly_p50,monthly_p95,monthly_positive_rate,symbol_mean,symbol_p05,symbol_p50,symbol_p95,symbol_positive_rate,bootstrap_status
breakout_score_quantile,P4_BREAKOUT_TOP20,1m,-0.02017834160691301,-0.020295245734787394,-0.05109566313739321,-0.01947968182488302,0.007374388529403678,0.119,-0.02004003059914194,-0.05063291139240501,-0.01980148230148232,0.009236502960640923,0.1358,-0.020416389895001445,-0.047337278106508895,-0.02017834160691301,0.0027067454946934077,0.07280385078219014,event_sample_fragile
momentum_score_quantile,P4_BREAKOUT_TOP20,1m,0.006802721088435382,0.006794287580699272,0.0,0.0066225165562914245,0.020270270270270285,0.6354,0.006637308144464817,0.0,0.006578947368421018,0.01829547997314838,0.6396,0.0068042640443785815,0.0,0.006802721088435382,0.020134228187919434,0.6844,event_sample_fragile
range_atr,P4_BREAKOUT_TOP20,3m,-0.02684316970031253,-0.026704396617870368,-0.06427806754885862,-0.02651515151515149,0.010276100443655343,0.1174,-0.025767291106929564,-0.05963088892276042,-0.02553380562774704,0.0077626279815083245,0.105,-0.0297344516308602,-0.06896829229035895,-0.02684316970031253,0.002218355806872463,0.0516,event_sample_fragile
atr_pct,P4_BREAKOUT_TOP20,3m,0.027348777348777387,0.027005853884625106,-0.0070847213007741204,0.026778972679146307,0.0625014367816092,0.9064,0.027587181651437375,-0.008649425287356287,0.026927281542189707,0.06700768957889901,0.8888,0.027455165127789463,0.00879120879120876,0.02735876959479444,0.04375212802179085,0.9964,robust_path_safety_candidate
atr_pct_rank,P4_BREAKOUT_TOP20,3m,-0.02004044861187715,-0.02002536343995858,-0.059635790610637784,-0.019474417185272985,0.019445631528964905,0.1994,-0.019384752357527957,-0.05702034388832148,-0.01980376078922802,0.018814280541590553,0.199,-0.019375564699220256,-0.04487756121939024,-0.02004044861187715,0.009257755400357337,0.092,event_sample_fragile
volatility_ratio_short_long,P4_BREAKOUT_TOP20,3m,0.04100018385732673,0.041491929220375354,0.0008415929461300931,0.04115654158924259,0.08307764702630321,0.9542,0.04066422783192894,0.00438142324766529,0.04072439348947976,0.07715421935610695,0.9682,0.04200755971369875,0.011056910569105738,0.04100018385732673,0.08128813861297934,0.9972,robust_path_safety_candidate
atr_percentile_200,P4_BREAKOUT_TOP20,3m,0.02739474168045597,0.027729597885737114,-0.009317198022469463,0.027102968263725935,0.06648360349005364,0.8852,0.02678702283663571,-0.015488522510618446,0.02740691767909509,0.06681872166130162,0.8616,0.028889034011005975,-0.003960110883104662,0.02739474168045597,0.07105025918413344,0.9128,robust_path_safety_candidate
prior_5m_range_pct,P4_BREAKOUT_TOP20,3m,-0.0471594043022614,-0.04744458576442765,-0.0875558495105475,-0.046792136171120935,-0.009368776042400441,0.0174,-0.04750399170198299,-0.08308441558441561,-0.047602739726027354,-0.011993958194490725,0.012,-0.04976662657669195,-0.07030033370411559,-0.0471594043022614,-0.03108638743455494,0.0,event_sample_fragile
prior_15m_range_pct,P4_BREAKOUT_TOP20,3m,-0.0539161610590182,-0.05408557216020638,-0.09523809523809523,-0.05361918461546877,-0.014553665795901826,0.0104,-0.05441457376444157,-0.09184097068243414,-0.05377554634033238,-0.019056975491270316,0.0044,-0.05546935109779624,-0.07133868176812963,-0.0539161610590182,-0.04079861111111116,0.0,event_sample_fragile
prior_30m_range_pct,P4_BREAKOUT_TOP20,3m,-0.03364589078874791,-0.034769905865968204,-0.0714831538126768,-0.03401360544217691,0.00025301884652281233,0.051,-0.033936027708191055,-0.0675919940690638,-0.0338235294117647,-0.0011515969984838045,0.0446,-0.03721171182398938,-0.05243134813585115,-0.03815789473684206,-0.025877825877825833,0.0,event_sample_fragile
prior_5m_return,P4_BREAKOUT_TOP20,3m,-0.04706747563890412,-0.04724381066775412,-0.09171218901827279,-0.04626258709665404,-0.004148697272990978,0.036,-0.04698691847390414,-0.09013541118379836,-0.0461682027389555,-0.0047934427347842805,0.0324,-0.048138577115984,-0.08485499462943069,-0.04706747563890412,-0.016934656175162432,0.0,event_sample_fragile
prior_15m_return,P4_BREAKOUT_TOP20,3m,-0.033553962125390635,-0.0333391940234114,-0.07573345742427756,-0.03308540072553978,0.007588303353980763,0.092,-0.03289388254171201,-0.07325025040657242,-0.031936340213536196,0.0058812482193628945,0.0796,-0.035294644753735664,-0.055337519623233855,-0.033553962125390635,-0.014224137931034497,0.0,event_sample_fragile
prior_30m_return,P4_BREAKOUT_TOP20,3m,-0.026751241036955253,-0.027153386946016725,-0.07092323732342909,-0.027322076978939736,0.017409918934461244,0.1534,-0.025765322464712994,-0.06299170231558335,-0.026223584403307965,0.013856480766054084,0.1322,-0.03142286022489481,-0.07734389737785319,-0.026751241036955253,-0.0047329276538201626,0.0334,event_sample_fragile
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,3m,0.0545596617025188,0.0543855386151245,0.014818438595236095,0.05391488337137812,0.09585530083302611,0.9882,0.05445553673513283,0.010590103225595287,0.05385703338599662,0.09993874919406832,0.9778,0.052847974443996075,0.02911725955204214,0.0545596617025188,0.0665188470066519,1.0,robust_path_safety_candidate
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,3m,0.013927192498621066,0.013575627722238994,-0.02977872215104855,0.013588535543955615,0.05706233832001488,0.6956,0.014507751217966623,-0.03129619669521665,0.01543304780983823,0.05685638407004253,0.712,0.01540457274413161,-0.010959636460839417,0.013927192498621066,0.0491803278688524,0.7976,event_sample_fragile
breakout_score_quantile,P4_BREAKOUT_TOP20,3m,0.027486670343813135,0.027422409562610106,-0.01681333817697458,0.027175040644519644,0.07206562602083481,0.8496,0.027416989158877168,-0.014830751430284655,0.026494255301174274,0.0727781116392108,0.8558,0.02810840424960515,0.008283313325330055,0.027486670343813135,0.048769405528208964,1.0,robust_path_safety_candidate
momentum_score_quantile,P4_BREAKOUT_TOP20,3m,0.0205920205920207,0.021071673627001825,-0.015236916765584257,0.021079484425349126,0.057414789063725276,0.8304,0.01978383871220068,-0.01637254275490292,0.019856461850709217,0.05695307272748217,0.8148,0.021013882420640742,-0.007092198581560183,0.0205920205920207,0.050000000000000044,0.9418,robust_path_safety_candidate
range_atr,P4_BREAKOUT_TOP20,5m,-0.019994484280198566,-0.019740801329762556,-0.0610390927972875,-0.01997526781853154,0.022670160783005603,0.2088,-0.018905106666394986,-0.058524862023516734,-0.01909280047524553,0.021385536032594864,0.2186,-0.02511801669512401,-0.06776114598422667,-0.019994484280198566,0.005820955439582498,0.1152,event_sample_fragile
atr_pct,P4_BREAKOUT_TOP20,5m,0.02739474168045597,0.027804874427904754,-0.009646986562669123,0.027436138182027614,0.0657903738359006,0.8844,0.027317740373455763,-0.006192283364958845,0.026949425182549946,0.06151510762356784,0.907,0.028403086866254604,0.01318681318681314,0.02739474168045597,0.05128205128205132,0.9952,robust_path_safety_candidate
atr_pct_rank,P4_BREAKOUT_TOP20,5m,-0.013191763191763184,-0.012988863187667945,-0.05690067654353368,-0.012714858973988885,0.030676817236417325,0.3126,-0.01307528866227881,-0.05649231098359002,-0.014282382848737396,0.03260691910653272,0.3036,-0.01171620894962824,-0.04498191681735986,-0.013191763191763184,0.027075351213282195,0.285,event_sample_fragile
volatility_ratio_short_long,P4_BREAKOUT_TOP20,5m,0.054605626034197496,0.05409429810609592,0.011464968632976759,0.05398134863701576,0.09769175761425186,0.9816,0.05419991990881215,0.01381412436401217,0.05364496703739052,0.09658008303712204,0.9854,0.05434969133782488,0.035447154471544784,0.054605626034197496,0.08128813861297934,0.995,robust_path_safety_candidate
atr_percentile_200,P4_BREAKOUT_TOP20,5m,0.03428939143224852,0.03432187991590439,-0.01024927821843299,0.03354208846642187,0.08089245552480252,0.901,0.03410879997004335,-0.015044296793538886,0.0342108501225597,0.08271793185021645,0.8686,0.033717287305493004,0.0002083333333333659,0.03428939143224852,0.05954022988505747,0.9658,robust_path_safety_candidate
prior_5m_range_pct,P4_BREAKOUT_TOP20,5m,-0.0673837102408531,-0.06698029418130061,-0.1133397315311041,-0.06643139684661659,-0.02166558441558436,0.0054,-0.0676083956242799,-0.10735930962087736,-0.06776758283188561,-0.02948798206621077,0.0026,-0.07483554915990305,-0.12633728846527914,-0.07222920331741645,-0.04626391096979332,0.0,event_sample_fragile
prior_15m_range_pct,P4_BREAKOUT_TOP20,5m,-0.06742967457253168,-0.067254257472733,-0.11093596656720503,-0.06700168837995796,-0.024625165228440743,0.003,-0.06779736484888016,-0.10888211189005068,-0.06748528052283193,-0.02839675202293845,0.0022,-0.07196856968658832,-0.10871647509578541,-0.06742967457253168,-0.05425265791119449,0.0,event_sample_fragile
prior_30m_range_pct,P4_BREAKOUT_TOP20,5m,-0.0539161610590182,-0.05431192491139615,-0.09782383904661587,-0.05356579231776848,-0.015450691297855241,0.0114,-0.05456567339957745,-0.088544411810337,-0.05448935484403328,-0.019696488468957787,0.005,-0.05981069863574335,-0.10401525694551828,-0.05405405405405406,-0.04207758053911892,0.0,event_sample_fragile
prior_5m_return,P4_BREAKOUT_TOP20,5m,-0.080851259422688,-0.08087783045822951,-0.13141047757114774,-0.0809553319466137,-0.0308810140807223,0.003,-0.0796855799125351,-0.12282081023835736,-0.08011755390840769,-0.035460631981664895,0.0018,-0.0840949837555017,-0.14752252252252251,-0.080851259422688,-0.038430223090701876,0.0,event_sample_fragile
prior_15m_return,P4_BREAKOUT_TOP20,5m,-0.06058098915241772,-0.06106487147227267,-0.10811718229791716,-0.060941202862541566,-0.015808564820488397,0.0136,-0.05983741636957513,-0.10443077893409014,-0.05982307788018876,-0.015249199399674505,0.014,-0.06451447456381114,-0.10415671285236505,-0.06058098915241772,-0.0400482910786395,0.0,event_sample_fragile
prior_30m_return,P4_BREAKOUT_TOP20,5m,-0.05377826806398234,-0.05439842178444674,-0.10255980539520707,-0.05478803803926957,-0.006602311589303416,0.0296,-0.052515764497743374,-0.09042671341400123,-0.05319118053201771,-0.011545910153915968,0.017,-0.060231570437035864,-0.12035465006602519,-0.05377826806398234,-0.024340770791075106,0.0,event_sample_fragile
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,5m,0.054605626034197496,0.054674208634333796,0.011367533452154945,0.05423130100109169,0.09897747444869906,0.9814,0.05424661649845029,0.008599259545550783,0.05404917108605051,0.10120828864162099,0.975,0.052606002992453306,0.02911725955204214,0.054605626034197496,0.06442473515644243,1.0,robust_path_safety_candidate
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,5m,0.020729913587056448,0.02075812542034918,-0.024488434843759583,0.02062601000570924,0.06501071805013539,0.7688,0.021250406639924665,-0.02691171441171442,0.022565562567404496,0.06637537388162766,0.7746,0.022140301256868205,0.0015126050420168902,0.020729913587056448,0.05767486850855452,0.9788,robust_path_safety_candidate
breakout_score_quantile,P4_BREAKOUT_TOP20,5m,0.034381320095605794,0.03327431420756481,-0.015643108502810536,0.03323640202123024,0.0837932477518465,0.8636,0.03491854140096703,-0.006582008783854403,0.03468734145104008,0.0776353713853714,0.9196,0.03506757134582792,0.0045878816642936915,0.034381320095605794,0.06688723650999384,1.0,robust_path_safety_candidate
momentum_score_quantile,P4_BREAKOUT_TOP20,5m,0.007078507078507101,0.007351568755595542,-0.03164594619183696,0.007313686466930813,0.04659680538381683,0.6174,0.007122124028548225,-0.030734575103845113,0.007251635430470582,0.044924669741429904,0.6264,0.007360331629489626,-0.031980483477489496,0.007078507078507101,0.050000000000000044,0.683,event_sample_fragile
range_atr,P4_BREAKOUT_TOP20,15m,-0.019994484280198566,-0.01939048674587579,-0.060931795452126965,-0.01896710449342026,0.023296441897306966,0.218,-0.018631842817722843,-0.05861763925225412,-0.019276491691203823,0.022566241374200956,0.2194,-0.024911816315845502,-0.06855791962174951,-0.019994484280198566,0.005820955439582498,0.1198,event_sample_fragile
atr_pct,P4_BREAKOUT_TOP20,15m,0.04100018385732673,0.041547001197399354,0.0010653774373032055,0.041384205856255574,0.08334934354698227,0.9542,0.04036152329265638,0.0029783618461643293,0.04065487358170283,0.076707099646325,0.965,0.04064461059675959,0.015816927477704912,0.04100018385732673,0.05940420560747661,0.997,robust_path_safety_candidate
atr_pct_rank,P4_BREAKOUT_TOP20,15m,0.0004136789851074685,0.0010000389527717204,-0.044959700387331915,0.000791867308348515,0.0472179072089864,0.5092,-0.0004344380634688916,-0.04832570219100962,-2.1417862497319362e-05,0.04642809332369393,0.4986,0.0008938521600764421,-0.020614035087719307,0.0004136789851074685,0.027075351213282195,0.5326,event_sample_fragile
volatility_ratio_short_long,P4_BREAKOUT_TOP20,15m,0.06821106821106826,0.0676263145885119,0.02321176356632464,0.06710683052964933,0.11363291716205981,0.9958,0.0676296686805747,0.024079238898078767,0.0677888820905263,0.1104690465336799,0.991,0.06634438073514902,0.05031627372052905,0.06821106821106826,0.08128813861297934,0.9966,robust_path_safety_candidate
atr_percentile_200,P4_BREAKOUT_TOP20,15m,0.04789483360911928,0.04830071501260886,0.0018444876417266184,0.04826580055155055,0.09523839854413102,0.956,0.048308824793708016,-0.0015066731165618238,0.048602230747371356,0.09772548598579639,0.944,0.045536266087596824,0.009426057813154531,0.04789483360911928,0.07218202109659078,0.9818,robust_path_safety_candidate
prior_5m_range_pct,P4_BREAKOUT_TOP20,15m,-0.05377826806398234,-0.05301069745871895,-0.10196650178205917,-0.05280706497251508,-0.005082499939842837,0.0328,-0.05446897088329533,-0.09322177387374378,-0.054580172237088886,-0.016160263418751077,0.0116,-0.06269338815674923,-0.10628415300546445,-0.06541950113378692,-0.026656067832538377,0.0,event_sample_fragile
prior_15m_range_pct,P4_BREAKOUT_TOP20,15m,-0.05382423239566092,-0.053834542884376675,-0.10024387972716244,-0.053934551760638716,-0.008732090644272645,0.0246,-0.05524622909566863,-0.0961452918082386,-0.054996244333147926,-0.016224053049251366,0.009,-0.05938530765801309,-0.09172077922077926,-0.05916666666666659,-0.03146853146853146,0.0,event_sample_fragile
prior_30m_range_pct,P4_BREAKOUT_TOP20,15m,-0.040310718882147434,-0.0403239070327778,-0.08448045514538716,-0.039639500145730144,0.0018401577107892396,0.0598,-0.040325740434019215,-0.07862728353662125,-0.0400018101185628,-0.002928788628491719,0.0392,-0.047429629522012684,-0.0916568742655699,-0.04757818459191454,-0.021906693711967518,0.0,event_sample_fragile
prior_5m_return,P4_BREAKOUT_TOP20,15m,-0.07404853833425262,-0.07394844810983639,-0.12529325834731672,-0.07402659069325734,-0.023807369786390784,0.0076,-0.07284850959678743,-0.11546638144614914,-0.07284940707843657,-0.029705533847527214,0.004,-0.07765469850877432,-0.1296653796653796,-0.07404853833425262,-0.03289391086001259,0.0,event_sample_fragile
prior_15m_return,P4_BREAKOUT_TOP20,15m,-0.06058098915241772,-0.060318082517440405,-0.10583661038634119,-0.06016235190202651,-0.014744092140446776,0.0142,-0.060416569292848554,-0.10489110013885973,-0.06014224399415152,-0.016908729175137673,0.01,-0.06442163291453704,-0.10415671285236505,-0.06058098915241772,-0.0400482910786395,0.0,event_sample_fragile
prior_30m_return,P4_BREAKOUT_TOP20,15m,-0.05377826806398234,-0.053237265560480196,-0.10111431084993153,-0.05294344295379494,-0.006492107030900186,0.0312,-0.05249044985469829,-0.0912476970783347,-0.05301513975947891,-0.011697681017644011,0.0178,-0.05996918803386748,-0.12035465006602519,-0.05377826806398234,-0.020944802670690987,0.0,event_sample_fragile
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,15m,0.06821106821106826,0.06765685226796202,0.02281649505471703,0.06734907342599394,0.11349808022954491,0.9948,0.06724870381588675,0.02421692711190523,0.06690984811853795,0.11225628349917313,0.9962,0.06596775176607605,0.02911725955204214,0.06821106821106826,0.08969720053323171,1.0,robust_path_safety_candidate
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,15m,0.02753263467549183,0.027033969429672372,-0.018605820657798627,0.026954030717293354,0.07343327113009238,0.8332,0.026742958496709445,-0.022118693506185325,0.028205128205128216,0.07318605257064129,0.8184,0.028637595389964098,0.010186160871092365,0.02753263467549183,0.0491803278688524,1.0,robust_path_safety_candidate
breakout_score_quantile,P4_BREAKOUT_TOP20,15m,0.041184041184041176,0.04079835974021261,-0.009737669490125046,0.04057529060562942,0.09018655297938594,0.9102,0.041506141839250596,0.002848280036128337,0.04148852876096287,0.0817700054702883,0.9594,0.04225454609395893,0.02609144923792306,0.041184041184041176,0.06789095039757664,1.0,robust_path_safety_candidate
momentum_score_quantile,P4_BREAKOUT_TOP20,15m,0.020683949255377754,0.02164079045157746,-0.019936945569433078,0.021360209539077468,0.06418219461697716,0.8024,0.01962567102220536,-0.02233375682512509,0.019556582565276093,0.06001699727802668,0.7838,0.021750224337852772,-0.00963488843813387,0.020683949255377754,0.050000000000000044,0.8774,robust_path_safety_candidate
range_atr,P4_BREAKOUT_TOP20,30m,-0.026751241036955253,-0.026352385849360463,-0.06928804355678855,-0.02582727193007084,0.01632053545460687,0.1548,-0.026691189402266138,-0.06618485262531007,-0.02678198427317574,0.013043073108995967,0.134,-0.031045865175721145,-0.06794871794871804,-0.02857142857142858,-0.0022827041264267267,0.0348,event_sample_fragile
atr_pct,P4_BREAKOUT_TOP20,30m,0.04100018385732673,0.04115213661714207,0.001169826947474112,0.04092949320035749,0.08240865005517468,0.9554,0.04030805195010699,0.0032994102469363464,0.04076505016722409,0.07638534241475825,0.964,0.04105096693045455,0.015816927477704912,0.04100018385732673,0.05940420560747661,0.9962,robust_path_safety_candidate
atr_pct_rank,P4_BREAKOUT_TOP20,30m,-0.006343077771649219,-0.006943655320996791,-0.05422356922714706,-0.006644670341478864,0.039435145595523004,0.403,-0.007755253700309026,-0.05473149458308318,-0.007868056113442823,0.040646752180093934,0.387,-0.006006687385960454,-0.039030484757621164,-0.006343077771649219,0.02631578947368418,0.376,event_sample_fragile
volatility_ratio_short_long,P4_BREAKOUT_TOP20,30m,0.06145431145431146,0.06156462091288215,0.015175290621698397,0.061152971159177505,0.10936413508680178,0.9864,0.06044877078907047,0.014815817782803742,0.06021070282881302,0.10554568409121545,0.9854,0.05977908015833914,0.04803921568627456,0.06072974644403217,0.0717022441160372,0.9968,robust_path_safety_candidate
atr_percentile_200,P4_BREAKOUT_TOP20,30m,0.04789483360911928,0.047803148503331304,0.002427061698161493,0.047469962378382524,0.09591863861184709,0.9562,0.047485133041203484,-0.0027580687316934582,0.0478307774910231,0.09712952967986535,0.9386,0.04620547465058472,0.009426057813154531,0.04789483360911928,0.07218202109659078,0.9776,robust_path_safety_candidate
prior_5m_range_pct,P4_BREAKOUT_TOP20,30m,-0.05377826806398234,-0.053493840410275446,-0.10343020546360086,-0.05327554952381258,-0.00562971020773568,0.0332,-0.05417166765316447,-0.09304543046180735,-0.05390883626177745,-0.016819645732689213,0.009,-0.06292814369537512,-0.10628415300546445,-0.06541950113378692,-0.026656067832538377,0.0,event_sample_fragile
prior_15m_range_pct,P4_BREAKOUT_TOP20,30m,-0.05382423239566092,-0.05342016821736801,-0.10070335354923074,-0.052894009875685155,-0.008249675015852864,0.024,-0.05462835098280791,-0.09475786522979308,-0.053896103896103886,-0.01589924085576255,0.0096,-0.0595895747366514,-0.09172077922077926,-0.05916666666666659,-0.03146853146853146,0.0,event_sample_fragile
prior_30m_range_pct,P4_BREAKOUT_TOP20,30m,-0.040310718882147434,-0.040304722316434415,-0.08275325647588425,-0.04020486270990592,0.003504517119290506,0.0638,-0.04071414094454145,-0.0773513422349589,-0.04064119457177384,-0.0035823827522976836,0.0358,-0.047913002015591226,-0.0916568742655699,-0.04757818459191454,-0.021906693711967518,0.0,event_sample_fragile
prior_5m_return,P4_BREAKOUT_TOP20,30m,-0.07404853833425262,-0.07442714741442971,-0.12708721187943262,-0.07395639622407596,-0.024972942239676565,0.006,-0.07271944557700565,-0.11724137931034484,-0.07327338460205451,-0.027017657690866226,0.0048,-0.07779058055081071,-0.1296653796653796,-0.07404853833425262,-0.038430223090701876,0.0,event_sample_fragile
prior_15m_return,P4_BREAKOUT_TOP20,30m,-0.05377826806398234,-0.053602378652029756,-0.10190235041032586,-0.053101030617409395,-0.0076741001024297805,0.029,-0.05310456015132001,-0.10206499694054164,-0.05354826635291937,-0.004165630182421206,0.0366,-0.05767353543037532,-0.08552317247969421,-0.055223880597014885,-0.0356638418079096,0.0,event_sample_fragile
prior_30m_return,P4_BREAKOUT_TOP20,30m,-0.046975546975546956,-0.04704488332413664,-0.0962462774864769,-0.0467055344404968,0.0013285314125650156,0.0564,-0.04564346410133746,-0.08805876191681472,-0.046648421754219516,0.002084713904301774,0.057,-0.052958107265471586,-0.11773326819736196,-0.046975546975546956,-0.018045624787197845,0.0,event_sample_fragile
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,30m,0.06145431145431146,0.061865862851116456,0.015042751470068779,0.06130135297692235,0.10963433252823875,0.9878,0.06139255511642889,0.01959553072315569,0.061131956381135166,0.1046038822064199,0.993,0.05876362413641907,0.02911725955204214,0.06081468732071138,0.08652514997692662,1.0,robust_path_safety_candidate
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,30m,0.02077587791873503,0.02202606695984015,-0.02394401109182734,0.021708360581796093,0.06913216223536203,0.7766,0.020930356201754534,-0.0291334848551073,0.022504668451908294,0.0665956806788621,0.7676,0.022108105423051704,-0.0035124692658938805,0.02077587791873503,0.0491803278688524,0.8812,robust_path_safety_candidate
breakout_score_quantile,P4_BREAKOUT_TOP20,30m,0.03442728442728438,0.03422298553003689,-0.01714994789329418,0.034001102289692886,0.08634988547991898,0.8624,0.03421894485767549,-0.009042599444958287,0.03423148233215301,0.07676091904965146,0.905,0.03551638963401033,0.014959723820483384,0.03442728442728438,0.057552954292084735,1.0,robust_path_safety_candidate
momentum_score_quantile,P4_BREAKOUT_TOP20,30m,0.013927192498621066,0.01438602395134273,-0.02911750207916958,0.014570959827145846,0.05755567499857358,0.7074,0.013839448881096252,-0.02472594631841315,0.013799904781337136,0.05227544469512339,0.718,0.014848768597523291,-0.03169371196754567,0.013927192498621066,0.050000000000000044,0.7344,robust_path_safety_candidate
range_atr,P4_BREAKOUT_TOP20,60m,-0.026751241036955253,-0.027751890728048522,-0.07202705789453005,-0.02689564496956165,0.013588752034341945,0.1374,-0.026029426205288565,-0.0674608925695882,-0.025929171235906046,0.014696084505679127,0.151,-0.030991018224487833,-0.06794871794871804,-0.02857142857142858,-0.0022827041264267267,0.029,event_sample_fragile
atr_pct,P4_BREAKOUT_TOP20,60m,0.04100018385732673,0.04130054665476936,0.0014397477274608948,0.040737049722816054,0.0834490387849574,0.9568,0.040564431705192666,0.003932268166103758,0.0407909217283855,0.07735210676515018,0.9642,0.04074659038424594,0.015816927477704912,0.04100018385732673,0.05940420560747661,0.9956,robust_path_safety_candidate
