data_layer,symbol,prototype,gate,leverage_mode,h3_trade_count,h4_trade_count,h3_profit_factor,h4_profit_factor,h3_max_drawdown,h4_max_drawdown,h3_liquidation_count,h4_liquidation_count,h3_stress_liquidation_cases,h4_stress_liquidation_cases,risk_retention_status
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,,151,,2.4505855216746886,,-0.6004733349434281,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,,151,,1.7964232545333414,,-0.9975,,3,,9,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,,151,,3.6696360175385023,,-0.20811590722767126,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,,151,,3.2997559014320035,,-0.21522714026819156,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,,151,,2.7672136013360853,,-0.2690339253352393,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,,83,,2.453553753502757,,-0.6004733349434281,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,,83,,1.6860027096583043,,-0.9975,,2,,6,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,,83,,4.468742983939913,,-0.20811590722767126,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,,83,,3.9175949162441968,,-0.21522714026819145,,0,,0,insufficient_h4_sample
cross_asset_holdout,ADAUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,,83,,3.866154989706648,,-0.2690339253352393,,0,,0,insufficient_h4_sample
