factor,label,prototype,symbol,event_count,top20_minus_bottom20
close_location,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.023346303501945553
close_location,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
close_location,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.018604651162790753
close_location,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.03125
close_location,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.01945525291828798
close_location,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.013513513513513487
close_location,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.023255813953488413
close_location,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.03125
close_location,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.0311284046692607
close_location,fast_follow_through,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0045045045045045695
close_location,fast_follow_through,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.051162790697674376
close_location,fast_follow_through,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.08333333333333326
close_location,hit_liquidation_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
close_location,hit_liquidation_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.0
close_location,hit_liquidation_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
close_location,hit_liquidation_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
close_location,hit_liquidation_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.0
close_location,hit_liquidation_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.009009009009009009
close_location,hit_liquidation_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
close_location,hit_liquidation_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.0
close_location,mae_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.00013317779173037836
close_location,mae_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0005089694029550549
close_location,mae_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,-0.000250130116514003
close_location,mae_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,-1.3699688918118779e-05
close_location,mfe_pct,P4_BREAKOUT_TOP20,BNBUSDT,1284,-0.004594943044821451
close_location,mfe_pct,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.0016228770171321351
close_location,mfe_pct,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0014441599212489907
close_location,mfe_pct,P4_BREAKOUT_TOP20,SOLUSDT,960,-0.006448966468898601
ema_gap_atr,safe_for_10x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.023346303501945553
ema_gap_atr,safe_for_10x,P4_BREAKOUT_TOP20,BTCUSDT,1110,-0.022522522522522515
ema_gap_atr,safe_for_10x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.0
ema_gap_atr,safe_for_10x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.03125
ema_gap_atr,safe_for_20x,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.03891050583657585
ema_gap_atr,safe_for_20x,P4_BREAKOUT_TOP20,BTCUSDT,1110,0.013513513513513487
ema_gap_atr,safe_for_20x,P4_BREAKOUT_TOP20,ETHUSDT,1074,0.023255813953488413
ema_gap_atr,safe_for_20x,P4_BREAKOUT_TOP20,SOLUSDT,960,0.078125
ema_gap_atr,fast_follow_through,P4_BREAKOUT_TOP20,BNBUSDT,1284,0.07003891050583666
