symbol,period,event_count,mean_short_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,sample_status
BTCUSDT,2022Q2,150,-0.0031921054494673945,0.44,0.5333333333333333,valid
BTCUSDT,2022Q3,97,-0.0011166217585900937,0.4639175257731959,0.4639175257731959,valid
BTCUSDT,2022Q4,74,0.00014059902879049653,0.5135135135135135,0.4189189189189189,valid
BTCUSDT,2023Q1,49,0.0033465851103239162,0.5510204081632653,0.40816326530612246,valid
BTCUSDT,2023Q2,57,-0.0016320884344014916,0.49122807017543857,0.42105263157894735,valid
BTCUSDT,2023Q3,79,-0.002803947288964287,0.4177215189873418,0.5189873417721519,valid
BTCUSDT,2023Q4,41,-0.0024273125168216246,0.3902439024390244,0.5609756097560976,valid
BTCUSDT,2024Q1,77,-0.0014184142657178696,0.38961038961038963,0.5584415584415584,valid
BTCUSDT,2024Q2,91,-0.000457068187559332,0.3956043956043956,0.5714285714285714,valid
BTCUSDT,2024Q3,105,0.0003541872040179977,0.5142857142857142,0.44761904761904764,valid
BTCUSDT,2024Q4,106,-0.005384542091864409,0.42452830188679247,0.5566037735849056,valid
BTCUSDT,2025Q1,183,-0.0012080789884159728,0.5136612021857924,0.44808743169398907,valid
BTCUSDT,2025Q2,126,0.0005302149137052488,0.4523809523809524,0.5079365079365079,valid
BTCUSDT,2025Q3,139,-0.00045967677072883287,0.4028776978417266,0.5467625899280576,valid
BTCUSDT,2025Q4,164,0.003926661036892885,0.5365853658536586,0.4451219512195122,valid
BTCUSDT,2026Q1,163,0.00170333291551673,0.4294478527607362,0.49079754601226994,valid
BTCUSDT,2026Q2,138,0.001702524652112496,0.5579710144927537,0.38405797101449274,valid
ETHUSDT,2020Q1,97,-0.0006099572042874118,0.4329896907216495,0.5360824742268041,valid
ETHUSDT,2020Q2,65,-0.001754453015219941,0.46153846153846156,0.4307692307692308,valid
ETHUSDT,2020Q3,72,0.004840274546154388,0.4861111111111111,0.4305555555555556,valid
ETHUSDT,2020Q4,72,-0.0025837238911023564,0.5694444444444444,0.4166666666666667,valid
ETHUSDT,2021Q1,99,-0.003586802650509141,0.3838383838383838,0.5454545454545454,valid
ETHUSDT,2021Q2,143,-0.0077281691721862444,0.5104895104895105,0.46853146853146854,valid
ETHUSDT,2021Q3,121,-0.004874739950000871,0.5206611570247934,0.4462809917355372,valid
ETHUSDT,2021Q4,104,-0.005990193138248585,0.5384615384615384,0.46153846153846156,valid
ETHUSDT,2022Q1,129,0.002564354518280209,0.5426356589147286,0.4496124031007752,valid
ETHUSDT,2022Q2,160,-0.003227295730269098,0.5375,0.425,valid
ETHUSDT,2022Q3,97,-0.0015435920117786773,0.4948453608247423,0.4536082474226804,valid
ETHUSDT,2022Q4,66,-0.003024286222070923,0.4393939393939394,0.45454545454545453,valid
ETHUSDT,2023Q1,59,0.0019993305363395337,0.559322033898305,0.3898305084745763,valid
ETHUSDT,2023Q2,48,0.0008664492680411038,0.5416666666666666,0.4375,valid
ETHUSDT,2023Q3,78,-0.0034456299769023125,0.38461538461538464,0.5384615384615384,valid
ETHUSDT,2023Q4,55,-0.0027524278917477503,0.43636363636363634,0.5272727272727272,valid
