event_id,symbol,prototype,signal_time,execution_time,execution_open,close_15m,donchian55_lower,donchian20_upper,ema50,ema200,atr14,body_ratio,close_location,lower_shadow_ratio,upper_shadow_ratio,volume,volume_mean,trend_regime,volatility_regime,trend_strength_bucket,short_breakout_distance_atr,data_layer,oos_status,short_fwd_ret_1,short_mfe_1,short_mae_1,plus_1atr_first_1,minus_1atr_first_1,ambiguous_touch_1,short_fwd_ret_4,short_mfe_4,short_mae_4,plus_1atr_first_4,minus_1atr_first_4,ambiguous_touch_4,short_fwd_ret_8,short_mfe_8,short_mae_8,plus_1atr_first_8,minus_1atr_first_8,ambiguous_touch_8,short_fwd_ret_16,short_mfe_16,short_mae_16,plus_1atr_first_16,minus_1atr_first_16,ambiguous_touch_16,short_fwd_ret_32,short_mfe_32,short_mae_32,plus_1atr_first_32,minus_1atr_first_32,ambiguous_touch_32
ETHUSDT_SHORT_2020-02-29T14:15:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-02-29 14:15:00+00:00,2020-02-29 14:15:00+00:00,222.14,222.13,222.21,228.9,226.51532541412388,228.1624091840212,1.9350000000000003,0.8812260536398465,0.11877394636015351,,0.0,19337.071,15037.197697916667,bear,low_vol,0_5_1_0,0.04134366925065245,expanded_discovery,not_oos,0.0011718045790516385,0.004476599593036257,0.0037363824615108676,False,False,False,-0.000360003600036074,0.004476599593036257,0.006752498424416942,False,False,False,-0.008834552918079663,0.004476599593036257,0.016476096155577657,False,True,False,-0.013237384506041283,0.004476599593036257,0.016566129467903146,False,True,False,-0.003990494552302493,0.004476599593036257,0.018411812370577207,False,True,False
ETHUSDT_SHORT_2020-02-29T23:45:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-02-29 23:45:00+00:00,2020-02-29 23:45:00+00:00,219.35,219.35,221.15,226.1,224.34881411505523,226.80915208156648,1.2742857142857165,0.8287841191067004,0.17121588089329964,,0.0,47801.021,13120.357020833333,bear,low_vol,1_5_2_5,1.4125560538116657,expanded_discovery,not_oos,0.009387510929087517,0.010177765496914404,0.0029633006610441104,True,False,False,0.0015981735159817934,0.010503524208780535,0.009619329838158164,True,False,False,-0.010287415963542879,0.014241457437462302,0.011078185548210717,True,False,False,-0.023331403891535762,0.014241457437462302,0.03054479142922273,True,False,False,-0.0030451777111172307,0.014241457437462302,0.03054479142922273,True,False,False
ETHUSDT_SHORT_2020-03-01T00:00:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-03-01 00:00:00+00:00,2020-03-01 00:00:00+00:00,217.37,217.31,218.66,226.1,224.07278218897463,226.71463315538176,1.375000000000002,0.7132867132867071,0.05944055944056472,,0.22727272727272818,33500.782,13479.93284375,bear,low_vol,1_5_2_5,0.9818181818181763,expanded_discovery,not_oos,-0.010380150239016617,0.0013820426590500645,0.015779546395546795,False,True,False,-0.0055812251246626365,0.0013820426590500645,0.0188158439527073,False,True,False,-0.028774406862964064,0.005086234799093647,0.031835119841744364,False,True,False,-0.029078077541540126,0.005086234799093647,0.03993191332750623,False,True,False,-0.012672601744186052,0.005086234799093647,0.03993191332750623,False,True,False
ETHUSDT_SHORT_2020-03-01T01:15:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-03-01 01:15:00+00:00,2020-03-01 01:15:00+00:00,216.69,216.6,217.07,225.46,223.13902225096382,226.33714853669346,1.8578571428571462,0.7786561264822126,0.1304347826086893,,0.09090909090909806,33411.774,13883.11557291667,bear,mid_vol,1_5_2_5,0.2529796232218367,expanded_discovery,not_oos,-0.010547945205479414,0.0018493689028620253,0.011814112326364867,False,True,False,-0.03202894666309308,0.0018493689028620253,0.04319534819327164,False,True,False,-0.03310874124313956,0.0018493689028620253,0.04319534819327164,False,True,False,-0.021052631578947323,0.0018493689028620253,0.04319534819327164,False,True,False,-0.019724044333861213,0.0018493689028620253,0.04319534819327164,False,True,False
ETHUSDT_SHORT_2020-03-01T16:45:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-03-01 16:45:00+00:00,2020-03-01 16:45:00+00:00,216.53,216.53,218.82,228.0,221.54156385263062,224.18602656264162,1.701428571428573,0.723865877712026,0.26232741617357136,,0.013806706114402623,82226.537,15293.050020833332,bear,mid_vol,1_5_2_5,1.3459277917716146,expanded_discovery,not_oos,-0.0048258111958819905,0.008711450666169851,0.006419433796702512,True,False,False,0.0063673545268636556,0.008711450666169851,0.006419433796702512,True,False,False,0.010641773628938145,0.012674211953979997,0.006419433796702512,True,False,False,0.00575967299921043,0.0197805303065981,0.006419433796702512,True,False,False,-0.012676120559937942,0.0197805303065981,0.022952939546483142,True,False,False
ETHUSDT_SHORT_2020-03-01T18:30:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-03-01 18:30:00+00:00,2020-03-01 18:30:00+00:00,214.56,214.56,214.66,223.5,220.1265251258442,223.61883907083794,1.9828571428571422,0.41134751773048617,0.24113475177305266,,0.3475177304964612,19241.816,16560.222208333333,bear,high_vol,1_5_2_5,0.05043227665705767,expanded_discovery,not_oos,0.0014469078179697448,0.0034608549247030496,0.0033090976882923506,False,False,False,0.0028042624789679227,0.010502519662789034,0.004381058911260283,True,False,False,-0.008273630691009948,0.010502519662789034,0.015333706189410767,True,False,False,-0.010195137703556845,0.010502519662789034,0.015333706189410767,True,False,False,-0.01933360756890168,0.010502519662789034,0.03234526472781507,True,False,False
ETHUSDT_SHORT_2020-03-01T19:00:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-03-01 19:00:00+00:00,2020-03-01 19:00:00+00:00,213.16,213.16,213.82,223.5,219.63191342835526,223.42247632593882,1.9535714285714303,0.6484848484848421,0.07272727272727524,,0.27878787878788264,13650.888,16729.90809375,bear,high_vol,1_5_2_5,0.3378427787934166,expanded_discovery,not_oos,-0.005690829368411254,0.003909009560589594,0.010977669356352138,False,True,False,-0.01570003694126343,0.003909009560589594,0.022002251829611463,False,True,False,-0.007819772854217089,0.003909009560589594,0.022002251829611463,False,True,False,-0.02711090826106799,0.003909009560589594,0.03068117845749674,False,True,False,-0.037174217444328916,0.003909009560589594,0.0436291987239632,False,True,False
ETHUSDT_SHORT_2020-03-04T11:15:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-03-04 11:15:00+00:00,2020-03-04 11:15:00+00:00,222.69,222.67,222.7,227.49,225.5528871715944,225.90649322623193,1.1742857142857142,0.3833333333333515,0.17222222222220931,,0.4444444444444392,14000.414,15320.608291666666,bear,mid_vol,0_0_5,0.025547445255475424,expanded_discovery,not_oos,-0.00424789840815587,0.00040431266846363556,0.004266020027841266,False,False,False,-0.004514975413500211,0.004329590041942888,0.005837711617046271,False,True,False,-0.005892594080621372,0.004329590041942888,0.007184875836364402,False,True,False,0.002475916088952923,0.006644968809329965,0.0126184381876151,False,True,False,-0.0001346982758620996,0.010161034248128864,0.0126184381876151,False,True,False
ETHUSDT_SHORT_2020-03-08T02:45:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-03-08 02:45:00+00:00,2020-03-08 02:45:00+00:00,231.87,231.87,232.0,241.02,238.1664015289007,238.36309507941334,1.5892857142857164,0.5945945945945842,0.135135135135145,,0.2702702702702708,11389.509,17915.50690625,bear,high_vol,0_0_5,0.0817977528089858,expanded_discovery,not_oos,0.0069483649628696575,0.01006272869837943,0.0031483158666494315,True,False,False,-0.00017248070372122282,0.01006272869837943,0.0031483158666494315,True,False,False,-0.0015071914563775657,0.01006272869837943,0.0031483158666494315,True,False,False,0.013417832167832211,0.02006071004355281,0.0031483158666494315,True,False,False,0.002984687256682994,0.02006071004355281,0.0031483158666494315,True,False,False
ETHUSDT_SHORT_2020-03-08T03:00:00+00:00,ETHUSDT,P4_SHORT_MIRROR_V1,2020-03-08 03:00:00+00:00,2020-03-08 03:00:00+00:00,230.31,230.27,231.67,241.02,237.85673872384578,238.28256677016546,1.7264285714285745,0.5263157894736837,0.2335526315789506,,0.24013157894736567,42835.568,17980.29759375,bear,high_vol,0_0_5,0.8109226313611769,expanded_discovery,not_oos,-0.005140388768898441,0.002393802228412234,0.006165602883070553,False,False,False,-0.0066850685758648165,0.002393802228412234,0.008987885892926872,False,True,False,-0.003763301323643886,0.002393802228412234,0.008987885892926872,False,True,False,0.004229528211389111,0.013197835554968895,0.008987885892926872,False,True,False,-0.0063422210717059,0.013197835554968895,0.008987885892926872,False,True,False
