time,equity,symbol,sizing_mode,side_scope
2023-06-05 03:46:00+00:00,581.7399931113035,ETHUSDT,fixed_risk_0_5pct,both
2023-06-20 06:09:00+00:00,580.1852410806445,ETHUSDT,fixed_risk_0_5pct,both
2023-06-20 06:15:00+00:00,578.5973418251481,ETHUSDT,fixed_risk_0_5pct,both
2023-06-24 18:03:00+00:00,581.2490589932606,ETHUSDT,fixed_risk_0_5pct,both
2023-06-25 15:02:00+00:00,578.2535404734328,ETHUSDT,fixed_risk_0_5pct,both
2023-06-25 18:13:00+00:00,575.2032968630464,ETHUSDT,fixed_risk_0_5pct,both
2023-06-28 00:17:00+00:00,573.0853386483982,ETHUSDT,fixed_risk_0_5pct,both
2023-06-28 00:35:00+00:00,570.688386580986,ETHUSDT,fixed_risk_0_5pct,both
2023-06-28 02:51:00+00:00,568.2206213278753,ETHUSDT,fixed_risk_0_5pct,both
2023-06-28 07:00:00+00:00,567.3306532976698,ETHUSDT,fixed_risk_0_5pct,both
2023-06-30 16:33:00+00:00,570.8336977648017,ETHUSDT,fixed_risk_0_5pct,both
2023-06-30 17:04:00+00:00,567.6284838111201,ETHUSDT,fixed_risk_0_5pct,both
2023-07-11 14:17:00+00:00,565.7737927871651,ETHUSDT,fixed_risk_0_5pct,both
2023-07-12 21:20:00+00:00,563.5945614699245,ETHUSDT,fixed_risk_0_5pct,both
2023-07-13 01:30:00+00:00,564.0343511453177,ETHUSDT,fixed_risk_0_5pct,both
2023-07-20 16:22:00+00:00,561.3015397562053,ETHUSDT,fixed_risk_0_5pct,both
2023-07-20 16:56:00+00:00,558.3778233863196,ETHUSDT,fixed_risk_0_5pct,both
2023-07-20 21:00:00+00:00,558.7780835571763,ETHUSDT,fixed_risk_0_5pct,both
2023-08-09 21:00:00+00:00,559.0530272002021,ETHUSDT,fixed_risk_0_5pct,both
2023-08-14 00:45:00+00:00,557.3246156298801,ETHUSDT,fixed_risk_0_5pct,both
2023-08-14 02:35:00+00:00,558.7523556937894,ETHUSDT,fixed_risk_0_5pct,both
2023-08-31 21:00:00+00:00,557.5805859113698,ETHUSDT,fixed_risk_0_5pct,both
2023-09-08 13:34:00+00:00,559.6064081144818,ETHUSDT,fixed_risk_0_5pct,both
2023-09-18 22:45:00+00:00,560.2460306439679,ETHUSDT,fixed_risk_0_5pct,both
2023-09-27 22:15:00+00:00,562.6347835780376,ETHUSDT,fixed_risk_0_5pct,both
2023-10-01 20:35:00+00:00,560.8413546093326,ETHUSDT,fixed_risk_0_5pct,both
2023-10-16 05:16:00+00:00,559.1086229169404,ETHUSDT,fixed_risk_0_5pct,both
2023-10-26 16:33:00+00:00,555.8655418910301,ETHUSDT,fixed_risk_0_5pct,both
2023-10-26 19:48:00+00:00,560.3520691742095,ETHUSDT,fixed_risk_0_5pct,both
2023-11-01 07:18:00+00:00,561.8083500468117,ETHUSDT,fixed_risk_0_5pct,both
2023-11-13 07:14:00+00:00,564.4189700118366,ETHUSDT,fixed_risk_0_5pct,both
2023-11-13 09:16:00+00:00,565.8897041562802,ETHUSDT,fixed_risk_0_5pct,both
2023-11-14 04:45:00+00:00,568.27843446283,ETHUSDT,fixed_risk_0_5pct,both
2023-11-16 11:04:00+00:00,570.908808832908,ETHUSDT,fixed_risk_0_5pct,both
2023-11-16 11:16:00+00:00,567.9879164629181,ETHUSDT,fixed_risk_0_5pct,both
2023-11-16 11:37:00+00:00,564.9307398007969,ETHUSDT,fixed_risk_0_5pct,both
2023-11-16 12:02:00+00:00,569.7383032958,ETHUSDT,fixed_risk_0_5pct,both
2023-11-26 16:21:00+00:00,566.8146012725476,ETHUSDT,fixed_risk_0_5pct,both
2023-11-26 16:35:00+00:00,563.3241610792076,ETHUSDT,fixed_risk_0_5pct,both
2023-11-29 14:48:00+00:00,560.9429501335811,ETHUSDT,fixed_risk_0_5pct,both
2023-12-01 16:49:00+00:00,557.9188029012627,ETHUSDT,fixed_risk_0_5pct,both
2023-12-01 17:32:00+00:00,560.6803530097206,ETHUSDT,fixed_risk_0_5pct,both
2023-12-11 01:00:00+00:00,558.3594614873009,ETHUSDT,fixed_risk_0_5pct,both
2023-12-11 02:02:00+00:00,555.8711009920647,ETHUSDT,fixed_risk_0_5pct,both
2023-12-11 06:15:00+00:00,560.7381012918589,ETHUSDT,fixed_risk_0_5pct,both
