label,period,trade_count,total_return_pct,net_pnl,profit_factor,max_drawdown_pct,win_rate_pct,avg_win,avg_loss,payoff_ratio,avg_mae_atr,avg_mfe_atr,longest_drawdown_duration,top_1_profit_contribution,top_3_profit_contribution,top_5_profit_contribution,top_10_profit_contribution
B1,2025Q3,36,40.69500718505545,451.28709418872324,1.5394309192641735,-22.795017568596343,38.88888888888889,91.99182766358194,-38.027204231882905,2.4191057302722725,-2.0750356836617834,5.601456779029336,56332,47.047857197136025,117.86485898278033,174.31326607548274,261.5097023624982
B1,2025Q4,27,-21.124749909493623,-329.5960865570665,0.6144431320929413,-30.140489777878056,29.629629629629626,65.65764631850575,-44.99248721605854,1.4593024387207356,-2.0456803548262217,4.028471564540762,129412,0.0,0.0,0.0,0.0
B1,2026Q1,29,-6.079651802874142,-98.37543041544114,0.8465434981107934,-23.104585385989996,27.586206896551722,67.83606426478494,-30.526854501605744,2.222176682540833,-2.114911960113224,5.08887440201783,78020,0.0,0.0,0.0,0.0
B1,2026Q2,28,-25.710126884618777,-274.656732801273,0.4010077397568595,-31.098575450590282,25.0,26.267803189723736,-21.834826434730434,1.2030232192705785,-2.0282930157150707,4.009219647375812,102093,0.0,0.0,0.0,0.0
B2,2024Q1,25,16.82900726685359,145.81016627695055,1.3744891137829816,-21.226763902891165,36.0,59.46308030812231,-24.33484728100939,2.443536202280856,-1.9386878683799755,5.2573890281575935,115727,121.62820968826627,250.11659061307242,321.1075328976273,367.0304591496096
B2,2024Q2,14,22.366115183763657,313.0082140499685,2.3320340132386677,-14.973388398288733,28.57142857142857,136.99834132103874,-23.49851512341864,5.830085033096669,-2.007675847622359,7.464147002970491,71723,125.35358575425508,162.21436146778265,175.0731580471155,175.0731580471155
B2,2024Q3,24,-18.80669612275906,-299.3911182194505,0.41624692785360257,-24.61890228137984,16.666666666666664,53.37043997356807,-25.64364390568614,2.0812346392680126,-1.9227247675665462,3.066552785441539,110871,0.0,0.0,0.0,0.0
B2,2024Q4,20,1.8512369936860562,21.46374639101458,1.0593751497607444,-18.554218993247673,35.0,54.70821580849525,-27.80721263603478,1.9674109924128111,-1.8248467453758515,4.075973344597539,71456,803.9349581617055,1464.2594731269642,1694.6864375860735,1784.2062782654996
B2,2025Q1,17,-14.014043869258575,-165.49058397910756,0.5020910445979627,-24.472652370823212,29.411764705882355,33.3761179748634,-27.69759782111871,1.2050185070351105,-1.7937796783841449,3.0907049151688804,105307,0.0,0.0,0.0,0.0
B2,2025Q2,24,1.933286751363017,19.630601880516878,1.0346150461202628,-25.35690179678969,29.166666666666668,83.82034629605106,-33.35951895246121,2.5126365405777813,-2.0008535741011273,4.303963361951732,69372,1650.5171619075472,2589.816906754372,2982.0452122872725,2988.917138881471
B2,2025Q3,19,46.83320502737798,484.7382026908363,2.7481719347444584,-12.953621304867834,47.368421052631575,84.66901261301823,-27.72829108263277,3.0535243719382867,-1.5927222003812278,6.767071549468149,53557,31.599674049723227,86.98679939932978,121.84590045365536,157.20261148948012
B2,2025Q4,16,0.7104513438519477,10.797220911523766,1.0207367282687392,-15.905987852407089,31.25,106.29564900301139,-47.33463855486664,2.2456208021912265,-1.8446517663255217,5.4585208574467075,74792,1280.954489456585,3518.272294161726,4922.361498113051,4922.361498113051
B2,2026Q1,19,9.990689428175404,118.70903634999445,1.2776399641219536,-15.94078953792042,26.31578947368421,109.2547389010168,-30.540332725363537,3.57739189954147,-1.9240622697952263,5.560763804540469,61534,212.45479739358802,402.44884256147964,460.1786951538248,460.1786951538248
B2,2026Q2,17,-15.78607089678654,-233.27901218875806,0.45138821076585445,-19.973942430471247,17.647058823529413,63.97930071712213,-30.372636738580322,2.1064783169073205,-1.8393445952324603,3.738525959878857,102093,0.0,0.0,0.0,0.0
B3,2024Q1,12,16.092572951008364,160.9257295100837,1.8481729498137074,-16.3034775284586,50.0,58.44299016981132,-31.62203525146403,1.8481729498137074,-1.869327901363705,4.816171957393572,69239,69.66353428838151,177.85358151982854,213.8792009550079,217.90048246877484
B3,2024Q2,6,-3.8681105738237465,-44.90589089742005,0.537580942861139,-11.37886308217676,33.33333333333333,26.102461388615833,-24.27770341866293,1.075161885722278,-1.9630604634460174,1.8508123427183942,119581,0.0,0.0,0.0,0.0
B3,2024Q3,8,-7.274277254449613,-81.18237727534603,0.13577770628653302,-8.589954907505625,25.0,6.377269515908277,-15.65615271786043,0.40733311885959905,-1.201997028835271,2.3245997882755947,115509,0.0,0.0,0.0,0.0
