symbol,prototype,year,quarter,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
BTCUSDT,P4_BREAKOUT_TOP20,2024,,61,1.9726790032287547,1.6020810303394337,-0.20284907031238675,0.47540983606557374,valid
BTCUSDT,P4_BREAKOUT_TOP20,2025,,56,0.4942181460702537,1.1527113037555936,-0.4093187726322568,0.3392857142857143,valid
BTCUSDT,P4_BREAKOUT_TOP20,2026,,23,-0.1751824844382561,0.6749458224638781,-0.22517144079339935,0.30434782608695654,partial_year
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020,,77,-0.17705340165983063,0.820903175818317,-0.2842900934471959,0.37662337662337664,valid
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2021,,63,0.005800143740755353,1.0101798101004964,-0.1439351868362999,0.4444444444444444,valid
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2022,,37,-0.0031976280811505846,0.9902436338765865,-0.12878180735600409,0.3783783783783784,valid
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2023,,63,0.4146549049876544,1.3254734594610678,-0.2249594870228161,0.31746031746031744,valid
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2024,,61,1.4819497771369705,1.4655924024157356,-0.17030218685238963,0.5081967213114754,valid
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2025,,61,0.7191868537221537,1.231491868037016,-0.39384580051094176,0.32786885245901637,valid
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2026,,24,-0.22611582497786384,0.584488767167883,-0.22595593861957064,0.2916666666666667,partial_year
SOLUSDT,P4_BREAKOUT_TOP20,2020,,9,0.050963186179183904,1.0954955100379191,-0.2230755952183242,0.3333333333333333,insufficient_sample
SOLUSDT,P4_BREAKOUT_TOP20,2021,,58,1.4949379142912669,1.8018339768075997,-0.33657744139162993,0.4482758620689655,valid
SOLUSDT,P4_BREAKOUT_TOP20,2022,,30,-0.5645571734329864,0.5177889786245043,-0.5789981185740987,0.36666666666666664,valid
SOLUSDT,P4_BREAKOUT_TOP20,2023,,60,0.6267597736263997,1.188787913899347,-0.4990627637228383,0.31666666666666665,valid
SOLUSDT,P4_BREAKOUT_TOP20,2024,,39,-0.46742658078471766,0.5808352529435235,-0.6752153400909028,0.3076923076923077,valid
SOLUSDT,P4_BREAKOUT_TOP20,2025,,51,-0.14422676360462,0.8936017983676117,-0.3773998346514773,0.3137254901960784,valid
SOLUSDT,P4_BREAKOUT_TOP20,2026,,22,-0.24357360574404516,0.48207957730334516,-0.36950484905615166,0.22727272727272727,partial_year
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020,,22,-0.4414339380433614,0.40784116561220835,-0.465758479822483,0.13636363636363635,valid
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2021,,104,-0.018295230657860557,0.9823824656109281,-0.3060054095917284,0.38461538461538464,valid
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2022,,59,-0.03921905301551321,0.898641277948646,-0.11293767266484367,0.4915254237288136,valid
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2023,,75,0.6511019582358425,1.6962223178313294,-0.20236766994447652,0.4,valid
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2024,,78,-0.5532138377998123,0.5100482335857277,-0.5999485278714742,0.2564102564102564,valid
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2025,,68,0.013167555757651286,1.023074819020293,-0.18275962863838835,0.3382352941176471,valid
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2026,,27,-0.10311282011655636,0.39313080015176266,-0.13732051840958037,0.2222222222222222,partial_year
BNBUSDT,P4_BREAKOUT_TOP20,2020,,52,-0.12126609124414338,0.8378457476787572,-0.3645136995961278,0.28846153846153844,valid
BNBUSDT,P4_BREAKOUT_TOP20,2021,,50,3.3407334179462445,1.7263308131906343,-0.28786847068292987,0.36,valid
