symbol,prototype,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration
BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x,185,2469.904473240828,,-0.3481755240052429,2.463640087065789,0.5567567567567567,40363.22867294022,-20579.36683014653,1.9613445353339292,0,0.0,1000.0,2470904.4732408277,0.09681389492646925,0.27806946159860124,0.4389188379551823,96 days 06:22:00
BTCUSDT,P4_BREAKOUT_TOP20,fixed_8x,185,104016.24831690255,,-0.502729640752043,2.240340540373944,0.5567567567567567,1824051.3479467821,-1022695.6161172691,1.7835720806860524,0,0.0,1000.0,104017248.31690255,0.14687077811173008,0.3851285344771677,0.6138749002759913,96 days 06:22:00
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,185,920486.2806139451,,-0.5874619451382748,2.125369401403237,0.5567567567567567,16877939.137734853,-9974895.73869201,1.692041659369567,0,0.0,1000.0,920487280.6139451,0.17841325819264026,0.4761599281655696,0.7286973539649577,96 days 06:22:00
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_3x_8x_v1,185,650.1930354016142,,-0.16835976426890087,2.7673405207405564,0.5567567567567567,9884.334995959882,-4486.505721734801,2.203125463113841,0,0.0,1000.0,651193.0354016143,0.14322770892529824,0.3702283548196683,0.5645165908676626,96 days 06:22:00
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_4x_10x_v1,185,688.0431489180693,,-0.19274571895162673,2.3080464496289625,0.5567567567567567,11786.906229161266,-6414.734057140745,1.8374738725201452,0,0.0,1000.0,689043.1489180693,0.17951639976058653,0.456175232881441,0.6070783666132956,96 days 06:22:00
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1,185,576.03616274536,,-0.20619555495884967,2.1114564398811497,0.5567567567567567,10624.345947299858,-6320.383778372257,1.6809653210704298,0,0.0,1000.0,577036.16274536,0.20498090953372985,0.5228909217474487,0.657715947715429,101 days 21:07:00
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,190,27.340420111871676,,-0.14936945267029555,2.718633883877129,0.5473684210526316,415.8523881451071,-184.97939831650527,2.24810109628301,0,0.0,1000.0,28340.420111871677,0.05692927745829523,0.16505472213226363,0.26758156779987957,96 days 06:22:00
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x,190,128.8594102566372,,-0.21695663372758878,2.5212369386918843,0.5473684210526316,2053.5231306093947,-984.9650619388341,2.0848690069952123,0,0.0,1000.0,129859.4102566372,0.06992282239369513,0.2042227503096183,0.32978713430996665,96 days 06:22:00
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_5x,190,2110.1885106781583,,-0.33906755327628124,2.302633885778002,0.5473684210526316,35866.61862492615,-18836.509608304204,1.9041010978548865,0,0.0,1000.0,2111188.510678158,0.09682057406103156,0.27808864544977363,0.43785175744151655,96 days 06:22:00
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,190,79698.99231969666,,-0.4927836500019681,2.119405180095204,0.5473684210526316,1450929.030592278,-827879.3821151197,1.752585052771034,0,0.0,1000.0,79699992.31969665,0.1468712089276778,0.38512966417442074,0.6138767009547946,96 days 06:22:00
