trade_id,symbol,mode,decision_entry_time,actual_entry_time,decision_exit_time,actual_exit_time,hold_periods,min_known_rate_decimal,min_known_rate_bp,known_rate_decimal,known_rate_bp,funding_income,spot_qty,perp_qty,spot_entry_notional,perp_entry_notional,spot_pnl,perp_pnl,two_leg_residual_pnl,gross_carry_pnl,basis_pnl,initial_net_delta,spot_entry_source,perp_entry_source,spot_exit_source,perp_exit_source,same_minute_close_used,future_price_used,execution_status,passes_cost_coverage_gate,required_avg_rate_decimal,required_avg_rate_bp,legacy_total_cost_rate,net_pnl,net_return,total_fee,total_slippage,total_cost,accounting_expected_net,accounting_error,accounting_status,explicit_total_cost_rate,mapping_status
FRC1_SOLUSDT_2025-08-13 00:00:00+00:00,SOLUSDT,funding,2025-08-13 00:00:00+00:00,2025-08-13 00:01:00+00:00,2025-08-15 00:00:00+00:00,2025-08-15 00:01:00+00:00,6,5e-05,0.5,0.0001,1.0,7.5876,52.1702838063439,52.1702838063439,10000,10000,34.95409015024976,-34.95409015024976,0.0,7.587600000000002,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-16.412399999999998,-0.0016412399999999998,16.0,5.999999999999999,24.0,-16.412399999999998,0.0,ok,0.0024,explicit
FRC1_SOLUSDT_2025-08-15 00:00:00+00:00,SOLUSDT,funding,2025-08-15 00:00:00+00:00,2025-08-15 00:01:00+00:00,2025-08-16 00:00:00.004000+00:00,2025-08-16 00:01:00+00:00,3,5e-05,0.5,0.0001,1.0,0.9805,51.988562516246425,51.988562516246425,10000,10000,-365.4795944892125,365.4795944892125,0.0,0.9805000000000064,0.0,0.0,open,open,open,open,False,False,ok,False,0.0008333333333333,8.333333333333334,0.0022,-22.019499999999994,-0.0022019499999999994,16.0,5.999999999999999,23.0,-22.019499999999994,0.0,ok,0.0023,explicit
FRC1_SOLUSDT_2025-08-16 08:00:00+00:00,SOLUSDT,funding,2025-08-16 08:00:00+00:00,2025-08-16 08:01:00+00:00,2025-08-18 08:00:00.001000+00:00,2025-08-18 08:01:00+00:00,6,5e-05,0.5,6.279e-05,0.6279,3.5652,52.94086505373498,52.94086505373498,10000,10000,-433.5856847900894,433.5856847900894,0.0,3.5652000000000044,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-20.434799999999996,-0.0020434799999999994,16.0,5.999999999999999,24.0,-20.434799999999996,0.0,ok,0.0024,explicit
FRC1_SOLUSDT_2025-08-19 16:00:00+00:00,SOLUSDT,funding,2025-08-19 16:00:00+00:00,2025-08-19 16:01:00+00:00,2025-08-20 00:00:00+00:00,2025-08-20 00:01:00+00:00,1,5e-05,0.5,6.293e-05,0.6293,0.2581,56.22083544161466,56.22083544161466,10000,10000,-73.64929442851533,73.64929442851533,0.0,0.2580999999999989,0.0,0.0,open,open,open,open,False,False,ok,False,0.0025,25.0,0.0022,-22.075233333333333,-0.0022075233333333335,16.0,5.999999999999999,22.333333333333332,-22.075233333333333,0.0,ok,0.0022333333333333333,explicit
FRC1_SOLUSDT_2025-08-20 08:00:00+00:00,SOLUSDT,funding,2025-08-20 08:00:00+00:00,2025-08-20 08:01:00+00:00,2025-08-21 16:00:00.003000+00:00,2025-08-21 16:01:00+00:00,4,5e-05,0.5,8.81e-05,0.881,3.1366,55.487737210076574,55.487737210076574,10000,10000,67.1401620241931,-67.1401620241931,0.0,3.1366000000000014,0.0,0.0,open,open,open,open,False,False,ok,False,0.000625,6.25,0.0022,-20.19673333333333,-0.002019673333333333,16.0,5.999999999999999,23.333333333333332,-20.19673333333333,0.0,ok,0.002333333333333333,explicit
FRC1_SOLUSDT_2025-08-22 08:00:00.007000+00:00,SOLUSDT,funding,2025-08-22 08:00:00.007000+00:00,2025-08-22 08:01:00+00:00,2025-08-24 08:00:00.002000+00:00,2025-08-24 08:01:00+00:00,6,5e-05,0.5,0.0001,1.0,6.0,54.3685097591475,54.3685097591475,10000,10000,1239.058337410971,-1239.058337410971,0.0,6.0,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-18.0,-0.0018,16.0,5.999999999999999,24.0,-18.0,0.0,ok,0.0024,explicit
FRC1_SOLUSDT_2025-08-24 08:00:00.002000+00:00,SOLUSDT,funding,2025-08-24 08:00:00.002000+00:00,2025-08-24 08:01:00+00:00,2025-08-26 00:00:00+00:00,2025-08-26 00:01:00+00:00,5,5e-05,0.5,0.0001,1.0,4.2857,48.37461300309597,48.37461300309597,10000,10000,-968.9434984520124,968.9434984520124,0.0,4.28570000000002,0.0,0.0,open,open,open,open,False,False,ok,False,0.0005,5.0,0.0022,-19.380966666666648,-0.0019380966666666648,16.0,5.999999999999999,23.666666666666668,-19.380966666666648,0.0,ok,0.0023666666666666667,explicit
FRC1_SOLUSDT_2025-08-26 16:00:00+00:00,SOLUSDT,funding,2025-08-26 16:00:00+00:00,2025-08-26 16:01:00+00:00,2025-08-28 16:00:00.004000+00:00,2025-08-28 16:01:00+00:00,6,5e-05,0.5,5.27e-05,0.527,6.0,52.39168020118405,52.39168020118405,10000,10000,1086.6034473725576,-1086.6034473725576,0.0,6.0,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-18.0,-0.0018,16.0,5.999999999999999,24.0,-18.0,0.0,ok,0.0024,explicit
FRC1_SOLUSDT_2025-08-28 16:00:00.004000+00:00,SOLUSDT,funding,2025-08-28 16:00:00.004000+00:00,2025-08-28 16:01:00+00:00,2025-08-30 00:00:00+00:00,2025-08-30 00:01:00+00:00,4,5e-05,0.5,0.0001,1.0,2.2039999999999997,47.25674590047729,47.25674590047729,10000,10000,-325.59897925428925,325.59897925428925,0.0,2.2040000000000077,0.0,0.0,open,open,open,open,False,False,ok,False,0.000625,6.25,0.0022,-21.129333333333324,-0.0021129333333333323,16.0,5.999999999999999,23.333333333333332,-21.129333333333324,0.0,ok,0.002333333333333333,explicit
FRC1_SOLUSDT_2025-08-30 08:00:00.002000+00:00,SOLUSDT,funding,2025-08-30 08:00:00.002000+00:00,2025-08-30 08:01:00+00:00,2025-08-30 16:00:00.003000+00:00,2025-08-30 16:01:00+00:00,1,5e-05,0.5,5.373e-05,0.5373,-0.314,48.83050930221202,48.83050930221202,10000,10000,-206.06474925533468,206.06474925533468,0.0,-0.3139999999999929,0.0,0.0,open,open,open,open,False,False,ok,False,0.0025,25.0,0.0022,-22.647333333333325,-0.0022647333333333324,16.0,5.999999999999999,22.333333333333332,-22.647333333333325,0.0,ok,0.0022333333333333333,explicit
