trade_id,exchange,symbol,mode,spot_entry_time,derivative_entry_time,spot_exit_time,derivative_exit_time,spot_quantity,derivative_quantity,initial_delta,max_absolute_delta,initial_basis,exit_basis,basis_convergence_pnl,funding_income,funding_paid,spot_gross_pnl,derivative_gross_pnl,directional_residual_pnl,spot_fee,derivative_fee,slippage_cost,borrow_cost,transfer_cost,rebalance_cost,liquidation_fee,net_pnl,net_return,annualized_carry,exit_reason
FRC1_BTCUSDT_1439,binance,BTCUSDT,funding,2024-12-25 16:00:00+00:00,2024-12-25 16:00:00+00:00,2024-12-26 00:00:00+00:00,2024-12-26 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-1.7299999999999987e-06,0.0,1.0,0.0,0.0,0.0,-0.017299999999999986,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1440,binance,BTCUSDT,funding,2024-12-26 00:00:00+00:00,2024-12-26 00:00:00+00:00,2024-12-26 08:00:00+00:00,2024-12-26 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-2.374e-05,0.0,0.9827,0.0,0.0,0.0,-0.2374,4.0,4.0,2.0,0,0,0,0,-9.017299999999999,-0.0009017299999999999,-0.9873943499999999,next_funding_or_cost
FRC1_BTCUSDT_1441,binance,BTCUSDT,funding,2024-12-26 08:00:00+00:00,2024-12-26 08:00:00+00:00,2024-12-26 16:00:00+00:00,2024-12-26 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.1319999999999993e-05,0.0,0.7453000000000001,0.0,0.0,0.0,0.11319999999999994,4.0,4.0,2.0,0,0,0,0,-9.2547,-0.00092547,-1.01338965,next_funding_or_cost
FRC1_BTCUSDT_1442,binance,BTCUSDT,funding,2024-12-26 16:00:00+00:00,2024-12-26 16:00:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.4150000000000005e-05,0.0,0.8585,0.0,0.0,0.0,0.14150000000000004,4.0,4.0,2.0,0,0,0,0,-9.1415,-0.0009141500000000001,-1.00099425,next_funding_or_cost
FRC1_BTCUSDT_1443,binance,BTCUSDT,funding,2024-12-27 00:00:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 08:00:00+00:00,2024-12-27 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1444,binance,BTCUSDT,funding,2024-12-27 08:00:00+00:00,2024-12-27 08:00:00+00:00,2024-12-27 16:00:00+00:00,2024-12-27 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1445,binance,BTCUSDT,funding,2024-12-27 16:00:00+00:00,2024-12-27 16:00:00+00:00,2024-12-28 00:00:00+00:00,2024-12-28 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1446,binance,BTCUSDT,funding,2024-12-28 00:00:00.001000+00:00,2024-12-28 00:00:00.001000+00:00,2024-12-28 08:00:00.001000+00:00,2024-12-28 08:00:00.001000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-2.361e-05,0.0,1.0,0.0,0.0,0.0,-0.2361,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1447,binance,BTCUSDT,funding,2024-12-28 08:00:00+00:00,2024-12-28 08:00:00+00:00,2024-12-28 16:00:00+00:00,2024-12-28 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-2.4660000000000004e-05,0.0,0.7639,0.0,0.0,0.0,-0.24660000000000004,4.0,4.0,2.0,0,0,0,0,-9.2361,-0.0009236100000000001,-1.01135295,next_funding_or_cost
FRC1_BTCUSDT_1448,binance,BTCUSDT,funding,2024-12-28 16:00:00+00:00,2024-12-28 16:00:00+00:00,2024-12-29 00:00:00+00:00,2024-12-29 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,2.8399999999999992e-05,0.0,0.5173,0.0,0.0,0.0,0.2839999999999999,4.0,4.0,2.0,0,0,0,0,-9.482700000000001,-0.0009482700000000001,-1.0383556500000002,next_funding_or_cost
FRC1_BTCUSDT_1449,binance,BTCUSDT,funding,2024-12-29 00:00:00+00:00,2024-12-29 00:00:00+00:00,2024-12-29 08:00:00+00:00,2024-12-29 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.987000000000001e-05,0.0,0.8012999999999999,0.0,0.0,0.0,0.19870000000000013,4.0,4.0,2.0,0,0,0,0,-9.1987,-0.00091987,-1.0072576500000001,next_funding_or_cost
FRC1_BTCUSDT_1450,binance,BTCUSDT,funding,2024-12-29 08:00:00+00:00,2024-12-29 08:00:00+00:00,2024-12-29 16:00:00+00:00,2024-12-29 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1451,binance,BTCUSDT,funding,2024-12-29 16:00:00+00:00,2024-12-29 16:00:00+00:00,2024-12-30 00:00:00+00:00,2024-12-30 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-0.00010042,0.0,1.0,0.0,0.0,0.0,-1.0042,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1453,binance,BTCUSDT,funding,2024-12-30 08:00:00.001000+00:00,2024-12-30 08:00:00.001000+00:00,2024-12-30 16:00:00.001000+00:00,2024-12-30 16:00:00.001000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.2090000000000001e-05,0.0,0.8791,0.0,0.0,0.0,0.12090000000000001,4.0,4.0,2.0,0,0,0,0,-9.120899999999999,-0.0009120899999999998,-0.9987385499999998,next_funding_or_cost
FRC1_BTCUSDT_1454,binance,BTCUSDT,funding,2024-12-30 16:00:00+00:00,2024-12-30 16:00:00+00:00,2024-12-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1455,binance,BTCUSDT,funding,2024-12-31 00:00:00+00:00,2024-12-31 00:00:00+00:00,2024-12-31 08:00:00+00:00,2024-12-31 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1456,binance,BTCUSDT,funding,2024-12-31 08:00:00+00:00,2024-12-31 08:00:00+00:00,2024-12-31 16:00:00+00:00,2024-12-31 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1457,binance,BTCUSDT,funding,2024-12-31 16:00:00+00:00,2024-12-31 16:00:00+00:00,2025-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1458,binance,BTCUSDT,funding,2025-01-01 00:00:00.015000+00:00,2025-01-01 00:00:00.015000+00:00,2025-01-01 08:00:00.015000+00:00,2025-01-01 08:00:00.015000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1459,binance,BTCUSDT,funding,2025-01-01 08:00:00+00:00,2025-01-01 08:00:00+00:00,2025-01-01 16:00:00+00:00,2025-01-01 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1460,binance,BTCUSDT,funding,2025-01-01 16:00:00.001000+00:00,2025-01-01 16:00:00.001000+00:00,2025-01-02 00:00:00.001000+00:00,2025-01-02 00:00:00.001000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1461,binance,BTCUSDT,funding,2025-01-02 00:00:00+00:00,2025-01-02 00:00:00+00:00,2025-01-02 08:00:00+00:00,2025-01-02 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1462,binance,BTCUSDT,funding,2025-01-02 08:00:00.006000+00:00,2025-01-02 08:00:00.006000+00:00,2025-01-02 16:00:00.006000+00:00,2025-01-02 16:00:00.006000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1463,binance,BTCUSDT,funding,2025-01-02 16:00:00+00:00,2025-01-02 16:00:00+00:00,2025-01-03 00:00:00+00:00,2025-01-03 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1464,binance,BTCUSDT,funding,2025-01-03 00:00:00+00:00,2025-01-03 00:00:00+00:00,2025-01-03 08:00:00+00:00,2025-01-03 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1465,binance,BTCUSDT,funding,2025-01-03 08:00:00+00:00,2025-01-03 08:00:00+00:00,2025-01-03 16:00:00+00:00,2025-01-03 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-4.758e-05,0.0,1.0,0.0,0.0,0.0,-0.4758,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1466,binance,BTCUSDT,funding,2025-01-03 16:00:00+00:00,2025-01-03 16:00:00+00:00,2025-01-04 00:00:00+00:00,2025-01-04 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,2.4570000000000004e-05,0.0,0.5242,0.0,0.0,0.0,0.24570000000000003,4.0,4.0,2.0,0,0,0,0,-9.4758,-0.00094758,-1.0376001,next_funding_or_cost
FRC1_BTCUSDT_1467,binance,BTCUSDT,funding,2025-01-04 00:00:00+00:00,2025-01-04 00:00:00+00:00,2025-01-04 08:00:00+00:00,2025-01-04 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,2.3009999999999998e-05,0.0,0.7699,0.0,0.0,0.0,0.23009999999999997,4.0,4.0,2.0,0,0,0,0,-9.2301,-0.00092301,-1.0106959500000001,next_funding_or_cost
FRC1_BTCUSDT_1468,binance,BTCUSDT,funding,2025-01-04 08:00:00+00:00,2025-01-04 08:00:00+00:00,2025-01-04 16:00:00+00:00,2025-01-04 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-9.202e-05,0.0,1.0,0.0,0.0,0.0,-0.9202,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1470,binance,BTCUSDT,funding,2025-01-05 00:00:00+00:00,2025-01-05 00:00:00+00:00,2025-01-05 08:00:00+00:00,2025-01-05 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1471,binance,BTCUSDT,funding,2025-01-05 08:00:00+00:00,2025-01-05 08:00:00+00:00,2025-01-05 16:00:00+00:00,2025-01-05 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-1.6800000000000002e-05,0.0,1.0,0.0,0.0,0.0,-0.168,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
FRC1_BTCUSDT_1472,binance,BTCUSDT,funding,2025-01-05 16:00:00+00:00,2025-01-05 16:00:00+00:00,2025-01-06 00:00:00+00:00,2025-01-06 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.6800000000000002e-05,0.0,0.8320000000000001,0.0,0.0,0.0,0.168,4.0,4.0,2.0,0,0,0,0,-9.168,-0.0009168,-1.003896,next_funding_or_cost
FRC1_BTCUSDT_1473,binance,BTCUSDT,funding,2025-01-06 00:00:00+00:00,2025-01-06 00:00:00+00:00,2025-01-06 08:00:00+00:00,2025-01-06 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0,0,0,0,-9.0,-0.0009,-0.9854999999999999,next_funding_or_cost
