event_id,symbol,side,signal_time,execution_time,p4_exit_context,bars_since_p4_exit,trend_strength_bucket,volatility_regime,fwd_ret_16,fwd_mae_16,fwd_mfe_16,reversion_hit,continuation_breakout,case_type
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2022-06-06T00:15:00+00:00,SOLUSDT,long,2022-06-06 00:15:00+00:00,2022-06-06 00:15:00+00:00,after_p4_exit_5_16_bars,6.0,0.5_1.0,mid_vol,0.08655091992744235,-0.0018139414356050931,0.08681005441824285,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2022-06-06T00:00:00+00:00,SOLUSDT,long,2022-06-06 00:00:00+00:00,2022-06-06 00:00:00+00:00,after_p4_exit_5_16_bars,5.0,1.0_1.5,mid_vol,0.0844155844155845,-0.004935064935064903,0.08935064935064929,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-02-19T03:30:00+00:00,SOLUSDT,long,2021-02-19 03:30:00+00:00,2021-02-19 03:30:00+00:00,after_p4_exit_5_16_bars,7.0,1.5_2.5,high_vol,0.08377642775933936,-0.013976136063484135,0.0941235917636114,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-05T05:45:00+00:00,SOLUSDT,long,2021-01-05 05:45:00+00:00,2021-01-05 05:45:00+00:00,after_p4_exit_5_16_bars,7.0,1.5_2.5,high_vol,0.08238943460074255,-0.03524933026272492,0.08563237298491333,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-05-16T19:45:00+00:00,SOLUSDT,long,2021-05-16 19:45:00+00:00,2021-05-16 19:45:00+00:00,after_p4_exit_5_16_bars,10.0,1.0_1.5,high_vol,0.08176687345491862,-0.023765100984187604,0.13720322776248906,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-02-19T03:15:00+00:00,SOLUSDT,long,2021-02-19 03:15:00+00:00,2021-02-19 03:15:00+00:00,after_p4_exit_5_16_bars,6.0,1.5_2.5,high_vol,0.07946548497824524,-0.014315726635057868,0.08602064128026465,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2020-12-27T12:15:00+00:00,BNBUSDT,long,2020-12-27 12:15:00+00:00,2020-12-27 12:15:00+00:00,after_p4_exit_5_16_bars,16.0,0.5_1.0,high_vol,0.07892123393954442,-0.005555210725591286,0.09031096766184588,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2020-09-08T12:00:00+00:00,BNBUSDT,long,2020-09-08 12:00:00+00:00,2020-09-08 12:00:00+00:00,after_p4_exit_5_16_bars,8.0,0.5_1.0,mid_vol,0.07744609509616729,-0.010385134820472208,0.07944860988217761,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2024-04-19T02:30:00+00:00,SOLUSDT,long,2024-04-19 02:30:00+00:00,2024-04-19 02:30:00+00:00,after_p4_exit_5_16_bars,8.0,0.5_1.0,high_vol,0.07602902559162183,-0.0024317479062105907,0.09365725562098914,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_short_2021-05-12T21:45:00+00:00,SOLUSDT,short,2021-05-12 21:45:00+00:00,2021-05-12 21:45:00+00:00,after_p4_exit_5_16_bars,10.0,1.0_1.5,high_vol,0.0749505658630989,-0.03380012601369897,0.2075289575289574,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2020-11-15T21:45:00+00:00,SOLUSDT,long,2020-11-15 21:45:00+00:00,2020-11-15 21:45:00+00:00,after_p4_exit_5_16_bars,16.0,1.5_2.5,high_vol,0.07489999999999997,-0.034499999999999975,0.07745000000000002,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-04T09:45:00+00:00,SOLUSDT,long,2021-01-04 09:45:00+00:00,2021-01-04 09:45:00+00:00,after_p4_exit_5_16_bars,9.0,1.0_1.5,high_vol,0.0725810530575084,-0.08037023923928988,0.09493702898184209,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2020-09-23T07:45:00+00:00,SOLUSDT,long,2020-09-23 07:45:00+00:00,2020-09-23 07:45:00+00:00,after_p4_exit_5_16_bars,13.0,0_0.5,mid_vol,0.07188353048225649,-0.009827115559599697,0.07399454049135579,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-16T14:30:00+00:00,SOLUSDT,long,2021-01-16 14:30:00+00:00,2021-01-16 14:30:00+00:00,after_p4_exit_5_16_bars,10.0,0.5_1.0,high_vol,0.07111663735063978,-0.0032753078182811146,0.08415721477527738,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2020-09-23T08:15:00+00:00,SOLUSDT,long,2020-09-23 08:15:00+00:00,2020-09-23 08:15:00+00:00,after_p4_exit_5_16_bars,15.0,0_0.5,mid_vol,0.06907280647168634,-0.004172919945825249,0.08082287052966808,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-04T08:45:00+00:00,SOLUSDT,long,2021-01-04 08:45:00+00:00,2021-01-04 08:45:00+00:00,after_p4_exit_5_16_bars,5.0,1.5_2.5,high_vol,0.067828404995804,-0.10243372661302264,0.06866762106926005,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-12-15T15:30:00+00:00,SOLUSDT,long,2021-12-15 15:30:00+00:00,2021-12-15 15:30:00+00:00,after_p4_exit_5_16_bars,10.0,0.5_1.0,mid_vol,0.06746081504702195,-0.017554858934169304,0.11285266457680243,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2020-09-08T11:45:00+00:00,BNBUSDT,long,2020-09-08 11:45:00+00:00,2020-09-08 11:45:00+00:00,after_p4_exit_5_16_bars,7.0,0.5_1.0,mid_vol,0.06686195192262989,-0.011949597805365753,0.07123262193704383,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2024-12-05T22:30:00+00:00,SOLUSDT,long,2024-12-05 22:30:00+00:00,2024-12-05 22:30:00+00:00,after_p4_exit_5_16_bars,13.0,0.5_1.0,high_vol,0.06558241758241756,-0.0010109890109889497,0.08712087912087907,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2020-12-27T12:00:00+00:00,BNBUSDT,long,2020-12-27 12:00:00+00:00,2020-12-27 12:00:00+00:00,after_p4_exit_5_16_bars,15.0,0.5_1.0,high_vol,0.06492434662998603,-0.02821335778694789,0.07388048295888727,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-17T10:00:00+00:00,SOLUSDT,long,2021-01-17 10:00:00+00:00,2021-01-17 10:00:00+00:00,after_p4_exit_5_16_bars,8.0,0.5_1.0,high_vol,0.06468526230637872,-0.009467597447344045,0.08505857326901767,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-04T09:30:00+00:00,SOLUSDT,long,2021-01-04 09:30:00+00:00,2021-01-04 09:30:00+00:00,after_p4_exit_5_16_bars,8.0,1.5_2.5,high_vol,0.06425098982609123,-0.08875858266927283,0.08494963163434077,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2025-01-15T12:30:00+00:00,SOLUSDT,long,2025-01-15 12:30:00+00:00,2025-01-15 12:30:00+00:00,after_p4_exit_5_16_bars,11.0,1.5_2.5,mid_vol,0.06300397806687452,-0.0005375766046662456,0.06429416191807324,True,True,sol_bnb_max_profit
