sample_reason,event_id,symbol,side,signal_time,execution_time,execution_open,p4_phase,trend_strength_atr,volatility_regime,deviation_ema20_atr,fwd_ret_16,fwd_mae_16,fwd_mfe_16,plus_1atr_first_16,minus_1atr_first_16,subsequent_trend_breakout
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2024-12-16T09:00:00+00:00,SOLUSDT,long,2024-12-16 09:00:00+00:00,2024-12-16 09:00:00+00:00,219.9,deep_idle,0.23109682720047756,mid_vol,-2.0065890286080155,-0.025875397908140085,-0.02910413824465674,0.0017735334242836576,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2025-02-26T18:45:00+00:00,ETHUSDT,long,2025-02-26 18:45:00+00:00,2025-02-26 18:45:00+00:00,2318.27,deep_idle,2.414806119620979,high_vol,-2.5609795723052398,0.01347125227001178,-0.028249513645951407,0.027822471066786925,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2025-03-28T07:00:00+00:00,BTCUSDT,long,2025-03-28 07:00:00+00:00,2025-03-28 07:00:00+00:00,85680.1,deep_idle,1.1407863080291627,high_vol,-2.440307737927559,-0.008914555421854153,-0.00968836404252571,0.002000464518598699,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2026-02-25T15:15:00+00:00,BNBUSDT,short,2026-02-25 15:15:00+00:00,2026-02-25 15:15:00+00:00,616.83,p4_held,2.031714053437883,mid_vol,2.364266832964415,-0.02227518116823113,-0.027894662190912856,0.0009736624312350894,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2025-10-30T13:30:00+00:00,SOLUSDT,long,2025-10-30 13:30:00+00:00,2025-10-30 13:30:00+00:00,187.69,deep_idle,1.7287197923802233,high_vol,-2.0068415578272503,-0.025467526240076754,-0.02669295114284187,0.00063935212318178,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_short_2025-06-09T18:15:00+00:00,ETHUSDT,short,2025-06-09 18:15:00+00:00,2025-06-09 18:15:00+00:00,2573.15,p4_held,1.4345794295021437,high_vol,1.8171606019464193,-0.02763538853156633,-0.028798429862801567,0.0008401432911058215,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2025-01-29T05:45:00+00:00,BNBUSDT,short,2025-01-29 05:45:00+00:00,2025-01-29 05:45:00+00:00,675.87,deep_idle,0.4922121614193638,low_vol,1.598540796533601,0.006776451092665781,-0.004888175620960333,0.008987086661192745,False,True,True
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_short_2024-12-31T08:30:00+00:00,ETHUSDT,short,2024-12-31 08:30:00+00:00,2024-12-31 08:30:00+00:00,3394.21,deep_idle,1.2388391785194688,mid_vol,3.227932105391089,-0.0038064822153018874,-0.004621741540248081,0.00622552405572141,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2025-06-20T14:45:00+00:00,BTCUSDT,long,2025-06-20 14:45:00+00:00,2025-06-20 14:45:00+00:00,104823.9,deep_idle,1.390398671579205,high_vol,-2.7516217376909378,-0.01581032569862395,-0.02450395377390069,2.7665446525215742e-05,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2026-06-11T06:30:00+00:00,BNBUSDT,short,2026-06-11 06:30:00+00:00,2026-06-11 06:30:00+00:00,597.12,deep_idle,0.08956185849919401,low_vol,1.5839092523010165,-0.004806404072883241,-0.011194277008677256,0.002956194571351878,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2025-07-14T16:30:00+00:00,BNBUSDT,long,2025-07-14 16:30:00+00:00,2025-07-14 16:30:00+00:00,693.94,after_p4_exit_5_16_bars,1.8534392556693498,high_vol,-1.6400412263728845,-0.006441479090411262,-0.011427500936680546,0.0008213966625356672,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2025-07-29T15:00:00+00:00,BTCUSDT,long,2025-07-29 15:00:00+00:00,2025-07-29 15:00:00+00:00,117781.6,deep_idle,0.23498450541542645,high_vol,-2.1367091916091594,-0.0017710745990885401,-0.007289763426545415,0.0020181420527485283,False,True,False
