symbol,prototype,gate,leverage_mode,proxy_trade_count,strict_trade_count,proxy_total_return,strict_total_return,proxy_profit_factor,strict_profit_factor,proxy_max_drawdown,strict_max_drawdown,proxy_liquidation_count,strict_liquidation_count
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,109,145,67.91169909392298,84.92438783734443,3.192120820246198,2.6108147195327,-0.2122124415247052,-0.25680136751775096,0,0
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,73,97,267917172.22200572,99662273.57418172,1.6898423504521587,1.5902300802908502,-0.7280049945414726,-0.97602677074857,0,0
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,73,97,83.51362948051741,86.69373673057869,6.706490170257582,4.772578488891278,-0.1089976540349884,-0.2330822171778444,0,0
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,225,225,87770142.38057229,87770142.38057229,1.1434987668362402,1.1434987668362402,-0.9476219997345802,-0.9476219997345802,0,0
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,225,225,118.6872413654352,118.6872413654352,1.9100197850056893,1.9100197850056893,-0.2489654353283845,-0.24896543532838455,0,0
DOGEUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,161,161,61976054892153.98,61976054892153.98,1.1667462187528088,1.1667462187528088,-0.9289586535859,-0.9289586535859,0,0
DOGEUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,161,161,9971.379472225934,9971.379472225934,2.9926627058451536,2.9926627058451536,-0.1942502711784448,-0.19425027117844484,0,0
DOGEUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,103,116,51616810704.27108,17428969285196.303,1.1543239797000615,1.174183097336792,-0.918227346002794,-0.9182273460027941,0,0
DOGEUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,103,116,1223.5314260109867,4438.40228434022,2.525367555870943,3.3180865758981986,-0.1845083266754017,-0.1845083266754014,0,0
DOGEUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,161,161,6270386360536.854,6270386360536.854,1.171072334805092,1.171072334805092,-0.9225198690360364,-0.9225198690360364,0,0
DOGEUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,161,161,9971.379472225934,9971.379472225934,2.9926627058451536,2.9926627058451536,-0.1942502711784448,-0.19425027117844484,0,0
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,219,219,296591.14296475495,18123749.955564797,1.025556337575512,1.0474884152868829,-0.9990903744073766,-0.9968666075427218,3,1
