symbol,year,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
BTCUSDT,2025,low_vol,1.0_1.5,7,-0.0054136734945970455,-0.003968473086166102,0.2857142857142857,0.5714285714285714,-0.008307793632582716,0.002510058767607713,0.5249821010230895,-0.009704973333463401
BTCUSDT,2025,low_vol,1.5_2.5,22,-0.0022008845464606686,0.0010947197874296988,0.5909090909090909,0.4090909090909091,-0.005010873029087542,0.003264267680609097,0.1262013830549374,-0.0032212563306300963
BTCUSDT,2025,mid_vol,0.5_1.0,14,0.0021518564315569483,0.0008732833212168334,0.5,0.5,-0.0035003542157772205,0.006733135841827252,0.23842571037765753,0.000593107497639815
BTCUSDT,2025,mid_vol,0_0.5,12,0.00295205197296917,0.005554257286807585,0.3333333333333333,0.5,-0.00556454780367475,0.007408562398764695,0.1752919885223017,0.0009531748583362735
BTCUSDT,2025,mid_vol,1.0_1.5,22,-0.0005607534575565328,0.0002793078310558972,0.5454545454545454,0.45454545454545453,-0.005429896146037136,0.004226327198293169,0.20049856694319754,-0.00145461782309253
BTCUSDT,2025,mid_vol,1.5_2.5,26,0.002301578263559393,0.0005826315775725455,0.6538461538461539,0.2692307692307692,-0.0033453156773756067,0.006732515207612311,0.1909964812479556,0.0004829349807674818
BTCUSDT,2026,high_vol,0.5_1.0,27,0.004036834943071425,0.002437945263614072,0.5925925925925926,0.3333333333333333,-0.004936509414924973,0.009328719411169924,0.14490249032900895,0.0026754891621973698
BTCUSDT,2026,high_vol,0_0.5,18,-0.0035246270092549573,-0.0012007106854420857,0.2222222222222222,0.3333333333333333,-0.009358614949326376,0.0031212912382257616,0.2280634789408375,-0.004700719925418954
BTCUSDT,2026,high_vol,1.0_1.5,21,0.0006764951370088585,-0.0005383039674546897,0.47619047619047616,0.5238095238095238,-0.006355158427998053,0.004940507480691784,0.37297634506188515,-0.0008283260469965267
BTCUSDT,2026,high_vol,1.5_2.5,21,-0.00013133548632821807,0.00030425292678093463,0.5714285714285714,0.2857142857142857,-0.006129740570523327,0.006933054577415289,0.3012129195689082,-0.00214854302690611
BTCUSDT,2026,low_vol,0.5_1.0,1,-0.0012320649042492082,-0.0012320649042492082,1.0,0.0,-0.006713259309811148,0.004079762088599059,,
BTCUSDT,2026,low_vol,0_0.5,1,,,,,,,,
BTCUSDT,2026,low_vol,1.5_2.5,10,-0.0028351480225471404,-0.003010053324331352,0.3,0.7,-0.008567967823886035,0.0037777522461529102,0.9281191088258222,-0.004845898535490477
BTCUSDT,2026,mid_vol,0.5_1.0,3,-0.018047059333180293,-0.01470739117300024,0.0,0.6666666666666666,-0.020741895032490576,0.004878634874921017,,
BTCUSDT,2026,mid_vol,0_0.5,2,,,,,,,,
BTCUSDT,2026,mid_vol,1.0_1.5,2,-0.019014193417236036,-0.019014193417236036,0.5,0.5,-0.02322154486888367,0.0028831662921775525,,
BTCUSDT,2026,mid_vol,1.5_2.5,9,8.633858739603983e-05,0.0003719755108828604,0.6666666666666666,0.3333333333333333,-0.005391892993513146,0.004856965551737671,0.677398030345063,-0.002600258864238425
ETHUSDT,2020,high_vol,0.5_1.0,29,0.0030025933858627554,0.004481434058898781,0.27586206896551724,0.5517241379310345,-0.014514473605933352,0.013276333621076034,0.12454901202643379,0.0009300788294404061
