symbol,month,p4_trade_count,p4_proxy_return,p4_negative_month,p4_weak_month,proxy_method
BTCUSDT,2022-12,9,-0.027970731858235842,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-01,17,0.1523439588850336,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-02,11,-0.002737998191087776,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-03,10,0.20508757886063134,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-04,9,0.023881967970889262,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-05,9,-0.00418066491757596,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-06,11,0.06572446299647094,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-07,7,0.007132335626169883,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-08,6,-0.01717654325183604,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-09,8,0.012495715542879315,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-10,16,0.14694745622418925,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-11,14,-0.0444657485769977,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2023-12,10,0.09004649534941844,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-01,13,-0.0022692806443469493,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-02,15,0.23650836285714139,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-03,13,0.030557066825852797,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-04,10,-0.03408270787357259,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-05,18,0.0025706201410963248,False,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-06,7,-0.025365993296079692,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-07,18,0.020758134478119805,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-08,11,0.015045553250612187,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-09,17,0.035098335159592486,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-10,21,0.01011952451389142,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-11,19,0.06281121966563452,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2024-12,18,-0.04765893449214875,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-01,18,0.002940446857303103,False,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-02,7,-0.06856689569141139,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-03,10,0.06882432957560658,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-04,18,-0.01841553119228545,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-05,16,-0.006744655047211778,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-06,13,0.03697466632761015,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-07,16,0.04519900604936955,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-08,11,0.02245554615183798,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-09,16,-0.0015070854678078671,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-10,14,0.020346799040365182,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-11,8,-0.004943251957463368,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2025-12,13,-0.12967486021108066,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2026-01,11,0.03225897481514728,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2026-02,6,-0.017694000936608445,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2026-03,14,-0.002528517135866326,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2026-04,16,0.012974792978292182,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2026-05,16,-0.08303418802772977,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2026-06,13,-0.06604768086040957,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2020-09,8,-0.29512128049592723,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2020-10,6,-0.06339535900134918,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2020-11,13,0.2603650110271446,False,False,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2020-12,12,-0.21446729962996103,True,True,realistic_p4_trade_return_1x_exit_month
SOLUSDT,2021-01,20,-0.13411730374487774,True,True,realistic_p4_trade_return_1x_exit_month
