symbol,prototype,leverage_mode,stress_case,trade_count,total_return,max_drawdown,profit_factor,liquidation_count,final_equity,stress_status
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,slippage_2x,185,455093.4509800857,-0.6066104896681896,1.9771908126033444,0,455094450.98008573,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,entry_delay_1m,185,381548.32210701524,-0.6112627021165891,1.9427170693179474,0,381549322.10701525,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,entry_delay_3m,185,64882.56673053203,-0.6614638691784969,1.6432814197577263,0,64883566.73053203,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,exit_delay_1m,185,381379.94058722205,-0.6112742836187643,1.9426319767840032,0,381380940.58722204,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,exit_delay_3m,185,64623.04208893791,-0.6615709078033392,1.6426893817534203,0,64624042.08893791,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,liquidation_price_up_10pct,185,920486.2806139451,-0.5874619451382748,2.125369401403237,0,920487280.6139451,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,liquidation_price_up_20pct,185,920486.2806139451,-0.5874619451382748,2.125369401403237,0,920487280.6139451,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,fee_2x,185,68923883.25510064,-0.8887808135949049,1.4390721469342236,0,68923884255.10063,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,slippage_2x,185,574367184.9125625,-0.8668304429761191,1.5827880735615858,0,574367185912.5625,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,entry_delay_1m,185,404025145.5079968,-0.8703119167683402,1.557409199487535,0,404025146507.9968,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,entry_delay_3m,185,11515878.627602732,-0.9046410485039185,1.3354712434116742,0,11515879627.602732,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,exit_delay_1m,185,403669172.4770882,-0.8703205263181049,1.557346479797542,0,403669173477.0882,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,exit_delay_3m,185,11423042.883623082,-0.9047081442634333,1.3350325396364342,0,11423043883.623083,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,liquidation_price_up_10pct,185,2333813090.744848,-0.8520169400047198,1.691240003487874,0,2333813091744.8477,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,liquidation_price_up_20pct,185,2333813090.744848,-0.8520169400047198,1.691240003487874,0,2333813091744.8477,stress_fragile
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,fee_2x,185,1045.0962304922573,-0.3632436572385839,1.679378606269742,0,1046096.2304922573,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,slippage_2x,185,6443.793767028614,-0.34276757794290325,2.113575791040089,0,6444793.767028614,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,entry_delay_1m,185,4829.898307357722,-0.3459291826530855,2.0666042635681072,0,4830898.307357722,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,entry_delay_3m,185,566.6806087411347,-0.38017122160532635,1.5817254959589504,0,567680.6087411348,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,exit_delay_1m,185,4828.173355526431,-0.34593707935633,2.0664793282958813,0,4829173.3555264305,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,exit_delay_3m,185,565.0496140577641,-0.38024728304329714,1.5810343444722472,0,566049.6140577641,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,liquidation_price_up_10pct,185,31119.59937493386,-0.32996704761947715,2.2633570573334527,0,31120599.37493386,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,liquidation_price_up_20pct,185,31119.59937493386,-0.32996704761947715,2.2633570573334527,0,31120599.37493386,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,fee_2x,190,18.461447348401904,-0.17109826602071077,2.3209007962808323,0,19461.447348401904,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,slippage_2x,190,23.37211167205721,-0.15755755238058,2.547449884726347,0,24372.11167205721,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,entry_delay_1m,190,22.470984899207334,-0.15959020784705946,2.5074529705555513,0,23470.984899207335,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,entry_delay_3m,190,15.098411016524913,-0.18260486268179177,2.1548926415136846,0,16098.411016524913,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,exit_delay_1m,190,22.46877148158467,-0.1595952899444386,2.5073541881586885,0,23468.77148158467,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,exit_delay_3m,190,15.084739308002565,-0.18265675971090545,2.154180639798476,0,16084.739308002563,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,liquidation_price_up_10pct,190,27.340420111871676,-0.14936945267029555,2.718633883877129,0,28340.420111871677,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,liquidation_price_up_20pct,190,27.340420111871676,-0.14936945267029555,2.718633883877129,0,28340.420111871677,stress_pass
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,fee_2x,190,106044.47179089242,-0.6324576472115655,1.6931330537599911,0,106045471.79089242,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,slippage_2x,190,315291.1639080161,-0.5991529799934359,1.881233100101589,0,315292163.9080161,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,entry_delay_1m,190,262918.0384970858,-0.6042860931483901,1.8477715763292433,0,262919038.49708578,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,entry_delay_3m,190,42350.454640796204,-0.6588074579181351,1.5589439908089657,0,42351454.64079621,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,exit_delay_1m,190,262798.46310641314,-0.6042988654314227,1.8476890172066587,0,262799463.10641313,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,exit_delay_3m,190,42175.88048559271,-0.658923031829413,1.5583780128478921,0,42176880.48559271,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,liquidation_price_up_10pct,190,651595.9603375166,-0.5779719932937815,2.0253087252349196,0,651596960.3375167,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,liquidation_price_up_20pct,190,651595.9603375166,-0.5779719932937815,2.0253087252349196,0,651596960.3375167,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,fee_2x,190,26430565.432962116,-0.8883056623466895,1.3837608669106465,0,26430566432.962116,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,slippage_2x,190,237461974.6983259,-0.8645915474827038,1.5327222551531172,0,237461975698.3259,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,entry_delay_1m,190,164989881.96626484,-0.8684017803834012,1.5063640039480746,0,164989882966.26483,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,entry_delay_3m,190,4149669.4806951866,-0.9052247539514862,1.2778683304032588,0,4149670480.6951866,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,exit_delay_1m,190,164839420.15144116,-0.8684111931314487,1.5062988738780765,0,164839421151.44116,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,exit_delay_3m,190,4115041.9281061203,-0.9052959154600695,1.2774259653238864,0,4115042928.10612,stress_fragile
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,liquidation_price_up_10pct,190,1013407699.4763727,-0.8482942559119853,1.6453040683654039,0,1013407700476.3727,stress_fragile
