prototype,sizing_mode,event_id,signal_time,entry_time,exit_time,entry_raw_price,entry_price,exit_raw_price,exit_price,quantity,stop_loss,atr,gross_pnl,entry_fee,exit_fee,total_fee,net_pnl,trade_return,equity_before,equity_after,mae_atr,mfe_atr,exit_reason
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-01-30T13:15:00+00:00,2025-01-30 13:15:00+00:00,2025-01-30 13:16:00+00:00,2025-01-30 20:30:00+00:00,3247.28,3247.9294560000003,3229.79,3229.144042,1.6186662186636116,3213.4423131428575,11.495714285714191,-30.40731504541112,2.6286568455148407,2.613453187992135,5.242110033506975,-35.6494250789181,-0.013561840580197873,2628.656845514841,2593.0074204359225,-0.8611431837952073,3.0159538710078344,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-01-31T15:15:00+00:00,2025-01-31 15:15:00+00:00,2025-01-31 15:16:00+00:00,2025-01-31 18:30:00+00:00,3352.66,3353.330532,3309.6,3308.93808,1.5465265924080536,3294.5712462857146,19.58642857142851,-68.65410752019815,2.5930074204359226,2.5586803666758238,5.151687787111746,-73.80579530730991,-0.028463395332244006,2593.0074204359225,2519.2016251286127,-0.550918814047631,4.240664279202093,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-02-12T22:15:00+00:00,2025-02-12 22:15:00+00:00,2025-02-12 22:16:00+00:00,2025-02-13 06:30:00+00:00,2679.57,2680.105914,2697.88,2697.340424,1.8799269177901694,2620.3287711428575,19.92571428571429,32.39961926392343,2.5192016251286127,2.5354014347605744,5.054603059889187,27.345016204034238,0.010854635822425763,2519.2016251286127,2546.546641332647,-0.1523616145683925,5.765619457986773,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-02-17T14:00:00+00:00,2025-02-17 14:00:00+00:00,2025-02-17 14:01:00+00:00,2025-02-17 16:15:00+00:00,2777.85,2778.40557,2726.21,2725.664758,1.8330992917874458,2732.919141428571,15.162142857142888,-96.67914512549483,2.546546641332647,2.4982070687699,5.0447537101025475,-101.72389883559738,-0.03994582199459096,2546.546641332647,2444.8227424970496,-2.7981249352239934,4.6401376548735165,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-02-21T13:00:00+00:00,2025-02-21 13:00:00+00:00,2025-02-21 13:01:00+00:00,2025-02-21 15:25:00+00:00,2807.94,2808.501588,2768.4944451428573,2767.940746253829,1.7410157451526067,2768.4944451428573,13.335714285714305,-70.61706411672732,2.4448227424970495,2.409514210438686,4.854336952935736,-75.47140106966306,-0.030869886702943307,2444.8227424970496,2369.3513414273866,-3.837933754686652,2.7368921692554706,atr_stop
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-03-02T16:30:00+00:00,2025-03-02 16:30:00+00:00,2025-03-02 16:31:00+00:00,2025-03-03 00:45:00+00:00,2264.29,2264.742858,2464.48,2463.9871040000003,2.09238000955196,2137.920000857143,42.27428571428579,416.8946773486535,2.369351341427387,2.577798680101713,4.9471500215291,411.9475273271244,0.1738651081941067,2369.3513414273866,2781.298868754511,-0.015206832927821544,6.747769647201931,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-03-19T11:00:00+00:00,2025-03-19 11:00:00+00:00,2025-03-19 11:01:00+00:00,2025-03-20 01:30:00+00:00,1977.27,1977.665454,2022.95,2022.5454100000002,2.8127091598117295,1942.008311142857,11.88571428571426,126.23426333314801,2.781298868754511,2.8444160004210852,5.625714869175596,120.60854846397241,0.04336410941625339,2781.298868754511,2901.9074172184837,-0.03916079326921732,7.74244978365387,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-04-01T08:15:00+00:00,2025-04-01 08:15:00+00:00,2025-04-01 08:16:00+00:00,2025-04-01 14:00:00+00:00,1875.44,1875.815088,1849.27,1848.900146,3.0940228978673017,1851.217230857143,8.199285714285711,-83.27544684277069,2.9019074172184838,2.8602696937970986,5.762177111015582,-89.03762395378627,-0.030682448180628034,2901.9074172184837,2812.8697932646974,-2.491081383395764,1.9032038330865129,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-04-12T08:00:00+00:00,2025-04-12 08:00:00+00:00,2025-04-12 08:01:00+00:00,2025-04-13 01:45:00+00:00,1580.11,1580.4260219999999,1616.24,1615.916752,3.5596348757976823,1559.6895934285712,6.9121428571428725,126.33404027551984,2.8128697932646975,2.8760368134024574,5.688906606667155,120.64513366885268,0.04289040820792081,2812.8697932646974,2933.51492693355,-0.06018712410868652,12.937229430608612,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-04-14T10:30:00+00:00,2025-04-14 10:30:00+00:00,2025-04-14 10:31:00+00:00,2025-04-14 15:30:00+00:00,1663.8,1664.13276,1636.14,1635.8127720000002,3.525578003684694,1630.860617142857,11.090714285714252,-99.84432675741358,2.93351492693355,2.8835927635548435,5.817107690488394,-105.66143444790198,-0.03601871375454413,2933.51492693355,2827.853492485648,-1.5204394924969482,2.4738929606491844,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-04-22T14:30:00+00:00,2025-04-22 14:30:00+00:00,2025-04-22 14:31:00+00:00,2025-04-23 15:15:00+00:00,1641.23,1641.558246,1765.71,1765.356858,3.4453282414758104,1603.7346745714285,12.607857142857142,426.52685417910635,2.827853492485648,3.0411169195752015,5.8689704120608495,420.6578837670455,0.14875519007078844,2827.853492485648,3248.5113762526935,-0.17911418049969458,15.580899416463655,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-05-01T15:00:00+00:00,2025-05-01 15:00:00+00:00,2025-05-01 15:01:00+00:00,2025-05-01 23:00:00+00:00,1846.03,1846.3992059999998,1835.21,1834.8429580000002,3.51875300389692,1811.3056345714283,11.697857142857174,-40.66358236377651,3.2485113762526936,3.2281795850708055,6.476690961323499,-47.14027332510001,-0.014511346233756606,3248.5113762526935,3201.3711029275933,-0.8847095560847456,2.2491977529462144,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-05-08T03:30:00+00:00,2025-05-08 03:30:00+00:00,2025-05-08 03:31:00+00:00,2025-05-11 07:00:00+00:00,1865.49,1865.863098,2497.21,2496.710558,3.4315176781824035,1827.8788122857143,12.661428571428555,2164.764211226467,3.2013711029275935,4.283753208540826,7.48512431146842,2157.2790869149985,0.673860985670236,3201.3711029275933,5358.650189842592,-0.46859625409003736,58.61399429087222,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-05-12T07:15:00+00:00,2025-05-12 07:15:00+00:00,2025-05-12 07:16:00+00:00,2025-05-12 14:15:00+00:00,2565.77,2566.2831539999997,2509.2,2508.69816,4.1761955858146065,2508.1431539999994,19.380000000000077,-240.48619775195988,5.358650189842592,5.2384070909666125,10.597057280809205,-251.08325503276907,-0.046855690544738565,5358.650189842592,5107.566934809824,-2.3881916408668458,3.021509081527353,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-05-13T18:45:00+00:00,2025-05-13 18:45:00+00:00,2025-05-13 18:46:00+00:00,2025-05-14 02:00:00+00:00,2630.72,2631.2461439999997,2653.6,2653.06928,3.8822418392566957,2562.959715428571,22.762142857142862,84.72269164299068,5.107566934809824,5.149928280631319,10.257495215441143,74.46519642754954,0.014579387285175579,5107.566934809824,5182.0321312373735,-0.023554197131816307,4.717212112844023,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-05-22T03:30:00+00:00,2025-05-22 03:30:00+00:00,2025-05-22 03:31:00+00:00,2025-05-22 19:45:00+00:00,2607.68,2608.2015359999996,2634.02,2633.493196,3.973643953284885,2542.325821714285,21.958571428571467,100.50005182753846,5.182032131237373,5.232282157151143,10.414314288388518,90.08573753914993,0.017384249124221297,5182.0321312373735,5272.117868776523,-0.3735004358857356,3.843987040530886,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-05-29T02:15:00+00:00,2025-05-29 02:15:00+00:00,2025-05-29 02:16:00+00:00,2025-05-29 12:30:00+00:00,2709.61,2710.151922,2687.18,2686.6425639999998,3.8906437871467214,2654.6154934285714,18.512142857142862,-91.46653764250904,5.272117868776523,5.226384599955269,10.498502468731793,-101.96504011124082,-0.019340432564134497,5272.117868776523,5170.152828665282,-0.5478524057568277,4.252780383532043,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-06-09T21:00:00+00:00,2025-06-09 21:00:00+00:00,2025-06-09 21:01:00+00:00,2025-06-10 06:00:00+00:00,2590.01,2590.528002,2657.93,2657.398414,3.991582275639329,2556.0344305714284,11.49785714285716,266.91875130389855,5.170152828665282,5.303612204317231,10.473765032982513,256.44498627091605,0.04960104561108679,5170.152828665282,5426.597814936198,-0.04592177424364672,11.854556575759453,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-06-10T11:15:00+00:00,2025-06-10 11:15:00+00:00,2025-06-10 11:16:00+00:00,2025-06-11 08:15:00+00:00,2713.13,2713.672626,2778.3,2777.74434,3.999449132473357,2672.664768857143,13.669285714285675,256.2515609733817,5.426597814936199,5.554723595422889,10.981321410359087,245.27023956302259,0.04519779204715327,5426.597814936198,5671.86805449922,-1.8393518524324621,8.819581104666378,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-06-16T07:00:00+00:00,2025-06-16 07:00:00+00:00,2025-06-16 07:01:00+00:00,2025-06-16 11:15:00+00:00,2611.98,2612.502396,2596.95,2596.43061,4.342095963765172,2577.0552531428575,11.815714285714193,-69.7852371210975,5.67186805449922,5.6369754359386715,11.30884349043789,-81.09408061153538,-0.01429759645893161,5671.86805449922,5590.773973887685,-0.3810515294401923,2.1325502115826627,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-06-23T22:00:00+00:00,2025-06-23 22:00:00+00:00,2025-06-23 22:01:00+00:00,2025-06-24 08:00:00+00:00,2341.68,2342.1483359999997,2385.49,2385.012902,4.774056269583504,2271.7297645714284,23.47285714285707,204.63785005527683,5.590773973887685,5.6930928989153236,11.283866872803008,193.35398318247383,0.0345844750808304,5590.773973887685,5784.127957070159,-0.11239944008275252,4.168715525531026,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-07-02T16:00:00+00:00,2025-07-02 16:00:00+00:00,2025-07-02 16:01:00+00:00,2025-07-03 00:15:00+00:00,2496.64,2497.1393279999998,2567.18,2566.666564,4.632603309085491,2451.1493279999995,15.330000000000025,322.0921035651695,5.784127957070159,5.945174008852744,11.729301965922904,310.3628015992466,0.05365766523541001,5784.127957070159,6094.490758669405,-0.20217403783428972,7.896977951728613,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-07-09T18:00:00+00:00,2025-07-09 18:00:00+00:00,2025-07-09 18:01:00+00:00,2025-07-10 12:00:00+00:00,2660.5,2661.0321,2767.82,2767.2664360000003,4.580546592180835,2620.864242857143,13.389285714285734,486.6113257373958,6.094490758669405,6.337796421538104,12.43228718020751,474.17903855718833,0.07780453812037852,6094.490758669405,6568.669797226594,-0.07110909575886953,12.039320352093876,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-07-10T21:15:00+00:00,2025-07-10 21:15:00+00:00,2025-07-10 21:16:00+00:00,2025-07-11 15:45:00+00:00,2822.51,2823.074502,2950.45,2949.8599099999997,4.653557525721008,2762.746644857143,20.109285714285665,590.0031895500073,6.568669797226594,6.8636713920015975,13.432341189228191,576.5708483607791,0.08777589164311735,6568.669797226594,7145.240645587373,-0.03553094874435475,10.8345717046141,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-07-15T23:00:00+00:00,2025-07-15 23:00:00+00:00,2025-07-15 23:01:00+00:00,2025-07-17 01:45:00+00:00,3119.88,3120.503976,3337.84,3337.1724320000003,4.579542728060522,3066.4482617142858,18.018571428571445,992.2424520749028,7.145240645587372,7.641361871624824,14.786602517212195,977.4558495576906,0.13679817070420572,7145.240645587373,8122.696495145064,-1.1601350352810682,16.81409789899307,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-07-17T06:15:00+00:00,2025-07-17 06:15:00+00:00,2025-07-17 06:16:00+00:00,2025-07-17 13:30:00+00:00,3370.14,3370.814028,3381.62,3380.943676,4.819427252689162,3312.6440279999997,19.390000000000004,48.819101631348694,8.122696495145064,8.147106045960738,16.269802541105804,32.54929909024289,0.004007203655793074,8122.696495145064,8155.245794235307,-0.4210432181536644,5.76616668385765,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-07-18T01:00:00+00:00,2025-07-18 01:00:00+00:00,2025-07-18 01:01:00+00:00,2025-07-18 14:30:00+00:00,3532.03,3532.736406,3577.04,3576.324592,4.6169568611937395,3444.8021202857144,29.311428571428582,201.24477441968867,8.155245794235306,8.25586818144515,16.411113975680458,184.83366044400822,0.022664388677857077,8155.245794235307,8340.079454679315,-0.28133756701432916,4.834073291743838,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2025-08-04T14:00:00+00:00,2025-08-04 14:00:00+00:00,2025-08-04 14:01:00+00:00,2025-08-05 01:45:00+00:00,3620.19,3620.914038,3678.81,3678.074238,4.6066155490871195,3569.9654665714284,16.982857142857192,263.31506610893075,8.340079454679316,8.47173698773378,16.811816442413097,246.50324966651766,0.029556462981682227,8340.079454679315,8586.582704345832,-0.05382121467024485,6.717713105652769,donchian20_exit
